stop_id,stop_code,line_number,route_desc,route_long_name,arrival,departure,pickup,drop_off,stop_station_distance,google_walking_distance,gh_walking_distance
3559,42694,26,25026-1-ז,דגניה/טרומן-חיפה<->נתן שפריצר/הארי השואג-קרית אתא-1ז,75800,75800,0,0,230.64656467844077,445.0,427.822
3596,42731,26,25026-1-ז,דגניה/טרומן-חיפה<->נתן שפריצר/הארי השואג-קרית אתא-1ז,75860,75860,0,0,93.68412289246636,96.0,113.959
3559,42694,13,10013-2-ז,ספיר/ז'בוטינסקי-קרית ים<->מרכזית הקריות-קרית מוצקין-2ז,61040,61040,0,0,230.64656467844077,445.0,427.822
3596,42731,13,10013-2-ז,ספיר/ז'בוטינסקי-קרית ים<->מרכזית הקריות-קרית מוצקין-2ז,61100,61100,0,0,93.68412289246636,96.0,113.959
3559,42694,13,10013-2-ז,ספיר/ז'בוטינסקי-קרית ים<->מרכזית הקריות-קרית מוצקין-2ז,43940,43940,0,0,230.64656467844077,445.0,427.822
3596,42731,13,10013-2-ז,ספיר/ז'בוטינסקי-קרית ים<->מרכזית הקריות-קרית מוצקין-2ז,44000,44000,0,0,93.68412289246636,96.0,113.959
3559,42694,210,10210-2-#,טולוז/מנחם בגין-קרית אתא<->דרך בגין/יקינטון-קרית ביאליק-2#,11698,11698,0,0,230.64656467844077,445.0,427.822
3596,42731,210,10210-2-#,טולוז/מנחם בגין-קרית אתא<->דרך בגין/יקינטון-קרית ביאליק-2#,11758,11758,0,0,93.68412289246636,96.0,113.959
3593,42728,13,10013-1-ז,מר. קריות איסוף-קרית מוצקין<->ספיר/ז'בוטינסקי-קרית ים-1ז,40160,40160,0,0,127.48000148062242,298.0,280.533
3558,42693,13,10013-1-ז,מר. קריות איסוף-קרית מוצקין<->ספיר/ז'בוטינסקי-קרית ים-1ז,40220,40220,0,0,213.78822604416106,439.0,421.707
3593,42728,13,10013-1-ז,מר. קריות איסוף-קרית מוצקין<->ספיר/ז'בוטינסקי-קרית ים-1ז,33860,33860,0,0,127.48000148062242,298.0,280.533
3558,42693,13,10013-1-ז,מר. קריות איסוף-קרית מוצקין<->ספיר/ז'בוטינסקי-קרית ים-1ז,33920,33920,0,0,213.78822604416106,439.0,421.707
3559,42694,13,10013-2-ז,ספיר/ז'בוטינסקי-קרית ים<->מרכזית הקריות-קרית מוצקין-2ז,44840,44840,0,0,230.64656467844077,445.0,427.822
3596,42731,13,10013-2-ז,ספיר/ז'בוטינסקי-קרית ים<->מרכזית הקריות-קרית מוצקין-2ז,44900,44900,0,0,93.68412289246636,96.0,113.959
3593,42728,26,25026-2-ז,נתן שפריצר/הארי השואג-קרית אתא<->דגניה/חוף קרית חיים-חיפה-2ז,36556,36556,0,0,127.48000148062242,298.0,280.533
3558,42693,26,25026-2-ז,נתן שפריצר/הארי השואג-קרית אתא<->דגניה/חוף קרית חיים-חיפה-2ז,36616,36616,0,0,213.78822604416106,439.0,421.707
3559,42694,26,25026-1-ז,דגניה/טרומן-חיפה<->נתן שפריצר/הארי השואג-קרית אתא-1ז,67700,67700,0,0,230.64656467844077,445.0,427.822
3596,42731,26,25026-1-ז,דגניה/טרומן-חיפה<->נתן שפריצר/הארי השואג-קרית אתא-1ז,67760,67760,0,0,93.68412289246636,96.0,113.959
3559,42694,13,10013-2-ז,ספיר/ז'בוטינסקי-קרית ים<->מרכזית הקריות-קרית מוצקין-2ז,69140,69140,0,0,230.64656467844077,445.0,427.822
3596,42731,13,10013-2-ז,ספיר/ז'בוטינסקי-קרית ים<->מרכזית הקריות-קרית מוצקין-2ז,69200,69200,0,0,93.68412289246636,96.0,113.959
3559,42694,13,10013-2-ז,ספיר/ז'בוטינסקי-קרית ים<->מרכזית הקריות-קרית מוצקין-2ז,28640,28640,0,0,230.64656467844077,445.0,427.822
3596,42731,13,10013-2-ז,ספיר/ז'בוטינסקי-קרית ים<->מרכזית הקריות-קרית מוצקין-2ז,28700,28700,0,0,93.68412289246636,96.0,113.959
3593,42728,13,10013-1-ז,מר. קריות איסוף-קרית מוצקין<->ספיר/ז'בוטינסקי-קרית ים-1ז,42860,42860,0,0,127.48000148062242,298.0,280.533
3558,42693,13,10013-1-ז,מר. קריות איסוף-קרית מוצקין<->ספיר/ז'בוטינסקי-קרית ים-1ז,42920,42920,0,0,213.78822604416106,439.0,421.707
3559,42694,26,25026-1-ז,דגניה/טרומן-חיפה<->נתן שפריצר/הארי השואג-קרית אתא-1ז,24500,24500,0,0,230.64656467844077,445.0,427.822
3596,42731,26,25026-1-ז,דגניה/טרומן-חיפה<->נתן שפריצר/הארי השואג-קרית אתא-1ז,24560,24560,0,0,93.68412289246636,96.0,113.959
3593,42728,13,10013-1-ז,מר. קריות איסוף-קרית מוצקין<->ספיר/ז'בוטינסקי-קרית ים-1ז,73760,73760,0,0,127.48000148062242,298.0,280.533
3558,42693,13,10013-1-ז,מר. קריות איסוף-קרית מוצקין<->ספיר/ז'בוטינסקי-קרית ים-1ז,73820,73820,0,0,213.78822604416106,439.0,421.707
3559,42694,26,25026-1-ז,דגניה/טרומן-חיפה<->נתן שפריצר/הארי השואג-קרית אתא-1ז,66500,66500,0,0,230.64656467844077,445.0,427.822
3596,42731,26,25026-1-ז,דגניה/טרומן-חיפה<->נתן שפריצר/הארי השואג-קרית אתא-1ז,66560,66560,0,0,93.68412289246636,96.0,113.959
3559,42694,13,10013-2-ז,ספיר/ז'בוטינסקי-קרית ים<->מרכזית הקריות-קרית מוצקין-2ז,20420,20420,0,0,230.64656467844077,445.0,427.822
3596,42731,13,10013-2-ז,ספיר/ז'בוטינסקי-קרית ים<->מרכזית הקריות-קרית מוצקין-2ז,20480,20480,0,0,93.68412289246636,96.0,113.959
3593,42728,13,10013-1-ז,מר. קריות איסוף-קרית מוצקין<->ספיר/ז'בוטינסקי-קרית ים-1ז,67160,67160,0,0,127.48000148062242,298.0,280.533
3558,42693,13,10013-1-ז,מר. קריות איסוף-קרית מוצקין<->ספיר/ז'בוטינסקי-קרית ים-1ז,67220,67220,0,0,213.78822604416106,439.0,421.707
3559,42694,13,10013-2-ז,ספיר/ז'בוטינסקי-קרית ים<->מרכזית הקריות-קרית מוצקין-2ז,48440,48440,0,0,230.64656467844077,445.0,427.822
3596,42731,13,10013-2-ז,ספיר/ז'בוטינסקי-קרית ים<->מרכזית הקריות-קרית מוצקין-2ז,48500,48500,0,0,93.68412289246636,96.0,113.959
3559,42694,210,10210-2-#,טולוז/מנחם בגין-קרית אתא<->דרך בגין/יקינטון-קרית ביאליק-2#,13498,13498,0,0,230.64656467844077,445.0,427.822
3596,42731,210,10210-2-#,טולוז/מנחם בגין-קרית אתא<->דרך בגין/יקינטון-קרית ביאליק-2#,13558,13558,0,0,93.68412289246636,96.0,113.959
3593,42728,26,25026-2-ז,נתן שפריצר/הארי השואג-קרית אתא<->דגניה/חוף קרית חיים-חיפה-2ז,58156,58156,0,0,127.48000148062242,298.0,280.533
3558,42693,26,25026-2-ז,נתן שפריצר/הארי השואג-קרית אתא<->דגניה/חוף קרית חיים-חיפה-2ז,58216,58216,0,0,213.78822604416106,439.0,421.707
3593,42728,26,25026-2-ז,נתן שפריצר/הארי השואג-קרית אתא<->דגניה/חוף קרית חיים-חיפה-2ז,62956,62956,0,0,127.48000148062242,298.0,280.533
3558,42693,26,25026-2-ז,נתן שפריצר/הארי השואג-קרית אתא<->דגניה/חוף קרית חיים-חיפה-2ז,63016,63016,0,0,213.78822604416106,439.0,421.707
3593,42728,13,10013-1-ז,מר. קריות איסוף-קרית מוצקין<->ספיר/ז'בוטינסקי-קרית ים-1ז,27560,27560,0,0,127.48000148062242,298.0,280.533
3558,42693,13,10013-1-ז,מר. קריות איסוף-קרית מוצקין<->ספיר/ז'בוטינסקי-קרית ים-1ז,27620,27620,0,0,213.78822604416106,439.0,421.707
3559,42694,13,10013-2-ז,ספיר/ז'בוטינסקי-קרית ים<->מרכזית הקריות-קרית מוצקין-2ז,31700,31700,0,0,230.64656467844077,445.0,427.822
3596,42731,13,10013-2-ז,ספיר/ז'בוטינסקי-קרית ים<->מרכזית הקריות-קרית מוצקין-2ז,31760,31760,0,0,93.68412289246636,96.0,113.959
3559,42694,26,25026-1-ז,דגניה/טרומן-חיפה<->נתן שפריצר/הארי השואג-קרית אתא-1ז,37700,37700,0,0,230.64656467844077,445.0,427.822
3596,42731,26,25026-1-ז,דגניה/טרומן-חיפה<->נתן שפריצר/הארי השואג-קרית אתא-1ז,37760,37760,0,0,93.68412289246636,96.0,113.959
