stop_id,stop_code,line_number,route_desc,route_long_name,arrival,departure,pickup,drop_off,stop_station_distance,google_walking_distance,gh_walking_distance
35460,47541,2,67002-2-0,קריית אתא-קרית אתא<->רכבת בת גלים-חיפה-20,54638,54638,0,0,175.0848245138679,196.0,119.401
36166,43009,361,10361-1-ז,מרכזית המפרץ/רציפים בינעירוני-חיפה<->תחנה מרכזית צפת/הורדה-צפת-1ז,51300,51300,0,1,280.7689352433651,700.0,483.977
2356,41476,361,10361-1-ז,מרכזית המפרץ/רציפים בינעירוני-חיפה<->תחנה מרכזית צפת/הורדה-צפת-1ז,51426,51426,0,1,189.85814567041726,266.0,375.906
37698,41533,75,21075-1-0,מרכזית המפרץ/רציפים עירוני-חיפה<->דרך יצחק רבין / אל ג'בל-בסמת טבעון-10,27900,27900,0,1,260.1708661569076,666.0,1749.62
37698,41533,55,21055-1-0,מרכזית המפרץ/רציפים עירוני-חיפה<->בית ספר אורט-דאלית אל כרמל-10,70800,70800,0,1,260.1708661569076,666.0,1749.62
3181,42315,434,11434-2-#,תחנה מרכזית טבריה/רציפים-טבריה<->מרכזית המפרץ/הורדה-חיפה-2#,38108,38108,1,0,162.92573442724424,187.0,113.687
37698,41533,101,11101-2-#,מרכזית המפרץ/רציפים עירוני-חיפה<->תחנה מרכזית חוף כרמל/הורדה-חיפה-2#,28140,28140,0,1,260.1708661569076,666.0,1749.62
37696,41533,115,10115-2-ח,מרכזית המפרץ/רציפים עירוני-חיפה<->תחנה מרכזית חוף כרמל/הורדה-חיפה-2ח,51840,51840,0,1,260.1708661569076,666.0,1749.62
37436,47489,3,67003-1-0,הנביאים-חיפה<->מרכזית הקריות-קרית מוצקין-10,84798,84798,0,0,276.41471857181534,645.0,1567.854
35459,47540,3,67003-1-0,הנביאים-חיפה<->מרכזית הקריות-קרית מוצקין-10,84882,84882,0,0,191.6873659576501,281.0,185.246
36464,43009,500,10500-1-ז,מרכזית המפרץ/רציפים בינעירוני-חיפה<->תחנה מרכזית קריית שמונה/הורדה-קרית שמונה-1ז,58500,58500,0,1,280.7689352433651,700.0,483.977
37696,41533,115,10115-2-ח,מרכזית המפרץ/רציפים עירוני-חיפה<->תחנה מרכזית חוף כרמל/הורדה-חיפה-2ח,41400,41400,0,1,260.1708661569076,666.0,1749.62
3181,42315,143,10143-2-א,מר. קריות איסוף-קרית מוצקין<->אוניברסיטה/רב תכליתי-חיפה-2א,49748,49748,0,1,162.92573442724424,187.0,113.687
37698,41533,75,21075-1-0,מרכזית המפרץ/רציפים עירוני-חיפה<->דרך יצחק רבין / אל ג'בל-בסמת טבעון-10,81300,81300,0,1,260.1708661569076,666.0,1749.62
3181,42315,136,11136-2-כ,איקאה-קרית אתא<->רכבת בת גלים-חיפה-2כ,77640,77640,0,0,162.92573442724424,187.0,113.687
37699,41533,136,11136-2-כ,איקאה-קרית אתא<->רכבת בת גלים-חיפה-2כ,77760,77760,0,1,260.1708661569076,666.0,1749.62
3181,42315,271,10271-2-ז,תחנה מרכזית נהריה/רציפים-נהריה<->מרכזית המפרץ/הורדה-חיפה-2ז,60588,60588,1,0,162.92573442724424,187.0,113.687
2356,41476,200,10200-1-#,חוף דדו-חיפה<->חלוצי התעשייה/הגומא-חיפה-1#,12865,12865,0,0,189.85814567041726,266.0,375.906
35460,47541,3,67003-2-0,מרכזית הקריות-קרית מוצקין<->הנביאים-חיפה-20,73650,73650,0,0,175.0848245138679,196.0,119.401
37700,41533,132,10132-2-#,מרכזית המפרץ/רציפים עירוני-חיפה<->תחנה מרכזית חוף כרמל/הורדה-חיפה-2#,39600,39600,0,1,260.1708661569076,666.0,1749.62
