stop_id,stop_code,line_number,route_desc,route_long_name,arrival,departure,pickup,drop_off,stop_station_distance,google_walking_distance,gh_walking_distance
17425,47329,21,36021-2-ז,רשי/צלאח-קרית אתא<->תחנת רכבת חוצות המפרץ/הקיטור-חיפה-2ז,74741,74741,1,0,110.20792747900252,95.0,100.073
17425,47329,21,36021-2-ז,רשי/צלאח-קרית אתא<->תחנת רכבת חוצות המפרץ/הקיטור-חיפה-2ז,49541,49541,1,0,110.20792747900252,95.0,100.073
17425,47329,15,40015-1-#,תחנת רכבת חוצות המפרץ/הקיטור-חיפה<->מרכזית הקריות-קרית מוצקין-1#,81000,81000,0,1,110.20792747900252,95.0,100.073
35629,47634,15,40015-1-#,תחנת רכבת חוצות המפרץ/הקיטור-חיפה<->מרכזית הקריות-קרית מוצקין-1#,81008,81008,0,0,295.41868745251577,287.0,293.382
17425,47329,15,40015-2-#,מר. קריות איסוף-קרית מוצקין<->תחנת רכבת חוצות המפרץ/הקיטור-חיפה-2#,53660,53660,1,0,110.20792747900252,95.0,100.073
17425,47329,15,40015-1-#,תחנת רכבת חוצות המפרץ/הקיטור-חיפה<->מרכזית הקריות-קרית מוצקין-1#,42000,42000,0,1,110.20792747900252,95.0,100.073
35629,47634,15,40015-1-#,תחנת רכבת חוצות המפרץ/הקיטור-חיפה<->מרכזית הקריות-קרית מוצקין-1#,42008,42008,0,0,295.41868745251577,287.0,293.382
17425,47329,21,36021-2-ז,רשי/צלאח-קרית אתא<->תחנת רכבת חוצות המפרץ/הקיטור-חיפה-2ז,72941,72941,1,0,110.20792747900252,95.0,100.073
17425,47329,21,36021-2-ז,רשי/צלאח-קרית אתא<->תחנת רכבת חוצות המפרץ/הקיטור-חיפה-2ז,65741,65741,1,0,110.20792747900252,95.0,100.073
17425,47329,15,40015-1-#,תחנת רכבת חוצות המפרץ/הקיטור-חיפה<->מרכזית הקריות-קרית מוצקין-1#,26400,26400,0,1,110.20792747900252,95.0,100.073
35629,47634,15,40015-1-#,תחנת רכבת חוצות המפרץ/הקיטור-חיפה<->מרכזית הקריות-קרית מוצקין-1#,26408,26408,0,0,295.41868745251577,287.0,293.382
17425,47329,15,40015-2-#,מר. קריות איסוף-קרית מוצקין<->תחנת רכבת חוצות המפרץ/הקיטור-חיפה-2#,56060,56060,1,0,110.20792747900252,95.0,100.073
17425,47329,15,40015-2-#,מר. קריות איסוף-קרית מוצקין<->תחנת רכבת חוצות המפרץ/הקיטור-חיפה-2#,35660,35660,1,0,110.20792747900252,95.0,100.073
17425,47329,21,36021-2-ז,רשי/צלאח-קרית אתא<->תחנת רכבת חוצות המפרץ/הקיטור-חיפה-2ז,33341,33341,1,0,110.20792747900252,95.0,100.073
17425,47329,15,40015-1-#,תחנת רכבת חוצות המפרץ/הקיטור-חיפה<->מרכזית הקריות-קרית מוצקין-1#,78300,78300,0,1,110.20792747900252,95.0,100.073
35629,47634,15,40015-1-#,תחנת רכבת חוצות המפרץ/הקיטור-חיפה<->מרכזית הקריות-קרית מוצקין-1#,78308,78308,0,0,295.41868745251577,287.0,293.382
17425,47329,15,40015-1-#,תחנת רכבת חוצות המפרץ/הקיטור-חיפה<->מרכזית הקריות-קרית מוצקין-1#,62400,62400,0,1,110.20792747900252,95.0,100.073
35629,47634,15,40015-1-#,תחנת רכבת חוצות המפרץ/הקיטור-חיפה<->מרכזית הקריות-קרית מוצקין-1#,62408,62408,0,0,295.41868745251577,287.0,293.382
17425,47329,15,40015-1-#,תחנת רכבת חוצות המפרץ/הקיטור-חיפה<->מרכזית הקריות-קרית מוצקין-1#,46800,46800,0,1,110.20792747900252,95.0,100.073
35629,47634,15,40015-1-#,תחנת רכבת חוצות המפרץ/הקיטור-חיפה<->מרכזית הקריות-קרית מוצקין-1#,46808,46808,0,0,295.41868745251577,287.0,293.382
17425,47329,21,36021-1-ז,תחנת רכבת חוצות המפרץ/הקיטור-חיפה<->רשי/צלאח-קרית אתא-1ז,55800,55800,0,1,110.20792747900252,95.0,100.073
35629,47634,21,36021-1-ז,תחנת רכבת חוצות המפרץ/הקיטור-חיפה<->רשי/צלאח-קרית אתא-1ז,55808,55808,0,0,295.41868745251577,287.0,293.382
17425,47329,21,36021-1-ז,תחנת רכבת חוצות המפרץ/הקיטור-חיפה<->רשי/צלאח-קרית אתא-1ז,30600,30600,0,1,110.20792747900252,95.0,100.073
35629,47634,21,36021-1-ז,תחנת רכבת חוצות המפרץ/הקיטור-חיפה<->רשי/צלאח-קרית אתא-1ז,30608,30608,0,0,295.41868745251577,287.0,293.382
17425,47329,21,36021-2-ז,רשי/צלאח-קרית אתא<->תחנת רכבת חוצות המפרץ/הקיטור-חיפה-2ז,53141,53141,1,0,110.20792747900252,95.0,100.073
17425,47329,15,40015-1-#,תחנת רכבת חוצות המפרץ/הקיטור-חיפה<->מרכזית הקריות-קרית מוצקין-1#,38400,38400,0,1,110.20792747900252,95.0,100.073
35629,47634,15,40015-1-#,תחנת רכבת חוצות המפרץ/הקיטור-חיפה<->מרכזית הקריות-קרית מוצקין-1#,38408,38408,0,0,295.41868745251577,287.0,293.382
17425,47329,21,36021-1-ז,תחנת רכבת חוצות המפרץ/הקיטור-חיפה<->רשי/צלאח-קרית אתא-1ז,37800,37800,0,1,110.20792747900252,95.0,100.073
35629,47634,21,36021-1-ז,תחנת רכבת חוצות המפרץ/הקיטור-חיפה<->רשי/צלאח-קרית אתא-1ז,37808,37808,0,0,295.41868745251577,287.0,293.382
17425,47329,15,40015-1-#,תחנת רכבת חוצות המפרץ/הקיטור-חיפה<->מרכזית הקריות-קרית מוצקין-1#,55200,55200,0,1,110.20792747900252,95.0,100.073
35629,47634,15,40015-1-#,תחנת רכבת חוצות המפרץ/הקיטור-חיפה<->מרכזית הקריות-קרית מוצקין-1#,55208,55208,0,0,295.41868745251577,287.0,293.382
17425,47329,15,40015-1-#,תחנת רכבת חוצות המפרץ/הקיטור-חיפה<->מרכזית הקריות-קרית מוצקין-1#,34800,34800,0,1,110.20792747900252,95.0,100.073
35629,47634,15,40015-1-#,תחנת רכבת חוצות המפרץ/הקיטור-חיפה<->מרכזית הקריות-קרית מוצקין-1#,34808,34808,0,0,295.41868745251577,287.0,293.382
17425,47329,15,40015-2-#,מר. קריות איסוף-קרית מוצקין<->תחנת רכבת חוצות המפרץ/הקיטור-חיפה-2#,71660,71660,1,0,110.20792747900252,95.0,100.073
17425,47329,15,40015-2-#,מר. קריות איסוף-קרית מוצקין<->תחנת רכבת חוצות המפרץ/הקיטור-חיפה-2#,68060,68060,1,0,110.20792747900252,95.0,100.073
17425,47329,15,40015-2-#,מר. קריות איסוף-קרית מוצקין<->תחנת רכבת חוצות המפרץ/הקיטור-חיפה-2#,29360,29360,1,0,110.20792747900252,95.0,100.073
17425,47329,15,40015-2-#,מר. קריות איסוף-קרית מוצקין<->תחנת רכבת חוצות המפרץ/הקיטור-חיפה-2#,31160,31160,1,0,110.20792747900252,95.0,100.073
17425,47329,21,36021-2-ז,רשי/צלאח-קרית אתא<->תחנת רכבת חוצות המפרץ/הקיטור-חיפה-2ז,81941,81941,1,0,110.20792747900252,95.0,100.073
17425,47329,15,40015-1-#,תחנת רכבת חוצות המפרץ/הקיטור-חיפה<->מרכזית הקריות-קרית מוצקין-1#,54000,54000,0,1,110.20792747900252,95.0,100.073
35629,47634,15,40015-1-#,תחנת רכבת חוצות המפרץ/הקיטור-חיפה<->מרכזית הקריות-קרית מוצקין-1#,54008,54008,0,0,295.41868745251577,287.0,293.382
17425,47329,21,36021-2-ז,רשי/צלאח-קרית אתא<->תחנת רכבת חוצות המפרץ/הקיטור-חיפה-2ז,28541,28541,1,0,110.20792747900252,95.0,100.073
17425,47329,15,40015-2-#,מר. קריות איסוף-קרית מוצקין<->תחנת רכבת חוצות המפרץ/הקיטור-חיפה-2#,80660,80660,1,0,110.20792747900252,95.0,100.073
17425,47329,21,36021-2-ז,רשי/צלאח-קרית אתא<->תחנת רכבת חוצות המפרץ/הקיטור-חיפה-2ז,35141,35141,1,0,110.20792747900252,95.0,100.073
17425,47329,21,36021-2-ז,רשי/צלאח-קרית אתא<->תחנת רכבת חוצות המפרץ/הקיטור-חיפה-2ז,47741,47741,1,0,110.20792747900252,95.0,100.073
17425,47329,15,40015-1-#,תחנת רכבת חוצות המפרץ/הקיטור-חיפה<->מרכזית הקריות-קרית מוצקין-1#,22800,22800,0,1,110.20792747900252,95.0,100.073
35629,47634,15,40015-1-#,תחנת רכבת חוצות המפרץ/הקיטור-חיפה<->מרכזית הקריות-קרית מוצקין-1#,22808,22808,0,0,295.41868745251577,287.0,293.382
17425,47329,21,36021-1-ז,תחנת רכבת חוצות המפרץ/הקיטור-חיפה<->רשי/צלאח-קרית אתא-1ז,52200,52200,0,1,110.20792747900252,95.0,100.073
35629,47634,21,36021-1-ז,תחנת רכבת חוצות המפרץ/הקיטור-חיפה<->רשי/צלאח-קרית אתא-1ז,52208,52208,0,0,295.41868745251577,287.0,293.382
17425,47329,15,40015-1-#,תחנת רכבת חוצות המפרץ/הקיטור-חיפה<->מרכזית הקריות-קרית מוצקין-1#,52800,52800,0,1,110.20792747900252,95.0,100.073
35629,47634,15,40015-1-#,תחנת רכבת חוצות המפרץ/הקיטור-חיפה<->מרכזית הקריות-קרית מוצקין-1#,52808,52808,0,0,295.41868745251577,287.0,293.382
17425,47329,15,40015-1-#,תחנת רכבת חוצות המפרץ/הקיטור-חיפה<->מרכזית הקריות-קרית מוצקין-1#,21600,21600,0,1,110.20792747900252,95.0,100.073
35629,47634,15,40015-1-#,תחנת רכבת חוצות המפרץ/הקיטור-חיפה<->מרכזית הקריות-קרית מוצקין-1#,21608,21608,0,0,295.41868745251577,287.0,293.382
17425,47329,15,40015-1-#,תחנת רכבת חוצות המפרץ/הקיטור-חיפה<->מרכזית הקריות-קרית מוצקין-1#,56400,56400,0,1,110.20792747900252,95.0,100.073
35629,47634,15,40015-1-#,תחנת רכבת חוצות המפרץ/הקיטור-חיפה<->מרכזית הקריות-קרית מוצקין-1#,56408,56408,0,0,295.41868745251577,287.0,293.382
17425,47329,15,40015-2-#,מר. קריות איסוף-קרית מוצקין<->תחנת רכבת חוצות המפרץ/הקיטור-חיפה-2#,54860,54860,1,0,110.20792747900252,95.0,100.073
17425,47329,21,36021-2-ז,רשי/צלאח-קרית אתא<->תחנת רכבת חוצות המפרץ/הקיטור-חיפה-2ז,44141,44141,1,0,110.20792747900252,95.0,100.073
17425,47329,15,40015-1-#,תחנת רכבת חוצות המפרץ/הקיטור-חיפה<->מרכזית הקריות-קרית מוצקין-1#,49200,49200,0,1,110.20792747900252,95.0,100.073
35629,47634,15,40015-1-#,תחנת רכבת חוצות המפרץ/הקיטור-חיפה<->מרכזית הקריות-קרית מוצקין-1#,49208,49208,0,0,295.41868745251577,287.0,293.382
17425,47329,15,40015-1-#,תחנת רכבת חוצות המפרץ/הקיטור-חיפה<->מרכזית הקריות-קרית מוצקין-1#,40800,40800,0,1,110.20792747900252,95.0,100.073
35629,47634,15,40015-1-#,תחנת רכבת חוצות המפרץ/הקיטור-חיפה<->מרכזית הקריות-קרית מוצקין-1#,40808,40808,0,0,295.41868745251577,287.0,293.382
17425,47329,21,36021-2-ז,רשי/צלאח-קרית אתא<->תחנת רכבת חוצות המפרץ/הקיטור-חיפה-2ז,38741,38741,1,0,110.20792747900252,95.0,100.073
17425,47329,21,36021-2-ז,רשי/צלאח-קרית אתא<->תחנת רכבת חוצות המפרץ/הקיטור-חיפה-2ז,54941,54941,1,0,110.20792747900252,95.0,100.073
17425,47329,15,40015-2-#,מר. קריות איסוף-קרית מוצקין<->תחנת רכבת חוצות המפרץ/הקיטור-חיפה-2#,50060,50060,1,0,110.20792747900252,95.0,100.073
17425,47329,15,40015-1-#,תחנת רכבת חוצות המפרץ/הקיטור-חיפה<->מרכזית הקריות-קרית מוצקין-1#,50400,50400,0,1,110.20792747900252,95.0,100.073
35629,47634,15,40015-1-#,תחנת רכבת חוצות המפרץ/הקיטור-חיפה<->מרכזית הקריות-קרית מוצקין-1#,50408,50408,0,0,295.41868745251577,287.0,293.382
17425,47329,15,40015-2-#,מר. קריות איסוף-קרית מוצקין<->תחנת רכבת חוצות המפרץ/הקיטור-חיפה-2#,33860,33860,1,0,110.20792747900252,95.0,100.073
17425,47329,15,40015-1-#,תחנת רכבת חוצות המפרץ/הקיטור-חיפה<->מרכזית הקריות-קרית מוצקין-1#,58800,58800,0,1,110.20792747900252,95.0,100.073
35629,47634,15,40015-1-#,תחנת רכבת חוצות המפרץ/הקיטור-חיפה<->מרכזית הקריות-קרית מוצקין-1#,58808,58808,0,0,295.41868745251577,287.0,293.382
17425,47329,15,40015-2-#,מר. קריות איסוף-קרית מוצקין<->תחנת רכבת חוצות המפרץ/הקיטור-חיפה-2#,41660,41660,1,0,110.20792747900252,95.0,100.073
17425,47329,15,40015-2-#,מר. קריות איסוף-קרית מוצקין<->תחנת רכבת חוצות המפרץ/הקיטור-חיפה-2#,27260,27260,1,0,110.20792747900252,95.0,100.073
