stop_id,stop_code,line_number,route_desc,route_long_name,arrival,departure,pickup,drop_off,stop_station_distance,google_walking_distance,gh_walking_distance
35832,47575,2,67002-2-0,קריית אתא-קרית אתא<->רכבת בת גלים-חיפה-20,55441,55441,0,0,168.2820520209105,144.0,142.872
2410,41540,17,10017-1-#,תחנה מרכזית חוף כרמל/רציפים עירוני-חיפה<->טכניון/הנדסה אזרחית-חיפה-1#,72023,72023,0,0,157.24648418155002,120.0,182.78
2410,41540,18,10018-1-ד,רכבת בת גלים-חיפה<->חניון נווה שאנן-חיפה-1ד,43620,43620,0,0,157.24648418155002,120.0,182.78
3838,42976,332,11332-1-ד,תבור/נוף תבור-נצרת עילית<->זיסו/יפו-חיפה-1ד,71449,71449,1,0,206.96350380359905,156.0,154.971
2410,41540,200,10200-1-#,חוף דדו-חיפה<->חלוצי התעשייה/הגומא-חיפה-1#,12145,12145,0,0,157.24648418155002,120.0,182.78
2410,41540,17,10017-1-#,תחנה מרכזית חוף כרמל/רציפים עירוני-חיפה<->טכניון/הנדסה אזרחית-חיפה-1#,34823,34823,0,0,157.24648418155002,120.0,182.78
3839,42977,17,10017-2-ו,טרומפלדור/מרכז זיו-חיפה<->תחנה מרכזית חוף כרמל/הורדה-חיפה-2ו,30405,30405,0,0,92.0786345672958,0.0,0.47
3838,42976,331,11331-1-ח,תחנה מרכזית-נצרת<->זיסו/יפו-חיפה-1ח,45064,45064,1,0,206.96350380359905,156.0,154.971
35832,47575,1,83001-2-0,מרכזית הקריות-קרית מוצקין<->תחנה מרכזית חוף כרמל/הורדה מטרונית-חיפה-20,53074,53074,0,0,168.2820520209105,144.0,142.872
3840,42978,332,10332-2-ב,דגון-חיפה<->תבור/קישון-נצרת עילית-2ב,22500,22500,0,1,42.69229927295003,16.0,16.451
35831,47574,2,67002-1-0,רכבת בת גלים-חיפה<->קריית אתא-קרית אתא-10,76122,76122,0,0,132.28358061198693,107.0,138.425
35831,47574,2,67002-1-0,רכבת בת גלים-חיפה<->קריית אתא-קרית אתא-10,20922,20922,0,0,132.28358061198693,107.0,138.425
35832,47575,1,83001-2-0,מרכזית הקריות-קרית מוצקין<->תחנה מרכזית חוף כרמל/הורדה מטרונית-חיפה-20,41674,41674,0,0,168.2820520209105,144.0,142.872
3840,42978,332,10332-1-ב,תבור/נוף תבור-נצרת עילית<->דגון-חיפה-1ב,26150,26150,1,0,42.69229927295003,16.0,16.451
35831,47574,1,83001-1-0,תחנה מרכזית חוף כרמל/רציפים עירוני-חיפה<->מרכזית הקריות-קרית מוצקין-10,74877,74877,0,0,132.28358061198693,107.0,138.425
35831,47574,1,83001-1-0,תחנה מרכזית חוף כרמל/רציפים עירוני-חיפה<->מרכזית הקריות-קרית מוצקין-10,47277,47277,0,0,132.28358061198693,107.0,138.425
35832,47575,1,83001-2-0,מרכזית הקריות-קרית מוצקין<->תחנה מרכזית חוף כרמל/הורדה מטרונית-חיפה-20,19474,19474,0,0,168.2820520209105,144.0,142.872
3839,42977,18,10018-2-ד,חניון נווה שאנן-חיפה<->רכבת בת גלים-חיפה-2ד,24567,24567,0,0,92.0786345672958,0.0,0.47
35831,47574,1,83001-1-0,תחנה מרכזית חוף כרמל/רציפים עירוני-חיפה<->מרכזית הקריות-קרית מוצקין-10,47877,47877,0,0,132.28358061198693,107.0,138.425
3840,42978,331,10331-2-ב,דגון-חיפה<->פאולוס השישי ג-נצרת-2ב,66300,66300,0,1,42.69229927295003,16.0,16.451
3839,42977,18,10018-2-ד,חניון נווה שאנן-חיפה<->רכבת בת גלים-חיפה-2ד,47427,47427,0,0,92.0786345672958,0.0,0.47
2410,41540,18,10018-1-ד,רכבת בת גלים-חיפה<->חניון נווה שאנן-חיפה-1ד,34260,34260,0,0,157.24648418155002,120.0,182.78
35831,47574,2,67002-1-0,רכבת בת גלים-חיפה<->קריית אתא-קרית אתא-10,69642,69642,0,0,132.28358061198693,107.0,138.425
3839,42977,17,10017-2-#,טכניון/מעונות העמים-חיפה<->תחנה מרכזית חוף כרמל/הורדה-חיפה-2#,47584,47584,0,0,92.0786345672958,0.0,0.47
3838,42976,332,11332-1-ד,תבור/נוף תבור-נצרת עילית<->זיסו/יפו-חיפה-1ד,28549,28549,1,0,206.96350380359905,156.0,154.971
