stop_id,stop_code,line_number,route_desc,route_long_name,arrival,departure,pickup,drop_off,stop_station_distance,google_walking_distance,gh_walking_distance
17277,47181,2,67002-2-0,קריית אתא-קרית אתא<->רכבת בת גלים-חיפה-20,55952,55952,1,0,95.54093615852888,96.0,87.363
17277,47181,א37,10037-2-כ,תיכון אורט-דאלית אל כרמל<->רכבת בת גלים-חיפה-2כ,44009,44009,1,0,95.54093615852888,96.0,87.363
2044,41161,17,10017-1-#,תחנה מרכזית חוף כרמל/רציפים עירוני-חיפה<->טכניון/הנדסה אזרחית-חיפה-1#,71528,71528,0,0,174.9238095796631,216.0,413.425
2868,42001,17,10017-1-#,תחנה מרכזית חוף כרמל/רציפים עירוני-חיפה<->טכניון/הנדסה אזרחית-חיפה-1#,71588,71588,0,0,283.47388243695656,531.0,507.049
17277,47181,18,10018-1-ד,רכבת בת גלים-חיפה<->חניון נווה שאנן-חיפה-1ד,43080,43080,0,1,95.54093615852888,96.0,87.363
35825,47532,18,10018-1-ד,רכבת בת גלים-חיפה<->חניון נווה שאנן-חיפה-1ד,43140,43140,0,0,236.78813794512732,250.0,241.812
2042,41159,42,10042-2-ז,נמל קישון-חיפה<->רכבל/העלייה השנייה-חיפה-2ז,54757,54757,0,0,220.91674744538474,393.0,587.696
2043,41160,42,10042-2-ז,נמל קישון-חיפה<->רכבל/העלייה השנייה-חיפה-2ז,54817,54817,0,0,229.6812481991177,340.0,372.187
17277,47181,28,10028-1-ק,רכבת בת גלים-חיפה<->גרנד קניון/שמחה גולן-חיפה-1ק,52500,52500,0,1,95.54093615852888,96.0,87.363
35825,47532,28,10028-1-ק,רכבת בת גלים-חיפה<->גרנד קניון/שמחה גולן-חיפה-1ק,52560,52560,0,0,236.78813794512732,250.0,241.812
2044,41161,א42,10042-1-ז,רכבל/העלייה השנייה-חיפה<->נמל קישון-חיפה-1ז,55987,55987,0,0,174.9238095796631,216.0,413.425
2868,42001,א42,10042-1-ז,רכבל/העלייה השנייה-חיפה<->נמל קישון-חיפה-1ז,56047,56047,0,0,283.47388243695656,531.0,507.049
17277,47181,136,11136-2-כ,איקאה-קרית אתא<->רכבת בת גלים-חיפה-2כ,81192,81192,1,0,95.54093615852888,96.0,87.363
2044,41161,17,10017-1-#,תחנה מרכזית חוף כרמל/רציפים עירוני-חיפה<->טכניון/הנדסה אזרחית-חיפה-1#,34328,34328,0,0,174.9238095796631,216.0,413.425
2868,42001,17,10017-1-#,תחנה מרכזית חוף כרמל/רציפים עירוני-חיפה<->טכניון/הנדסה אזרחית-חיפה-1#,34388,34388,0,0,283.47388243695656,531.0,507.049
2042,41159,17,10017-2-ו,טרומפלדור/מרכז זיו-חיפה<->תחנה מרכזית חוף כרמל/הורדה-חיפה-2ו,30825,30825,0,0,220.91674744538474,393.0,587.696
2043,41160,17,10017-2-ו,טרומפלדור/מרכז זיו-חיפה<->תחנה מרכזית חוף כרמל/הורדה-חיפה-2ו,30885,30885,0,0,229.6812481991177,340.0,372.187
17277,47181,28,10028-1-ק,רכבת בת גלים-חיפה<->גרנד קניון/שמחה גולן-חיפה-1ק,74700,74700,0,1,95.54093615852888,96.0,87.363
35825,47532,28,10028-1-ק,רכבת בת גלים-חיפה<->גרנד קניון/שמחה גולן-חיפה-1ק,74760,74760,0,0,236.78813794512732,250.0,241.812
35794,47494,1,83001-2-0,מרכזית הקריות-קרית מוצקין<->תחנה מרכזית חוף כרמל/הורדה מטרונית-חיפה-20,53464,53464,0,0,258.70982792245456,382.0,464.501
17277,47181,א37,10037-2-כ,תיכון אורט-דאלית אל כרמל<->רכבת בת גלים-חיפה-2כ,25409,25409,1,0,95.54093615852888,96.0,87.363
17277,47181,א37,10037-2-כ,תיכון אורט-דאלית אל כרמל<->רכבת בת גלים-חיפה-2כ,33269,33269,1,0,95.54093615852888,96.0,87.363
2042,41159,16,10016-2-#,מרכזית המפרץ/רציפים עירוני-חיפה<->רכבל/העלייה השנייה-חיפה-2#,71363,71363,0,0,220.91674744538474,393.0,587.696
2043,41160,16,10016-2-#,מרכזית המפרץ/רציפים עירוני-חיפה<->רכבל/העלייה השנייה-חיפה-2#,71423,71423,0,0,229.6812481991177,340.0,372.187
