stop_id,stop_code,line_number,route_desc,route_long_name,arrival,departure,pickup,drop_off,stop_station_distance,google_walking_distance,gh_walking_distance
3522,42657,101,11101-2-#,מרכזית המפרץ/רציפים עירוני-חיפה<->תחנה מרכזית חוף כרמל/הורדה-חיפה-2#,29410,29410,1,0,205.56238585784305,401.0,428.705
3522,42657,115,10115-2-ח,מרכזית המפרץ/רציפים עירוני-חיפה<->תחנה מרכזית חוף כרמל/הורדה-חיפה-2ח,55195,55195,1,0,205.56238585784305,401.0,428.705
36288,42659,17,10017-1-#,תחנה מרכזית חוף כרמל/רציפים עירוני-חיפה<->טכניון/הנדסה אזרחית-חיפה-1#,69900,69900,0,1,153.20659573935214,401.0,404.538
36416,42659,101,11101-1-#,תחנה מרכזית חוף כרמל/רציפים עירוני-חיפה<->מרכזית המפרץ/הורדה-חיפה-1#,60300,60300,0,1,153.20659573935214,401.0,404.538
3522,42657,115,10115-2-ח,מרכזית המפרץ/רציפים עירוני-חיפה<->תחנה מרכזית חוף כרמל/הורדה-חיפה-2ח,44755,44755,1,0,205.56238585784305,401.0,428.705
36249,42659,3,11003-2-#,תחנה מרכזית חוף כרמל/רציפים עירוני-חיפה<->בר רב האי/סעדיה הגאון-חיפה-2#,25620,25620,0,1,153.20659573935214,401.0,404.538
3378,42512,200,10200-1-#,חוף דדו-חיפה<->חלוצי התעשייה/הגומא-חיפה-1#,8100,8100,0,1,228.7839777593725,293.0,301.016
16977,46216,200,10200-1-#,חוף דדו-חיפה<->חלוצי התעשייה/הגומא-חיפה-1#,8160,8160,0,0,63.64262947924719,96.0,151.123
16977,46216,691,10691-1-0,מרכז מיר''ב-חוף הכרמל<->רכבת חוף כרמל-חיפה-10,64052,64052,1,0,63.64262947924719,96.0,151.123
3522,42657,3,11003-1-#,בר רב האי/סעדיה הגאון-חיפה<->תחנה מרכזית חוף כרמל/הורדה-חיפה-1#,37396,37396,1,0,205.56238585784305,401.0,428.705
3522,42657,132,10132-2-#,מרכזית המפרץ/רציפים עירוני-חיפה<->תחנה מרכזית חוף כרמל/הורדה-חיפה-2#,43100,43100,1,0,205.56238585784305,401.0,428.705
36380,42659,115,10115-1-ח,תחנה מרכזית חוף כרמל/רציפים עירוני-חיפה<->מרכזית המפרץ/הורדה-חיפה-1ח,29520,29520,0,1,153.20659573935214,401.0,404.538
36288,42659,17,10017-1-#,תחנה מרכזית חוף כרמל/רציפים עירוני-חיפה<->טכניון/הנדסה אזרחית-חיפה-1#,32700,32700,0,1,153.20659573935214,401.0,404.538
3522,42657,123,10123-2-#,מרכזית המפרץ/רציפים עירוני-חיפה<->תחנה מרכזית חוף כרמל/הורדה-חיפה-2#,41855,41855,1,0,205.56238585784305,401.0,428.705
36416,42659,101,11101-1-#,תחנה מרכזית חוף כרמל/רציפים עירוני-חיפה<->מרכזית המפרץ/הורדה-חיפה-1#,43920,43920,0,1,153.20659573935214,401.0,404.538
3522,42657,17,10017-2-ו,טרומפלדור/מרכז זיו-חיפה<->תחנה מרכזית חוף כרמל/הורדה-חיפה-2ו,32036,32036,1,0,205.56238585784305,401.0,428.705
35827,47534,1,83001-2-0,מרכזית הקריות-קרית מוצקין<->תחנה מרכזית חוף כרמל/הורדה מטרונית-חיפה-20,54129,54129,1,0,236.51486451016243,369.0,450.493
36170,42659,29,10029-3-ז,תחנה מרכזית חוף כרמל/רציפים עירוני-חיפה<->תחנה מרכזית חוף כרמל/הורדה-חיפה-3ז,24000,24000,0,1,153.20659573935214,401.0,404.538
3522,42657,29,10029-3-ז,תחנה מרכזית חוף כרמל/רציפים עירוני-חיפה<->תחנה מרכזית חוף כרמל/הורדה-חיפה-3ז,28265,28265,1,0,205.56238585784305,401.0,428.705
3522,42657,921,10921-1-ז,תחנה מרכזית תל אביב קומה 6/רציפים-תל אביב יפו<->תחנה מרכזית חוף כרמל/הורדה-חיפה-1ז,83402,83402,1,0,205.56238585784305,401.0,428.705
36391,42658,47,10047-1-ח,תחנה מרכזית חוף כרמל/רציפים בינעירוני-חיפה<->בית חולים טירת-כרמל-טירת כרמל-1ח,72300,72300,0,1,149.85697399068343,607.0,454.141
3522,42657,115,10115-2-ח,מרכזית המפרץ/רציפים עירוני-חיפה<->תחנה מרכזית חוף כרמל/הורדה-חיפה-2ח,66535,66535,1,0,205.56238585784305,401.0,428.705
3522,42657,47,10047-2-ח,בית חולים טירת-כרמל-טירת כרמל<->תחנה מרכזית חוף כרמל/הורדה-חיפה-2ח,28123,28123,1,0,205.56238585784305,401.0,428.705
