stop_id,stop_code,line_number,route_desc,route_long_name,arrival,departure,pickup,drop_off,stop_station_distance,google_walking_distance,gh_walking_distance
4036,46042,9,22009-2-0,הטחנה/האומן-בנימינה גבעת עדה<->קניון אורות-אור עקיבא-20,63000,63000,0,1,125.84654451331527,51.0,48.941
1710,40826,11,50011-2-0,דרך המסילה/ששת הימים-בנימינה גבעת עדה<->הגפן/וייצמן-אור עקיבא-20,59400,59400,0,1,239.4243793757518,281.0,276.845
4004,45643,11,50011-2-0,דרך המסילה/ששת הימים-בנימינה גבעת עדה<->הגפן/וייצמן-אור עקיבא-20,59416,59416,0,0,55.63705354028994,65.0,61.189
4036,46042,21,25021-2-0,דרך העצמאות/הנביאים-בנימינה גבעת עדה<->תחנה מרכזית חדרה/הורדה-חדרה-20,23100,23100,0,0,125.84654451331527,51.0,48.941
1710,40826,36,22036-1-0,דרך המסילה/ששת הימים-בנימינה גבעת עדה<->חי/הדקל-בנימינה גבעת עדה-10,30000,30000,0,1,239.4243793757518,281.0,276.845
4004,45643,36,22036-1-0,דרך המסילה/ששת הימים-בנימינה גבעת עדה<->חי/הדקל-בנימינה גבעת עדה-10,30016,30016,0,0,55.63705354028994,65.0,61.189
1704,40820,70,21070-1-0,תחנה מרכזית חדרה/רציפים-חדרה<->הנדיב/המייסדים-זכרון יעקב-10,39445,39445,0,0,91.42771857506237,113.0,533.071
1710,40826,70,21070-2-0,הנדיב/המייסדים-זכרון יעקב<->תחנה מרכזית חדרה/הורדה-חדרה-20,70503,70503,0,0,239.4243793757518,281.0,276.845
4004,45643,70,21070-2-0,הנדיב/המייסדים-זכרון יעקב<->תחנה מרכזית חדרה/הורדה-חדרה-20,70517,70517,0,0,55.63705354028994,65.0,61.189
1704,40820,694,10694-2-0,דרך המסילה/הבוסתן-בנימינה גבעת עדה<->מרכז מיר''ב-חוף הכרמל-20,76200,76200,0,1,91.42771857506237,113.0,533.071
4036,46042,9,22009-2-0,הטחנה/האומן-בנימינה גבעת עדה<->קניון אורות-אור עקיבא-20,61800,61800,0,1,125.84654451331527,51.0,48.941
1710,40826,222,11222-2-ח,תחנה מרכזית חוף כרמל/רציפים בינעירוני-חיפה<->תחנה מרכזית חדרה/הורדה-חדרה-2ח,46343,46343,0,0,239.4243793757518,281.0,276.845
4004,45643,222,11222-2-ח,תחנה מרכזית חוף כרמל/רציפים בינעירוני-חיפה<->תחנה מרכזית חדרה/הורדה-חדרה-2ח,46354,46354,0,0,55.63705354028994,65.0,61.189
1704,40820,35,24035-1-0,הארזים/האורנים-בנימינה גבעת עדה<->דרך המסילה/ששת הימים-בנימינה גבעת עדה-10,52336,52336,0,0,91.42771857506237,113.0,533.071
1710,40826,35,24035-1-0,הארזים/האורנים-בנימינה גבעת עדה<->דרך המסילה/ששת הימים-בנימינה גבעת עדה-10,52355,52355,1,0,239.4243793757518,281.0,276.845
1704,40820,35,24035-1-0,הארזים/האורנים-בנימינה גבעת עדה<->דרך המסילה/ששת הימים-בנימינה גבעת עדה-10,63736,63736,0,0,91.42771857506237,113.0,533.071
1710,40826,35,24035-1-0,הארזים/האורנים-בנימינה גבעת עדה<->דרך המסילה/ששת הימים-בנימינה גבעת עדה-10,63755,63755,1,0,239.4243793757518,281.0,276.845
1710,40826,70,21070-2-0,הנדיב/המייסדים-זכרון יעקב<->תחנה מרכזית חדרה/הורדה-חדרה-20,37503,37503,0,0,239.4243793757518,281.0,276.845
4004,45643,70,21070-2-0,הנדיב/המייסדים-זכרון יעקב<->תחנה מרכזית חדרה/הורדה-חדרה-20,37517,37517,0,0,55.63705354028994,65.0,61.189
1710,40826,872,10872-2-א,הנדיב/המייסדים-זכרון יעקב<->תחנה מרכזית תל אביב קומה 7/הורדה-תל אביב יפו-2א,22984,22984,0,0,239.4243793757518,281.0,276.845
4004,45643,872,10872-2-א,הנדיב/המייסדים-זכרון יעקב<->תחנה מרכזית תל אביב קומה 7/הורדה-תל אביב יפו-2א,22994,22994,0,0,55.63705354028994,65.0,61.189
4036,46042,9,22009-1-0,קניון-אור עקיבא<->הטחנה/האומן-בנימינה גבעת עדה-10,27994,27994,1,0,125.84654451331527,51.0,48.941
