stop_id,stop_code,line_number,route_desc,route_long_name,arrival,departure,pickup,drop_off,stop_station_distance,google_walking_distance,gh_walking_distance
3087,42220,22,16022-1-#,תחנת רכבת-חדרה<->תחנה מרכזית חדרה/הורדה-חדרה-1#,55200,55200,0,1,53.45168316128561,29.0,27.331
3087,42220,17,12017-1-#,תחנה מרכזית חדרה/רציפים-חדרה<->תחנת רכבת-חדרה-1#,34440,34440,1,0,53.45168316128561,29.0,27.331
3087,42220,15,13015-1-#,תחנת רכבת-חדרה<->העצמאות/ההגנה-חדרה-1#,71400,71400,0,1,53.45168316128561,29.0,27.331
3087,42220,22,16022-1-#,תחנת רכבת-חדרה<->תחנה מרכזית חדרה/הורדה-חדרה-1#,57000,57000,0,1,53.45168316128561,29.0,27.331
3085,42218,51,18051-1-1,תחנת רכבת-חדרה<->מרכז חינוכי-עין החורש-11,47700,47700,0,1,101.61174336746015,77.0,76.339
3087,42220,17,12017-2-ר,תחנת רכבת-חדרה<->תחנה מרכזית חדרה/הורדה-חדרה-2ר,51300,51300,0,1,53.45168316128561,29.0,27.331
3085,42218,55,22055-2-1,'גן יאשיה ד-גן יאשיה<->הגיבורים/הרברט סמואל-חדרה-21,26197,26197,0,0,101.61174336746015,77.0,76.339
3087,42220,א15,13015-1-א,תחנת רכבת-חדרה<->חטיבת גולני/העצמאות-חדרה-1א,66600,66600,0,1,53.45168316128561,29.0,27.331
3087,42220,22,16022-1-#,תחנת רכבת-חדרה<->תחנה מרכזית חדרה/הורדה-חדרה-1#,69600,69600,0,1,53.45168316128561,29.0,27.331
3087,42220,15,13015-1-#,תחנת רכבת-חדרה<->העצמאות/ההגנה-חדרה-1#,76800,76800,0,1,53.45168316128561,29.0,27.331
3087,42220,17,12017-1-#,תחנה מרכזית חדרה/רציפים-חדרה<->תחנת רכבת-חדרה-1#,50640,50640,1,0,53.45168316128561,29.0,27.331
3087,42220,17,12017-2-ר,תחנת רכבת-חדרה<->תחנה מרכזית חדרה/הורדה-חדרה-2ר,30120,30120,0,1,53.45168316128561,29.0,27.331
3085,42218,51,18051-1-1,תחנת רכבת-חדרה<->מרכז חינוכי-עין החורש-11,71100,71100,0,1,101.61174336746015,77.0,76.339
3087,42220,54,27054-2-1,הגפן/התמר-אליכין<->הגיבורים/הרברט סמואל-חדרה-21,31740,31740,0,0,53.45168316128561,29.0,27.331
3087,42220,22,16022-2-#,יצחק בן צבי/אסירי ציון-חדרה<->תחנת רכבת-חדרה-2#,28942,28942,1,0,53.45168316128561,29.0,27.331
3087,42220,22,16022-1-#,תחנת רכבת-חדרה<->תחנה מרכזית חדרה/הורדה-חדרה-1#,59100,59100,0,1,53.45168316128561,29.0,27.331
3087,42220,17,12017-2-ר,תחנת רכבת-חדרה<->תחנה מרכזית חדרה/הורדה-חדרה-2ר,36900,36900,0,1,53.45168316128561,29.0,27.331
3085,42218,51,18051-1-1,תחנת רכבת-חדרה<->מרכז חינוכי-עין החורש-11,65700,65700,0,1,101.61174336746015,77.0,76.339
3087,42220,1,18001-2-2,חפציבה מרכז/מבצע יונתן-חדרה<->תחנה מרכזית חדרה-חדרה-22,26617,26617,0,0,53.45168316128561,29.0,27.331
3087,42220,18,35018-1-#,תחנת רכבת-חדרה<->מרכז קהילתי-חדרה-1#,66600,66600,0,1,53.45168316128561,29.0,27.331
3087,42220,17,12017-1-#,תחנה מרכזית חדרה/רציפים-חדרה<->תחנת רכבת-חדרה-1#,43440,43440,1,0,53.45168316128561,29.0,27.331
3087,42220,17,12017-2-ר,תחנת רכבת-חדרה<->תחנה מרכזית חדרה/הורדה-חדרה-2ר,40500,40500,0,1,53.45168316128561,29.0,27.331
3087,42220,22,16022-1-#,תחנת רכבת-חדרה<->תחנה מרכזית חדרה/הורדה-חדרה-1#,58500,58500,0,1,53.45168316128561,29.0,27.331
3087,42220,15,13015-2-א,יפה נוף/ההגנה-חדרה<->תחנת רכבת-חדרה-2א,32647,32647,1,0,53.45168316128561,29.0,27.331
3087,42220,15,13015-2-#,הפרדס/משמר הגבול-חדרה<->תחנת רכבת-חדרה-2#,27463,27463,1,0,53.45168316128561,29.0,27.331
3087,42220,18,35018-1-#,תחנת רכבת-חדרה<->מרכז קהילתי-חדרה-1#,69600,69600,0,1,53.45168316128561,29.0,27.331
3087,42220,15,13015-2-א,יפה נוף/ההגנה-חדרה<->תחנת רכבת-חדרה-2א,28447,28447,1,0,53.45168316128561,29.0,27.331
3087,42220,22,16022-2-#,יצחק בן צבי/אסירי ציון-חדרה<->תחנת רכבת-חדרה-2#,25942,25942,1,0,53.45168316128561,29.0,27.331
3087,42220,15,13015-1-#,תחנת רכבת-חדרה<->העצמאות/ההגנה-חדרה-1#,60600,60600,0,1,53.45168316128561,29.0,27.331
3087,42220,17,12017-2-ר,תחנת רכבת-חדרה<->תחנה מרכזית חדרה/הורדה-חדרה-2ר,33300,33300,0,1,53.45168316128561,29.0,27.331
3087,42220,17,12017-1-#,תחנה מרכזית חדרה/רציפים-חדרה<->תחנת רכבת-חדרה-1#,32640,32640,1,0,53.45168316128561,29.0,27.331
3087,42220,22,16022-1-#,תחנת רכבת-חדרה<->תחנה מרכזית חדרה/הורדה-חדרה-1#,66300,66300,0,1,53.45168316128561,29.0,27.331
3087,42220,51,18051-2-1,מרכז חינוכי-עין החורש<->הגיבורים/הרברט סמואל-חדרה-21,21670,21670,0,0,53.45168316128561,29.0,27.331
3087,42220,17,12017-1-#,תחנה מרכזית חדרה/רציפים-חדרה<->תחנת רכבת-חדרה-1#,47040,47040,1,0,53.45168316128561,29.0,27.331
3087,42220,17,12017-2-ר,תחנת רכבת-חדרה<->תחנה מרכזית חדרה/הורדה-חדרה-2ר,31500,31500,0,1,53.45168316128561,29.0,27.331
3087,42220,15,13015-2-#,הפרדס/משמר הגבול-חדרה<->תחנת רכבת-חדרה-2#,28423,28423,1,0,53.45168316128561,29.0,27.331
3087,42220,18,35018-1-#,תחנת רכבת-חדרה<->מרכז קהילתי-חדרה-1#,73200,73200,0,1,53.45168316128561,29.0,27.331
3087,42220,15,13015-1-#,תחנת רכבת-חדרה<->העצמאות/ההגנה-חדרה-1#,64200,64200,0,1,53.45168316128561,29.0,27.331
