stop_id,stop_code,line_number,route_desc,route_long_name,arrival,departure,pickup,drop_off,stop_station_distance,google_walking_distance,gh_walking_distance
506,39426,45,18045-2-0,צומת גאולים-גאולים<->תחנה מרכזית נתניה/רציפים-נתניה-20,83495,83495,0,0,41.92370738720677,17.0,105.848
611,39534,22א,19022-3-ס,תחנה מרכזית נתניה/רציפים-נתניה<->תחנה מרכזית נתניה/הורדה-נתניה-3ס,66746,66746,0,0,276.87023306234806,363.0,352.106
506,39426,5,24005-2-#,תחנת רכבת-נתניה<->תחנה מרכזית נתניה/הורדה-נתניה-2#,42300,42300,0,1,41.92370738720677,17.0,105.848
506,39426,5,24005-2-#,תחנת רכבת-נתניה<->תחנה מרכזית נתניה/הורדה-נתניה-2#,79800,79800,0,1,41.92370738720677,17.0,105.848
506,39426,36,16036-1-0,תחנה מרכזית נתניה/רציפים-נתניה<->מחנה גבעת אלונים/גילה-כפר יונה-10,66038,66038,0,0,41.92370738720677,17.0,105.848
506,39426,41,17041-2-0,כיכר המייסדים-ינוב<->תחנה מרכזית נתניה/רציפים-נתניה-20,28736,28736,0,0,41.92370738720677,17.0,105.848
611,39534,15,21015-1-#,תחנה מרכזית נתניה/רציפים-נתניה<->רמת פולג-נתניה-1#,73001,73001,0,0,276.87023306234806,363.0,352.106
611,39534,27,14027-2-#,מרכז מסחרי/שדרות גיבורי ישראל-נתניה<->בי''ס אורט-נתניה-2#,50610,50610,0,0,276.87023306234806,363.0,352.106
506,39426,14,18014-2-#,תחנת רכבת-נתניה<->כיכר העצמאות-נתניה-2#,58200,58200,0,1,41.92370738720677,17.0,105.848
506,39426,5,24005-1-#,תחנה מרכזית נתניה/רציפים-נתניה<->תחנת רכבת-נתניה-1#,76616,76616,1,0,41.92370738720677,17.0,105.848
506,39426,26,19026-2-0,מעברות-מעברות<->תחנה מרכזית נתניה/רציפים-נתניה-20,52760,52760,0,0,41.92370738720677,17.0,105.848
35073,38963,20,18020-2-ז,תחנת רכבת-נתניה<->דרך דגניה/בני וו.רייך-נתניה-2ז,58200,58200,0,1,78.74289332073356,75.0,68.062
611,39534,20,18020-2-ז,תחנת רכבת-נתניה<->דרך דגניה/בני וו.רייך-נתניה-2ז,58465,58465,0,0,276.87023306234806,363.0,352.106
611,39534,15,21015-1-#,תחנה מרכזית נתניה/רציפים-נתניה<->רמת פולג-נתניה-1#,71201,71201,0,0,276.87023306234806,363.0,352.106
611,39534,15,21015-1-#,תחנה מרכזית נתניה/רציפים-נתניה<->רמת פולג-נתניה-1#,29501,29501,0,0,276.87023306234806,363.0,352.106
611,39534,15,21015-1-#,תחנה מרכזית נתניה/רציפים-נתניה<->רמת פולג-נתניה-1#,49301,49301,0,0,276.87023306234806,363.0,352.106
35073,38963,42,21042-2-0,'כפר הס ד-כפר הס<->תחנה מרכזית נתניה/הורדה-נתניה-20,26668,26668,0,0,78.74289332073356,75.0,68.062
611,39534,42,21042-2-0,'כפר הס ד-כפר הס<->תחנה מרכזית נתניה/הורדה-נתניה-20,26917,26917,0,0,276.87023306234806,363.0,352.106
35073,38963,42,21042-2-0,'כפר הס ד-כפר הס<->תחנה מרכזית נתניה/הורדה-נתניה-20,56068,56068,0,0,78.74289332073356,75.0,68.062
611,39534,42,21042-2-0,'כפר הס ד-כפר הס<->תחנה מרכזית נתניה/הורדה-נתניה-20,56317,56317,0,0,276.87023306234806,363.0,352.106
506,39426,26,19026-2-0,מעברות-מעברות<->תחנה מרכזית נתניה/רציפים-נתניה-20,28460,28460,0,0,41.92370738720677,17.0,105.848
506,39426,23,29023-3-1,תחנה מרכזית נתניה/רציפים-נתניה<->תחנה מרכזית נתניה/רציפים-נתניה-31,22238,22238,0,0,41.92370738720677,17.0,105.848
506,39426,23,29023-3-1,תחנה מרכזית נתניה/רציפים-נתניה<->תחנה מרכזית נתניה/רציפים-נתניה-31,25440,25440,0,0,41.92370738720677,17.0,105.848
611,39534,15,21015-1-#,תחנה מרכזית נתניה/רציפים-נתניה<->רמת פולג-נתניה-1#,60101,60101,0,0,276.87023306234806,363.0,352.106
611,39534,22א,19022-3-ע,תחנה מרכזית נתניה/רציפים-נתניה<->תחנה מרכזית נתניה/הורדה-נתניה-3ע,32546,32546,0,0,276.87023306234806,363.0,352.106
35073,38963,42,21042-2-0,'כפר הס ד-כפר הס<->תחנה מרכזית נתניה/הורדה-נתניה-20,74068,74068,0,0,78.74289332073356,75.0,68.062
611,39534,42,21042-2-0,'כפר הס ד-כפר הס<->תחנה מרכזית נתניה/הורדה-נתניה-20,74317,74317,0,0,276.87023306234806,363.0,352.106
35073,38963,20,18020-2-ז,תחנת רכבת-נתניה<->דרך דגניה/בני וו.רייך-נתניה-2ז,60300,60300,0,1,78.74289332073356,75.0,68.062
611,39534,20,18020-2-ז,תחנת רכבת-נתניה<->דרך דגניה/בני וו.רייך-נתניה-2ז,60565,60565,0,0,276.87023306234806,363.0,352.106
506,39426,45,18045-1-0,תחנה מרכזית נתניה/רציפים-נתניה<->ההרחבה/הותיקים-גאולים-10,20775,20775,0,0,41.92370738720677,17.0,105.848
506,39426,5,24005-1-#,תחנה מרכזית נתניה/רציפים-נתניה<->תחנת רכבת-נתניה-1#,42116,42116,1,0,41.92370738720677,17.0,105.848
506,39426,14,18014-2-#,תחנת רכבת-נתניה<->כיכר העצמאות-נתניה-2#,63900,63900,0,1,41.92370738720677,17.0,105.848
506,39426,26,19026-2-0,מעברות-מעברות<->תחנה מרכזית נתניה/רציפים-נתניה-20,67160,67160,0,0,41.92370738720677,17.0,105.848
35073,38963,42,21042-1-0,תחנה מרכזית נתניה/רציפים-נתניה<->'כפר הס ד-כפר הס-10,31122,31122,0,0,78.74289332073356,75.0,68.062
611,39534,42,21042-1-0,תחנה מרכזית נתניה/רציפים-נתניה<->'כפר הס ד-כפר הס-10,31371,31371,0,0,276.87023306234806,363.0,352.106
35073,38963,42,21042-1-0,תחנה מרכזית נתניה/רציפים-נתניה<->'כפר הס ד-כפר הס-10,74922,74922,0,0,78.74289332073356,75.0,68.062
611,39534,42,21042-1-0,תחנה מרכזית נתניה/רציפים-נתניה<->'כפר הס ד-כפר הס-10,75171,75171,0,0,276.87023306234806,363.0,352.106
506,39426,40,19040-2-0,הגפן/שדרות הזיתים-שער אפרים<->תחנה מרכזית נתניה/רציפים-נתניה-20,48466,48466,0,0,41.92370738720677,17.0,105.848
506,39426,41,17041-2-0,כיכר המייסדים-ינוב<->תחנה מרכזית נתניה/רציפים-נתניה-20,56936,56936,0,0,41.92370738720677,17.0,105.848
506,39426,24,29024-3-0,תחנה מרכזית נתניה/רציפים-נתניה<->תחנה מרכזית נתניה/רציפים-נתניה-30,19575,19575,0,0,41.92370738720677,17.0,105.848
506,39426,24,29024-3-0,תחנה מרכזית נתניה/רציפים-נתניה<->תחנה מרכזית נתניה/רציפים-נתניה-30,22370,22370,0,0,41.92370738720677,17.0,105.848
506,39426,14,18014-1-#,דיזנגוף/הרצל-נתניה<->תחנת רכבת-נתניה-1#,26095,26095,1,0,41.92370738720677,17.0,105.848
506,39426,41,17041-1-0,תחנה מרכזית נתניה/רציפים-נתניה<->כיכר המייסדים-ינוב-10,33338,33338,0,0,41.92370738720677,17.0,105.848
507,39427,15,21015-2-#,החוף הירוק-נתניה<->תחנה מרכזית נתניה/הורדה-נתניה-2#,41686,41686,0,0,241.13000667439525,264.0,258.56
506,39426,5,24005-1-#,תחנה מרכזית נתניה/רציפים-נתניה<->תחנת רכבת-נתניה-1#,55016,55016,1,0,41.92370738720677,17.0,105.848
506,39426,25,13025-2-#,תחנת רכבת-נתניה<->הרימון/התמר-נתניה-2#,58200,58200,0,1,41.92370738720677,17.0,105.848
35073,38963,20,18020-2-ז,תחנת רכבת-נתניה<->דרך דגניה/בני וו.רייך-נתניה-2ז,58800,58800,0,1,78.74289332073356,75.0,68.062
611,39534,20,18020-2-ז,תחנת רכבת-נתניה<->דרך דגניה/בני וו.רייך-נתניה-2ז,59065,59065,0,0,276.87023306234806,363.0,352.106
611,39534,15,21015-1-#,תחנה מרכזית נתניה/רציפים-נתניה<->רמת פולג-נתניה-1#,65201,65201,0,0,276.87023306234806,363.0,352.106
506,39426,24,29024-3-1,תחנה מרכזית נתניה/רציפים-נתניה<->תחנה מרכזית נתניה/רציפים-נתניה-31,29175,29175,0,0,41.92370738720677,17.0,105.848
506,39426,24,29024-3-1,תחנה מרכזית נתניה/רציפים-נתניה<->תחנה מרכזית נתניה/רציפים-נתניה-31,32294,32294,0,0,41.92370738720677,17.0,105.848
611,39534,22א,19022-3-ס,תחנה מרכזית נתניה/רציפים-נתניה<->תחנה מרכזית נתניה/הורדה-נתניה-3ס,34466,34466,0,0,276.87023306234806,363.0,352.106
506,39426,45,18045-1-0,תחנה מרכזית נתניה/רציפים-נתניה<->ההרחבה/הותיקים-גאולים-10,25575,25575,0,0,41.92370738720677,17.0,105.848
506,39426,26,19026-1-0,תחנה מרכזית נתניה/רציפים-נתניה<->מעברות-מעברות-10,58575,58575,0,0,41.92370738720677,17.0,105.848
506,39426,41,17041-1-0,תחנה מרכזית נתניה/רציפים-נתניה<->כיכר המייסדים-ינוב-10,50738,50738,0,0,41.92370738720677,17.0,105.848
506,39426,5,24005-2-#,תחנת רכבת-נתניה<->תחנה מרכזית נתניה/הורדה-נתניה-2#,76200,76200,0,1,41.92370738720677,17.0,105.848
506,39426,5,24005-2-#,תחנת רכבת-נתניה<->תחנה מרכזית נתניה/הורדה-נתניה-2#,26400,26400,0,1,41.92370738720677,17.0,105.848
35073,38963,20,18020-1-ז,דרך דגניה/הרב שלום איפרגן-נתניה<->תחנת רכבת-נתניה-1ז,22857,22857,1,0,78.74289332073356,75.0,68.062
506,39426,5,24005-2-#,תחנת רכבת-נתניה<->תחנה מרכזית נתניה/הורדה-נתניה-2#,25800,25800,0,1,41.92370738720677,17.0,105.848
35073,38963,42,21042-2-0,'כפר הס ד-כפר הס<->תחנה מרכזית נתניה/הורדה-נתניה-20,70468,70468,0,0,78.74289332073356,75.0,68.062
611,39534,42,21042-2-0,'כפר הס ד-כפר הס<->תחנה מרכזית נתניה/הורדה-נתניה-20,70717,70717,0,0,276.87023306234806,363.0,352.106
35073,38963,42,21042-1-0,תחנה מרכזית נתניה/רציפים-נתניה<->'כפר הס ד-כפר הס-10,59922,59922,0,0,78.74289332073356,75.0,68.062
611,39534,42,21042-1-0,תחנה מרכזית נתניה/רציפים-נתניה<->'כפר הס ד-כפר הס-10,60171,60171,0,0,276.87023306234806,363.0,352.106
611,39534,18,21018-3-#,בית חולים לניאדו-נתניה<->הרב חי טייב/הרב מיימון-נתניה-3#,80146,80146,0,0,276.87023306234806,363.0,352.106
506,39426,5,24005-1-#,תחנה מרכזית נתניה/רציפים-נתניה<->תחנת רכבת-נתניה-1#,63716,63716,1,0,41.92370738720677,17.0,105.848
506,39426,40,19040-1-0,תחנה מרכזית נתניה/רציפים-נתניה<->הגפן/שד. הזיתים-שער אפרים-10,29779,29779,0,0,41.92370738720677,17.0,105.848
506,39426,25,13025-2-#,תחנת רכבת-נתניה<->הרימון/התמר-נתניה-2#,63900,63900,0,1,41.92370738720677,17.0,105.848
506,39426,136,12136-2-0,מחנה גבעת אלונים/גילה-כפר יונה<->תחנה מרכזית נתניה/רציפים-נתניה-20,23623,23623,0,0,41.92370738720677,17.0,105.848
35073,38963,42,21042-1-0,תחנה מרכזית נתניה/רציפים-נתניה<->'כפר הס ד-כפר הס-10,47322,47322,0,0,78.74289332073356,75.0,68.062
611,39534,42,21042-1-0,תחנה מרכזית נתניה/רציפים-נתניה<->'כפר הס ד-כפר הס-10,47571,47571,0,0,276.87023306234806,363.0,352.106
506,39426,45,18045-2-0,צומת גאולים-גאולים<->תחנה מרכזית נתניה/רציפים-נתניה-20,36095,36095,0,0,41.92370738720677,17.0,105.848
35073,38963,20,18020-2-ז,תחנת רכבת-נתניה<->דרך דגניה/בני וו.רייך-נתניה-2ז,62400,62400,0,1,78.74289332073356,75.0,68.062
611,39534,20,18020-2-ז,תחנת רכבת-נתניה<->דרך דגניה/בני וו.רייך-נתניה-2ז,62665,62665,0,0,276.87023306234806,363.0,352.106
35073,38963,42,21042-1-0,תחנה מרכזית נתניה/רציפים-נתניה<->'כפר הס ד-כפר הס-10,76122,76122,0,0,78.74289332073356,75.0,68.062
611,39534,42,21042-1-0,תחנה מרכזית נתניה/רציפים-נתניה<->'כפר הס ד-כפר הס-10,76371,76371,0,0,276.87023306234806,363.0,352.106
506,39426,14,18014-2-#,תחנת רכבת-נתניה<->כיכר העצמאות-נתניה-2#,65700,65700,0,1,41.92370738720677,17.0,105.848
506,39426,5,24005-1-#,תחנה מרכזית נתניה/רציפים-נתניה<->תחנת רכבת-נתניה-1#,52916,52916,1,0,41.92370738720677,17.0,105.848
611,39534,15,21015-1-#,תחנה מרכזית נתניה/רציפים-נתניה<->רמת פולג-נתניה-1#,54701,54701,0,0,276.87023306234806,363.0,352.106
506,39426,45,18045-1-0,תחנה מרכזית נתניה/רציפים-נתניה<->ההרחבה/הותיקים-גאולים-10,66975,66975,0,0,41.92370738720677,17.0,105.848
506,39426,36,16036-1-0,תחנה מרכזית נתניה/רציפים-נתניה<->מחנה גבעת אלונים/גילה-כפר יונה-10,58838,58838,0,0,41.92370738720677,17.0,105.848
35073,38963,42,21042-2-0,'כפר הס ד-כפר הס<->תחנה מרכזית נתניה/הורדה-נתניה-20,25168,25168,0,0,78.74289332073356,75.0,68.062
611,39534,42,21042-2-0,'כפר הס ד-כפר הס<->תחנה מרכזית נתניה/הורדה-נתניה-20,25417,25417,0,0,276.87023306234806,363.0,352.106
506,39426,26,19026-1-0,תחנה מרכזית נתניה/רציפים-נתניה<->מעברות-מעברות-10,54975,54975,0,0,41.92370738720677,17.0,105.848
