stop_id,stop_code,line_number,route_desc,route_long_name,arrival,departure,pickup,drop_off,stop_station_distance,google_walking_distance,gh_walking_distance
24460,37123,12,29012-2-0,דרך לב השרון/האילן-קדימה צורן<->תחנת רכבת בית יהושע-חוף השרון-20,66590,66590,1,0,22.807507092647324,6.0,6.065
24460,37123,11,33011-2-0,שדרות הדקלים/562-קדימה צורן<->תחנת רכבת בית יהושע-חוף השרון-20,48339,48339,1,0,22.807507092647324,6.0,6.065
24460,37123,43,24043-2-0,'כפר הס ד-כפר הס<->תחנה מרכזית נתניה/הורדה-נתניה-20,46138,46138,0,0,22.807507092647324,6.0,6.065
23680,35830,43,24043-2-0,'כפר הס ד-כפר הס<->תחנה מרכזית נתניה/הורדה-נתניה-20,46235,46235,0,0,261.2038732533817,461.0,466.955
24460,37123,11,33011-1-1,המחשב/הצורן-נתניה<->שדרות הדקלים/הורדים-קדימה צורן-11,65498,65498,0,0,22.807507092647324,6.0,6.065
23681,35831,11,33011-1-1,המחשב/הצורן-נתניה<->שדרות הדקלים/הורדים-קדימה צורן-11,65601,65601,0,0,271.39867983577875,519.0,523.164
24460,37123,12,29012-2-0,דרך לב השרון/האילן-קדימה צורן<->תחנת רכבת בית יהושע-חוף השרון-20,44090,44090,1,0,22.807507092647324,6.0,6.065
24460,37123,11,33011-2-0,שדרות הדקלים/562-קדימה צורן<->תחנת רכבת בית יהושע-חוף השרון-20,23739,23739,1,0,22.807507092647324,6.0,6.065
24460,37123,11,33011-2-0,שדרות הדקלים/562-קדימה צורן<->תחנת רכבת בית יהושע-חוף השרון-20,27939,27939,1,0,22.807507092647324,6.0,6.065
23680,35830,57,22057-1-0,תחנה מרכזית חדרה/רציפים-חדרה<->בית חרושת אביק-נתניה-10,85964,85964,0,0,261.2038732533817,461.0,466.955
199,39111,48,16048-3-ם,בית ספר ש''י עגנון/שמעון בר יוח-נתניה<->תחנה מרכזית נתניה/הורדה-נתניה-3ם,35912,35912,0,0,250.2909617535067,226.0,241.744
24460,37123,13,61013-2-0,תחנת רכבת בית יהושע-חוף השרון<->מרכז מסחרי-פרדסיה-20,57600,57600,0,1,22.807507092647324,6.0,6.065
23680,35830,13,61013-2-0,תחנת רכבת בית יהושע-חוף השרון<->מרכז מסחרי-פרדסיה-20,57718,57718,0,0,261.2038732533817,461.0,466.955
23681,35831,243,13243-2-0,בית חרושת טבע-נתניה<->מרכז מסחרי-פרדסיה-20,5884,5884,0,0,271.39867983577875,519.0,523.164
199,39111,48,16048-3-ם,בית ספר ש''י עגנון/שמעון בר יוח-נתניה<->תחנה מרכזית נתניה/הורדה-נתניה-3ם,57512,57512,0,0,250.2909617535067,226.0,241.744
23680,35830,57,22057-1-0,תחנה מרכזית חדרה/רציפים-חדרה<->בית חרושת אביק-נתניה-10,70244,70244,0,0,261.2038732533817,461.0,466.955
23680,35830,57,22057-1-0,תחנה מרכזית חדרה/רציפים-חדרה<->בית חרושת אביק-נתניה-10,82544,82544,0,0,261.2038732533817,461.0,466.955
23680,35830,57,22057-1-0,תחנה מרכזית חדרה/רציפים-חדרה<->בית חרושת אביק-נתניה-10,84164,84164,0,0,261.2038732533817,461.0,466.955
24460,37123,12,29012-1-0,תחנת רכבת בית יהושע-חוף השרון<->ההדרים צורן/השיקמה צורן-קדימה צורן-10,30900,30900,0,1,22.807507092647324,6.0,6.065
23681,35831,12,29012-1-0,תחנת רכבת בית יהושע-חוף השרון<->ההדרים צורן/השיקמה צורן-קדימה צורן-10,30998,30998,0,0,271.39867983577875,519.0,523.164
24460,37123,11,33011-2-0,שדרות הדקלים/562-קדימה צורן<->תחנת רכבת בית יהושע-חוף השרון-20,35139,35139,1,0,22.807507092647324,6.0,6.065
23681,35831,57,22057-2-0,בית חרושת טבע-נתניה<->תחנה מרכזית חדרה/הורדה-חדרה-20,83299,83299,0,0,271.39867983577875,519.0,523.164
23681,35831,640,10640-2-0,תחנה מרכזית נתניה/רציפים-נתניה<->שיב''א-רמת גן-20,28701,28701,0,0,271.39867983577875,519.0,523.164
24460,37123,13,61013-1-0,המייסדים/שדרות בן גוריון-פרדסיה<->תחנת רכבת בית יהושע-חוף השרון-10,25678,25678,1,0,22.807507092647324,6.0,6.065
24460,37123,44,17044-2-0,'עזריאל ג-עזריאל<->תחנה מרכזית נתניה/הורדה-נתניה-20,31708,31708,0,0,22.807507092647324,6.0,6.065
23680,35830,44,17044-2-0,'עזריאל ג-עזריאל<->תחנה מרכזית נתניה/הורדה-נתניה-20,31805,31805,0,0,261.2038732533817,461.0,466.955
24460,37123,11,33011-2-0,שדרות הדקלים/562-קדימה צורן<->תחנת רכבת בית יהושע-חוף השרון-20,69339,69339,1,0,22.807507092647324,6.0,6.065
23681,35831,609,12609-1-#,תחנה מרכזית נתניה/רציפים-נתניה<->התע''ש/יד חרוצים-כפר סבא-1#,30214,30214,0,1,271.39867983577875,519.0,523.164
23681,35831,57,22057-2-0,בית חרושת טבע-נתניה<->תחנה מרכזית חדרה/הורדה-חדרה-20,65599,65599,0,0,271.39867983577875,519.0,523.164
24460,37123,43,24043-1-0,תחנה מרכזית נתניה/רציפים-נתניה<->'כפר הס ד-כפר הס-10,44113,44113,0,0,22.807507092647324,6.0,6.065
23681,35831,43,24043-1-0,תחנה מרכזית נתניה/רציפים-נתניה<->'כפר הס ד-כפר הס-10,44215,44215,0,0,271.39867983577875,519.0,523.164
23681,35831,640,10640-2-0,תחנה מרכזית נתניה/רציפים-נתניה<->שיב''א-רמת גן-20,26901,26901,0,0,271.39867983577875,519.0,523.164
23680,35830,57,22057-1-0,תחנה מרכזית חדרה/רציפים-חדרה<->בית חרושת אביק-נתניה-10,1364,1364,0,0,261.2038732533817,461.0,466.955
24460,37123,12,29012-1-1,המחשב/הצורן-נתניה<->ההדרים צורן/השיקמה צורן-קדימה צורן-11,68501,68501,0,0,22.807507092647324,6.0,6.065
23681,35831,12,29012-1-1,המחשב/הצורן-נתניה<->ההדרים צורן/השיקמה צורן-קדימה צורן-11,68599,68599,0,0,271.39867983577875,519.0,523.164
24460,37123,14,46014-2-0,תחנת רכבת בית יהושע-חוף השרון<->החלוצים/הפרדסים-צור משה-20,61800,61800,0,1,22.807507092647324,6.0,6.065
23681,35831,14,46014-2-0,תחנת רכבת בית יהושע-חוף השרון<->החלוצים/הפרדסים-צור משה-20,61923,61923,0,0,271.39867983577875,519.0,523.164
