stop_id,stop_code,line_number,route_desc,route_long_name,arrival,departure,pickup,drop_off,stop_station_distance,google_walking_distance,gh_walking_distance
14363,27102,39,16039-2-#,השונית/יורדי ים-הרצליה<->איזור התעשיה כפר סבא-כפר סבא-2#,60890,60890,0,0,126.01943741253133,75.0,67.065
14392,27143,29,19029-2-#,השונית/יורדי ים-הרצליה<->איזור התעשיה כפר סבא-כפר סבא-2#,24653,24653,0,0,163.27797101286697,661.0,604.881
14363,27102,29,19029-2-#,השונית/יורדי ים-הרצליה<->איזור התעשיה כפר סבא-כפר סבא-2#,24968,24968,0,0,126.01943741253133,75.0,67.065
14392,27143,29,19029-2-#,השונית/יורדי ים-הרצליה<->איזור התעשיה כפר סבא-כפר סבא-2#,51653,51653,0,0,163.27797101286697,661.0,604.881
14363,27102,29,19029-2-#,השונית/יורדי ים-הרצליה<->איזור התעשיה כפר סבא-כפר סבא-2#,51968,51968,0,0,126.01943741253133,75.0,67.065
14363,27102,30,33030-2-#,השונית/יורדי ים-הרצליה<->תיכון הדרים/ז'בוטינסקי-הוד השרון-2#,62508,62508,0,0,126.01943741253133,75.0,67.065
38955,20000,29,19029-1-#,איזור התעשיה כפר סבא-כפר סבא<->השונית/יורדי ים-הרצליה-1#,37764,37764,0,0,150.1939761409235,60.0,58.423
29497,20371,29,19029-1-#,איזור התעשיה כפר סבא-כפר סבא<->השונית/יורדי ים-הרצליה-1#,38013,38013,0,0,107.65953543807476,501.0,425.975
38955,20000,39,16039-1-#,התע''ש/יד חרוצים-כפר סבא<->השונית/יורדי ים-הרצליה-1#,28890,28890,0,0,150.1939761409235,60.0,58.423
14363,27102,39,16039-2-#,השונית/יורדי ים-הרצליה<->איזור התעשיה כפר סבא-כפר סבא-2#,75590,75590,0,0,126.01943741253133,75.0,67.065
38955,20000,39,16039-1-#,התע''ש/יד חרוצים-כפר סבא<->השונית/יורדי ים-הרצליה-1#,30090,30090,0,0,150.1939761409235,60.0,58.423
38955,20000,39,16039-1-#,התע''ש/יד חרוצים-כפר סבא<->השונית/יורדי ים-הרצליה-1#,49290,49290,0,0,150.1939761409235,60.0,58.423
38955,20000,12,30012-1-2,צה''ל/היורה-הרצליה<->מלון השרון-הרצליה-12,25264,25264,0,0,150.1939761409235,60.0,58.423
38955,20000,29,19029-1-#,איזור התעשיה כפר סבא-כפר סבא<->השונית/יורדי ים-הרצליה-1#,78204,78204,0,0,150.1939761409235,60.0,58.423
29497,20371,29,19029-1-#,איזור התעשיה כפר סבא-כפר סבא<->השונית/יורדי ים-הרצליה-1#,78453,78453,0,0,107.65953543807476,501.0,425.975
38955,20000,29,19029-1-#,איזור התעשיה כפר סבא-כפר סבא<->השונית/יורדי ים-הרצליה-1#,70884,70884,0,0,150.1939761409235,60.0,58.423
29497,20371,29,19029-1-#,איזור התעשיה כפר סבא-כפר סבא<->השונית/יורדי ים-הרצליה-1#,71133,71133,0,0,107.65953543807476,501.0,425.975
38955,20000,29,19029-1-#,איזור התעשיה כפר סבא-כפר סבא<->השונית/יורדי ים-הרצליה-1#,53604,53604,0,0,150.1939761409235,60.0,58.423
29497,20371,29,19029-1-#,איזור התעשיה כפר סבא-כפר סבא<->השונית/יורדי ים-הרצליה-1#,53853,53853,0,0,107.65953543807476,501.0,425.975
14392,27143,29,19029-2-#,השונית/יורדי ים-הרצליה<->איזור התעשיה כפר סבא-כפר סבא-2#,66053,66053,0,0,163.27797101286697,661.0,604.881
14363,27102,29,19029-2-#,השונית/יורדי ים-הרצליה<->איזור התעשיה כפר סבא-כפר סבא-2#,66368,66368,0,0,126.01943741253133,75.0,67.065
14392,27143,29,19029-2-#,השונית/יורדי ים-הרצליה<->איזור התעשיה כפר סבא-כפר סבא-2#,71453,71453,0,0,163.27797101286697,661.0,604.881
14363,27102,29,19029-2-#,השונית/יורדי ים-הרצליה<->איזור התעשיה כפר סבא-כפר סבא-2#,71768,71768,0,0,126.01943741253133,75.0,67.065
14363,27102,296,24296-1-#,קמפוס עליון-אריאל<->תחנת רכבת-הרצליה-1#,65998,65998,1,0,126.01943741253133,75.0,67.065
38955,20000,29,19029-1-#,איזור התעשיה כפר סבא-כפר סבא<->השונית/יורדי ים-הרצליה-1#,30144,30144,0,0,150.1939761409235,60.0,58.423
29497,20371,29,19029-1-#,איזור התעשיה כפר סבא-כפר סבא<->השונית/יורדי ים-הרצליה-1#,30393,30393,0,0,107.65953543807476,501.0,425.975
38955,20000,29,19029-1-#,איזור התעשיה כפר סבא-כפר סבא<->השונית/יורדי ים-הרצליה-1#,56304,56304,0,0,150.1939761409235,60.0,58.423
29497,20371,29,19029-1-#,איזור התעשיה כפר סבא-כפר סבא<->השונית/יורדי ים-הרצליה-1#,56553,56553,0,0,107.65953543807476,501.0,425.975
14363,27102,27,18027-2-#,השונית/יורדי ים-הרצליה<->מסוף קדמה-רמת השרון-2#,75529,75529,0,0,126.01943741253133,75.0,67.065
14363,27102,30,33030-2-#,השונית/יורדי ים-הרצליה<->תיכון הדרים/ז'בוטינסקי-הוד השרון-2#,58908,58908,0,0,126.01943741253133,75.0,67.065
38955,20000,29,19029-1-#,איזור התעשיה כפר סבא-כפר סבא<->השונית/יורדי ים-הרצליה-1#,52884,52884,0,0,150.1939761409235,60.0,58.423
29497,20371,29,19029-1-#,איזור התעשיה כפר סבא-כפר סבא<->השונית/יורדי ים-הרצליה-1#,53133,53133,0,0,107.65953543807476,501.0,425.975
38955,20000,29,19029-1-#,איזור התעשיה כפר סבא-כפר סבא<->השונית/יורדי ים-הרצליה-1#,70164,70164,0,0,150.1939761409235,60.0,58.423
29497,20371,29,19029-1-#,איזור התעשיה כפר סבא-כפר סבא<->השונית/יורדי ים-הרצליה-1#,70413,70413,0,0,107.65953543807476,501.0,425.975
14392,27143,29,19029-2-#,השונית/יורדי ים-הרצליה<->איזור התעשיה כפר סבא-כפר סבא-2#,69653,69653,0,0,163.27797101286697,661.0,604.881
14363,27102,29,19029-2-#,השונית/יורדי ים-הרצליה<->איזור התעשיה כפר סבא-כפר סבא-2#,69968,69968,0,0,126.01943741253133,75.0,67.065
14392,27143,29,19029-2-#,השונית/יורדי ים-הרצליה<->איזור התעשיה כפר סבא-כפר סבא-2#,70553,70553,0,0,163.27797101286697,661.0,604.881
14363,27102,29,19029-2-#,השונית/יורדי ים-הרצליה<->איזור התעשיה כפר סבא-כפר סבא-2#,70868,70868,0,0,126.01943741253133,75.0,67.065
14392,27143,29,19029-2-#,השונית/יורדי ים-הרצליה<->איזור התעשיה כפר סבא-כפר סבא-2#,74453,74453,0,0,163.27797101286697,661.0,604.881
14363,27102,29,19029-2-#,השונית/יורדי ים-הרצליה<->איזור התעשיה כפר סבא-כפר סבא-2#,74768,74768,0,0,126.01943741253133,75.0,67.065
38955,20000,29,19029-1-#,איזור התעשיה כפר סבא-כפר סבא<->השונית/יורדי ים-הרצליה-1#,23904,23904,0,0,150.1939761409235,60.0,58.423
29497,20371,29,19029-1-#,איזור התעשיה כפר סבא-כפר סבא<->השונית/יורדי ים-הרצליה-1#,24153,24153,0,0,107.65953543807476,501.0,425.975
14363,27102,30,33030-2-#,השונית/יורדי ים-הרצליה<->תיכון הדרים/ז'בוטינסקי-הוד השרון-2#,66108,66108,0,0,126.01943741253133,75.0,67.065
38955,20000,29,19029-1-#,איזור התעשיה כפר סבא-כפר סבא<->השונית/יורדי ים-הרצליה-1#,23004,23004,0,0,150.1939761409235,60.0,58.423
29497,20371,29,19029-1-#,איזור התעשיה כפר סבא-כפר סבא<->השונית/יורדי ים-הרצליה-1#,23253,23253,0,0,107.65953543807476,501.0,425.975
14392,27143,29,19029-2-#,השונית/יורדי ים-הרצליה<->איזור התעשיה כפר סבא-כפר סבא-2#,46613,46613,0,0,163.27797101286697,661.0,604.881
14363,27102,29,19029-2-#,השונית/יורדי ים-הרצליה<->איזור התעשיה כפר סבא-כפר סבא-2#,46928,46928,0,0,126.01943741253133,75.0,67.065
38955,20000,39,16039-1-#,התע''ש/יד חרוצים-כפר סבא<->השונית/יורדי ים-הרצליה-1#,61290,61290,0,0,150.1939761409235,60.0,58.423
14363,27102,39,16039-2-#,השונית/יורדי ים-הרצליה<->איזור התעשיה כפר סבא-כפר סבא-2#,56690,56690,0,0,126.01943741253133,75.0,67.065
14363,27102,39,16039-2-#,השונית/יורדי ים-הרצליה<->איזור התעשיה כפר סבא-כפר סבא-2#,33290,33290,0,0,126.01943741253133,75.0,67.065
38955,20000,39,16039-1-#,התע''ש/יד חרוצים-כפר סבא<->השונית/יורדי ים-הרצליה-1#,27690,27690,0,0,150.1939761409235,60.0,58.423
14392,27143,29,19029-2-#,השונית/יורדי ים-הרצליה<->איזור התעשיה כפר סבא-כפר סבא-2#,22853,22853,0,0,163.27797101286697,661.0,604.881
14363,27102,29,19029-2-#,השונית/יורדי ים-הרצליה<->איזור התעשיה כפר סבא-כפר סבא-2#,23168,23168,0,0,126.01943741253133,75.0,67.065
14363,27102,8,30008-3-2,תחנת רכבת-הרצליה<->תחנת רכבת-הרצליה-32,57600,57600,0,1,126.01943741253133,75.0,67.065
14363,27102,8,30008-3-2,תחנת רכבת-הרצליה<->תחנת רכבת-הרצליה-32,59005,59005,1,0,126.01943741253133,75.0,67.065
38955,20000,29,19029-1-#,איזור התעשיה כפר סבא-כפר סבא<->השונית/יורדי ים-הרצליה-1#,31344,31344,0,0,150.1939761409235,60.0,58.423
29497,20371,29,19029-1-#,איזור התעשיה כפר סבא-כפר סבא<->השונית/יורדי ים-הרצליה-1#,31593,31593,0,0,107.65953543807476,501.0,425.975
38955,20000,39,16039-1-#,התע''ש/יד חרוצים-כפר סבא<->השונית/יורדי ים-הרצליה-1#,36690,36690,0,0,150.1939761409235,60.0,58.423
14363,27102,39,16039-2-#,השונית/יורדי ים-הרצליה<->איזור התעשיה כפר סבא-כפר סבא-2#,65690,65690,0,0,126.01943741253133,75.0,67.065
38955,20000,29,19029-1-#,איזור התעשיה כפר סבא-כפר סבא<->השונית/יורדי ים-הרצליה-1#,52164,52164,0,0,150.1939761409235,60.0,58.423
29497,20371,29,19029-1-#,איזור התעשיה כפר סבא-כפר סבא<->השונית/יורדי ים-הרצליה-1#,52413,52413,0,0,107.65953543807476,501.0,425.975
38955,20000,13,28013-3-1,בן גוריון/העצמאות-הרצליה<->תחנה מרכזית-הרצליה-31,61739,61739,0,0,150.1939761409235,60.0,58.423
38955,20000,13,28013-3-1,בן גוריון/העצמאות-הרצליה<->תחנה מרכזית-הרצליה-31,65339,65339,0,0,150.1939761409235,60.0,58.423
14363,27102,27,18027-2-#,השונית/יורדי ים-הרצליה<->מסוף קדמה-רמת השרון-2#,29629,29629,0,0,126.01943741253133,75.0,67.065
14363,27102,8,30008-2-#,תחנת רכבת-הרצליה<->תחנה מרכזית-הרצליה-2#,30300,30300,0,1,126.01943741253133,75.0,67.065
14363,27102,8,30008-3-2,תחנת רכבת-הרצליה<->תחנת רכבת-הרצליה-32,50400,50400,0,1,126.01943741253133,75.0,67.065
14363,27102,8,30008-3-2,תחנת רכבת-הרצליה<->תחנת רכבת-הרצליה-32,51805,51805,1,0,126.01943741253133,75.0,67.065
38955,20000,29,19029-1-#,איזור התעשיה כפר סבא-כפר סבא<->השונית/יורדי ים-הרצליה-1#,25704,25704,0,0,150.1939761409235,60.0,58.423
29497,20371,29,19029-1-#,איזור התעשיה כפר סבא-כפר סבא<->השונית/יורדי ים-הרצליה-1#,25953,25953,0,0,107.65953543807476,501.0,425.975
14363,27102,27,18027-2-#,השונית/יורדי ים-הרצליה<->מסוף קדמה-רמת השרון-2#,33229,33229,0,0,126.01943741253133,75.0,67.065
14363,27102,39,16039-2-#,השונית/יורדי ים-הרצליה<->איזור התעשיה כפר סבא-כפר סבא-2#,24290,24290,0,0,126.01943741253133,75.0,67.065
38955,20000,27,18027-1-#,מסוף קדמה-רמת השרון<->השונית/יורדי ים-הרצליה-1#,27596,27596,0,0,150.1939761409235,60.0,58.423
38955,20000,30,33030-1-#,ז'בוטינסקי/שביל התיכון-הוד השרון<->השונית/יורדי ים-הרצליה-1#,26254,26254,0,0,150.1939761409235,60.0,58.423
14363,27102,27,18027-2-#,השונית/יורדי ים-הרצליה<->מסוף קדמה-רמת השרון-2#,54229,54229,0,0,126.01943741253133,75.0,67.065
38955,20000,11,34011-3-#,בן גוריון/העצמאות-הרצליה<->תחנה מרכזית-הרצליה-3#,56339,56339,0,0,150.1939761409235,60.0,58.423
14392,27143,29,19029-2-#,השונית/יורדי ים-הרצליה<->איזור התעשיה כפר סבא-כפר סבא-2#,28613,28613,0,0,163.27797101286697,661.0,604.881
