stop_id,stop_code,line_number,route_desc,route_long_name,arrival,departure,pickup,drop_off,stop_station_distance,google_walking_distance,gh_walking_distance
13221,21718,220,11220-1-0,עתידים-תל אביב יפו<->כרמלית-תל אביב יפו-10,33167,33167,0,0,129.32247789999101,406.0,208.031
13948,26313,289,11289-1-0,רכבת אונ מערבי-תל אביב יפו<->חניון תמנע/תמנע-חולון-10,58560,58560,0,1,159.70994338222292,248.0,251.993
13950,26315,289,11289-1-0,רכבת אונ מערבי-תל אביב יפו<->חניון תמנע/תמנע-חולון-10,59167,59167,0,0,288.1675071007676,317.0,483.915
13946,26302,89,22089-2-0,מסוף קריית שרת-חולון<->עתידים-תל אביב יפו-20,59379,59379,0,0,246.47044433121675,374.0,333.956
13221,21718,48,20048-1-#,לב הפארק/וייצמן-רעננה<->מסוף כרמלית/הכרמל-תל אביב יפו-1#,53881,53881,0,0,129.32247789999101,406.0,208.031
13950,26315,7,21007-2-0,בית חולים וולפסון/הלוחמים-חולון<->רכבת אונ מערבי-תל אביב יפו-20,56939,56939,0,0,288.1675071007676,317.0,483.915
13949,26314,7,21007-2-0,בית חולים וולפסון/הלוחמים-חולון<->רכבת אונ מערבי-תל אביב יפו-20,57011,57011,1,0,143.16248550533365,151.0,155.557
13221,21718,12,23012-2-0,עתידים-תל אביב יפו<->רדינג-תל אביב יפו-20,51087,51087,0,0,129.32247789999101,406.0,208.031
13950,26315,289,11289-2-0,חניון תמנע-חולון<->רכבת אונ מערבי-תל אביב יפו-20,43010,43010,0,0,288.1675071007676,317.0,483.915
13949,26314,289,11289-2-0,חניון תמנע-חולון<->רכבת אונ מערבי-תל אביב יפו-20,43082,43082,1,0,143.16248550533365,151.0,155.557
13950,26315,13,21013-2-1,קריית חינוך-תל אביב יפו<->כרמלית-תל אביב יפו-21,28035,28035,0,0,288.1675071007676,317.0,483.915
13949,26314,13,21013-2-1,קריית חינוך-תל אביב יפו<->כרמלית-תל אביב יפו-21,28107,28107,0,0,143.16248550533365,151.0,155.557
13221,21718,22,20022-2-0,קניון איילון-רמת גן<->כרמלית-תל אביב יפו-20,78199,78199,0,0,129.32247789999101,406.0,208.031
39045,20060,8,55008-2-0,תחנת רכבת האוניברסיטה מזרח-תל אביב יפו<->עתידים-תל אביב יפו-20,31800,31800,0,1,76.53710378194675,155.0,133.91
13946,26302,8,55008-2-0,תחנת רכבת האוניברסיטה מזרח-תל אביב יפו<->עתידים-תל אביב יפו-20,31895,31895,0,0,246.47044433121675,374.0,333.956
13950,26315,45,14045-2-0,בקו''ם/שדרות אהרון קציר-רמת גן<->רכבת אונ מערבי-תל אביב יפו-20,73908,73908,0,0,288.1675071007676,317.0,483.915
13949,26314,45,14045-2-0,בקו''ם/שדרות אהרון קציר-רמת גן<->רכבת אונ מערבי-תל אביב יפו-20,73981,73981,1,0,143.16248550533365,151.0,155.557
13948,26313,49,17049-2-0,רכבת אונ מערבי-תל אביב יפו<->תחנה מרכזית פתח תקווה/רציפים עירוני-פתח תקווה-20,23100,23100,0,1,159.70994338222292,248.0,251.993
13948,26313,45,14045-1-0,רכבת אונ מערבי-תל אביב יפו<->בקו''ם/שדרות אהרון קציר-רמת גן-10,23520,23520,0,1,159.70994338222292,248.0,251.993
13221,21718,48,20048-1-#,לב הפארק/וייצמן-רעננה<->מסוף כרמלית/הכרמל-תל אביב יפו-1#,52081,52081,0,0,129.32247789999101,406.0,208.031
13950,26315,7,21007-2-0,בית חולים וולפסון/הלוחמים-חולון<->רכבת אונ מערבי-תל אביב יפו-20,40259,40259,0,0,288.1675071007676,317.0,483.915
13949,26314,7,21007-2-0,בית חולים וולפסון/הלוחמים-חולון<->רכבת אונ מערבי-תל אביב יפו-20,40331,40331,1,0,143.16248550533365,151.0,155.557
13950,26315,7,21007-2-0,בית חולים וולפסון/הלוחמים-חולון<->רכבת אונ מערבי-תל אביב יפו-20,68579,68579,0,0,288.1675071007676,317.0,483.915
