stop_id,stop_code,line_number,route_desc,route_long_name,arrival,departure,pickup,drop_off,stop_station_distance,google_walking_distance,gh_walking_distance
13271,22937,5,25005-2-0,ת.רכבת מרכז-תל אביב יפו<->תחנה מרכזית תל אביב קומה 4/הורדה-תל אביב יפו-20,41580,41580,0,1,229.5242525683005,253.0,206.039
14339,27010,51,15051-2-0,תחנה מרכזית תל אביב קומה 7/רציפים-תל אביב יפו<->תחנה מרכזית פתח תקווה/רציפים עירוני-פתח תקווה-20,44139,44139,0,0,294.2251457396702,659.0,684.654
13915,26241,138,13038-1-1,תחנת רכבת קרית אריה-פתח תקווה<->כרמלית-תל אביב יפו-11,66796,66796,0,0,222.84546364730346,302.0,298.503
38943,20030,138,13038-1-1,תחנת רכבת קרית אריה-פתח תקווה<->כרמלית-תל אביב יפו-11,66809,66809,0,0,261.3038227836506,579.0,576.29
38943,20030,1,81001-1-0,תחנה מרכזית פתח תקווה/רציפים עירוני-פתח תקווה<->מרכז הספורט-בת ים-10,31847,31847,0,0,261.3038227836506,579.0,576.29
13271,22937,18,22018-1-0,ת.רכבת מרכז-תל אביב יפו<->בית עלמין-בת ים-10,50400,50400,0,1,229.5242525683005,253.0,206.039
29678,20594,480,10480-1-#,ארלוזורוב-מסוף-תל אביב יפו<->תחנה מרכזית ירושלים/הורדה-ירושלים-1#,49200,49200,0,1,234.32214090518494,338.0,206.649
14339,27010,286,10286-2-#,תחנה מרכזית תל אביב קומה 7/רציפים-תל אביב יפו<->אוניברסיטת אריאל/כביש 31-אריאל-2#,72620,72620,0,1,294.2251457396702,659.0,684.654
29678,20594,173,13173-2-#,ארלוזורוב-מסוף-תל אביב יפו<->תחנה מרכזית ראשון לציון/הורדה-ראשון לציון-2#,76500,76500,0,1,234.32214090518494,338.0,206.649
13729,25935,10,18010-2-0,מתחם ג'י/ילדי טהרן-ראשון לציון<->ת.רכבת מרכז-תל אביב יפו-20,89557,89557,0,0,118.36119622516159,102.0,65.961
13271,22937,10,18010-2-0,מתחם ג'י/ילדי טהרן-ראשון לציון<->ת.רכבת מרכז-תל אביב יפו-20,89596,89596,1,0,229.5242525683005,253.0,206.039
13730,25937,5,25005-1-0,תחנה מרכזית תל אביב קומה 4/רציפים-תל אביב יפו<->ת.רכבת מרכז-תל אביב יפו-10,35840,35840,0,0,247.54409773129478,281.0,288.6
13271,22937,5,25005-1-0,תחנה מרכזית תל אביב קומה 4/רציפים-תל אביב יפו<->ת.רכבת מרכז-תל אביב יפו-10,35864,35864,1,0,229.5242525683005,253.0,206.039
29678,20594,480,10480-1-#,ארלוזורוב-מסוף-תל אביב יפו<->תחנה מרכזית ירושלים/הורדה-ירושלים-1#,66720,66720,0,1,234.32214090518494,338.0,206.649
13271,22937,10,18010-1-0,ת.רכבת מרכז-תל אביב יפו<->מתחם ג'י/ילדי טהרן-ראשון לציון-10,53040,53040,0,1,229.5242525683005,253.0,206.039
29309,20001,111,12111-1-0,עמק דותן/עמק יזרעאל-מודיעין מכבים רעות<->מסוף 2000-תל אביב יפו-10,73204,73204,1,0,197.1233788101014,220.0,182.935
29325,20029,58,15058-1-0,קניון איילון-רמת גן<->כורזין-גבעתיים-10,30924,30924,0,0,217.46197538876712,385.0,269.702
13730,25937,58,15058-1-0,קניון איילון-רמת גן<->כורזין-גבעתיים-10,31124,31124,0,0,247.54409773129478,281.0,288.6
13125,21510,58,15058-1-0,קניון איילון-רמת גן<->כורזין-גבעתיים-10,31145,31145,0,0,211.73701195199453,171.0,183.549
29309,20001,104,15104-1-0,מסוף עירוני-תח''צ-מודיעין מכבים רעות<->מסוף 2000-תל אביב יפו-10,25131,25131,1,0,197.1233788101014,220.0,182.935
38943,20030,567,10567-2-#,תחנה מרכזית כפר סבא/רציפים-כפר סבא<->תחנה מרכזית תל אביב קומה 6/הורדה-תל אביב יפו-2#,58500,58500,1,0,261.3038227836506,579.0,576.29
