stop_id,stop_code,line_number,route_desc,route_long_name,arrival,departure,pickup,drop_off,stop_station_distance,google_walking_distance,gh_walking_distance
13053,21390,7,22007-1-0,עתידים-תל אביב יפו<->קהילות יעקב/רבי יוסף צבי רימון-בני ברק-10,79971,79971,0,0,246.19870319255264,338.0,321.826
13090,21452,7,22007-1-0,עתידים-תל אביב יפו<->קהילות יעקב/רבי יוסף צבי רימון-בני ברק-10,80018,80018,0,0,285.92860499496317,606.0,480.58
13088,21450,75,18075-2-#,מסוף קניון הזהב-ראשון לציון<->עתידים-תל אביב יפו-2#,31380,31380,0,0,222.44756556296926,349.0,351.789
13053,21390,137,10137-1-1,מסוף האוניברסיטה-תל אביב יפו<->הרצל/טרומפלדור-יהוד מונוסון-11,63140,63140,0,0,246.19870319255264,338.0,321.826
13053,21390,142,12142-1-0,עתידים-תל אביב יפו<->בית עלמין-בת ים-10,22543,22543,0,0,246.19870319255264,338.0,321.826
13090,21452,142,12142-1-0,עתידים-תל אביב יפו<->בית עלמין-בת ים-10,22590,22590,0,0,285.92860499496317,606.0,480.58
13088,21450,525,10525-1-א,תחנה מרכזית תל אביב קומה 6/רציפים-תל אביב יפו<->תחנה מרכזית הרצליה/הורדה-הרצליה-1א,81973,81973,0,0,222.44756556296926,349.0,351.789
13088,21450,142,12142-2-0,בית עלמין-בת ים<->עתידים-תל אביב יפו-20,30838,30838,0,0,222.44756556296926,349.0,351.789
13088,21450,42,15042-2-0,מרכז הספורט/דרך בגין-בת ים<->עתידים-תל אביב יפו-20,54745,54745,0,0,222.44756556296926,349.0,351.789
13088,21450,524,10524-1-א,תחנה מרכזית תל אביב קומה 6/רציפים-תל אביב יפו<->תחנה מרכזית הרצליה/הורדה-הרצליה-1א,63720,63720,0,0,222.44756556296926,349.0,351.789
13088,21450,264,12264-2-ז,תחנה מרכזית ראשון לציון-ראשון לציון<->עתידים-תל אביב יפו-2ז,32516,32516,0,0,222.44756556296926,349.0,351.789
13053,21390,75,18075-1-#,עתידים-תל אביב יפו<->דוד סחרוב/אברהם בר-ראשון לציון-1#,56340,56340,0,0,246.19870319255264,338.0,321.826
13090,21452,75,18075-1-#,עתידים-תל אביב יפו<->דוד סחרוב/אברהם בר-ראשון לציון-1#,56400,56400,0,0,285.92860499496317,606.0,480.58
13088,21450,22,20022-2-0,קניון איילון-רמת גן<->כרמלית-תל אביב יפו-20,76393,76393,0,0,222.44756556296926,349.0,351.789
13053,21390,42,15042-1-0,עתידים-תל אביב יפו<->מרכז הספורט-בת ים-10,28659,28659,0,0,246.19870319255264,338.0,321.826
13090,21452,42,15042-1-0,עתידים-תל אביב יפו<->מרכז הספורט-בת ים-10,28706,28706,0,0,285.92860499496317,606.0,480.58
13088,21450,142,12142-2-0,בית עלמין-בת ים<->עתידים-תל אביב יפו-20,49978,49978,0,0,222.44756556296926,349.0,351.789
13090,21452,180,12180-2-0,קניון איילון/מבצע קדש-רמת גן<->רבן יוחנן בן זכאי/שמעיה-אלעד-20,62400,62400,0,1,285.92860499496317,606.0,480.58
13088,21450,525,10525-1-#,תחנה מרכזית תל אביב קומה 6/רציפים-תל אביב יפו<->תחנה מרכזית הרצליה/הורדה-הרצליה-1#,33000,33000,0,0,222.44756556296926,349.0,351.789
13088,21450,531,10531-1-א,תחנה מרכזית תל אביב קומה 6/רציפים-תל אביב יפו<->תחנה מרכזית הרצליה/הורדה-הרצליה-1א,41340,41340,0,0,222.44756556296926,349.0,351.789
13053,21390,142,12142-1-0,עתידים-תל אביב יפו<->בית עלמין-בת ים-10,343,343,0,0,246.19870319255264,338.0,321.826
13090,21452,142,12142-1-0,עתידים-תל אביב יפו<->בית עלמין-בת ים-10,390,390,0,0,285.92860499496317,606.0,480.58
13053,21390,52,15052-2-0,עתידים-תל אביב יפו<->תחנה מרכזית תל אביב קומה 7/הורדה-תל אביב יפו-20,42463,42463,0,0,246.19870319255264,338.0,321.826
13090,21452,52,15052-2-0,עתידים-תל אביב יפו<->תחנה מרכזית תל אביב קומה 7/הורדה-תל אביב יפו-20,42510,42510,0,0,285.92860499496317,606.0,480.58
13088,21450,7,22007-2-0,קהילות יעקב/רבי יוסף צבי רימון-בני ברק<->עתידים-תל אביב יפו-20,22923,22923,0,0,222.44756556296926,349.0,351.789
13053,21390,52,15052-2-0,עתידים-תל אביב יפו<->תחנה מרכזית תל אביב קומה 7/הורדה-תל אביב יפו-20,62863,62863,0,0,246.19870319255264,338.0,321.826
13090,21452,52,15052-2-0,עתידים-תל אביב יפו<->תחנה מרכזית תל אביב קומה 7/הורדה-תל אביב יפו-20,62910,62910,0,0,285.92860499496317,606.0,480.58
13053,21390,42,15042-1-0,עתידים-תל אביב יפו<->מרכז הספורט-בת ים-10,56919,56919,0,0,246.19870319255264,338.0,321.826
13090,21452,42,15042-1-0,עתידים-תל אביב יפו<->מרכז הספורט-בת ים-10,56966,56966,0,0,285.92860499496317,606.0,480.58
13053,21390,52,15052-2-0,עתידים-תל אביב יפו<->תחנה מרכזית תל אביב קומה 7/הורדה-תל אביב יפו-20,35863,35863,0,0,246.19870319255264,338.0,321.826
13090,21452,52,15052-2-0,עתידים-תל אביב יפו<->תחנה מרכזית תל אביב קומה 7/הורדה-תל אביב יפו-20,35910,35910,0,0,285.92860499496317,606.0,480.58
13088,21450,266,11266-1-0,בית רבקה-פתח תקווה<->מסוף האוניברסיטה-תל אביב יפו-10,25092,25092,0,0,222.44756556296926,349.0,351.789
13088,21450,142,12142-2-0,בית עלמין-בת ים<->עתידים-תל אביב יפו-20,24898,24898,0,0,222.44756556296926,349.0,351.789
