stop_id,stop_code,line_number,route_desc,route_long_name,arrival,departure,pickup,drop_off,stop_station_distance,google_walking_distance,gh_walking_distance
23298,35377,46,20046-2-1,בי''ח בלינסון - הקניון הגדול/ז'בוטינסקי-פתח תקווה<->תחנת רכבת קרית אריה-פתח תקווה-21,48352,48352,1,0,57.3416647103535,90.0,82.351
23298,35377,138,13038-1-1,תחנת רכבת קרית אריה-פתח תקווה<->כרמלית-תל אביב יפו-11,64500,64500,0,1,57.3416647103535,90.0,82.351
23299,35378,138,13038-1-1,תחנת רכבת קרית אריה-פתח תקווה<->כרמלית-תל אביב יפו-11,64613,64613,0,0,241.66612389502004,212.0,213.293
23299,35378,145,15145-1-#,תחנת רכבת קרית אריה-פתח תקווה<->מסוף וולפסון-תל אביב יפו-1#,30600,30600,0,1,241.66612389502004,212.0,213.293
23298,35377,53,24053-2-0,תחנת רכבת קרית אריה-פתח תקווה<->תחנה מרכזית פתח תקווה/הורדה-פתח תקווה-20,30900,30900,0,1,57.3416647103535,90.0,82.351
23298,35377,53,24053-1-0,תחנה מרכזית פתח תקווה/רציפים אזורי-פתח תקווה<->תחנת רכבת קרית אריה-פתח תקווה-10,64826,64826,1,0,57.3416647103535,90.0,82.351
23298,35377,44,23044-2-0,תחנת רכבת קרית אריה-פתח תקווה<->תחנה מרכזית פתח תקווה/הורדה-פתח תקווה-20,28200,28200,0,1,57.3416647103535,90.0,82.351
23298,35377,38,13038-2-0,כרמלית-תל אביב יפו<->תחנת רכבת קרית אריה-פתח תקווה-20,66491,66491,1,0,57.3416647103535,90.0,82.351
23298,35377,138,13038-1-1,תחנת רכבת קרית אריה-פתח תקווה<->כרמלית-תל אביב יפו-11,46500,46500,0,1,57.3416647103535,90.0,82.351
23299,35378,138,13038-1-1,תחנת רכבת קרית אריה-פתח תקווה<->כרמלית-תל אביב יפו-11,46613,46613,0,0,241.66612389502004,212.0,213.293
23298,35377,53,24053-1-0,תחנה מרכזית פתח תקווה/רציפים אזורי-פתח תקווה<->תחנת רכבת קרית אריה-פתח תקווה-10,55226,55226,1,0,57.3416647103535,90.0,82.351
23299,35378,266,11266-1-0,בית רבקה-פתח תקווה<->מסוף האוניברסיטה-תל אביב יפו-10,24666,24666,0,0,241.66612389502004,212.0,213.293
23298,35377,53,24053-2-0,תחנת רכבת קרית אריה-פתח תקווה<->תחנה מרכזית פתח תקווה/הורדה-פתח תקווה-20,57120,57120,0,1,57.3416647103535,90.0,82.351
23298,35377,53,24053-1-0,תחנה מרכזית פתח תקווה/רציפים אזורי-פתח תקווה<->תחנת רכבת קרית אריה-פתח תקווה-10,58826,58826,1,0,57.3416647103535,90.0,82.351
23298,35377,46,20046-1-1,תחנת רכבת קרית אריה-פתח תקווה<->מרכז רפואי רבין-פתח תקווה-11,48900,48900,0,1,57.3416647103535,90.0,82.351
23298,35377,44,23044-2-0,תחנת רכבת קרית אריה-פתח תקווה<->תחנה מרכזית פתח תקווה/הורדה-פתח תקווה-20,74100,74100,0,1,57.3416647103535,90.0,82.351
23298,35377,44,23044-2-0,תחנת רכבת קרית אריה-פתח תקווה<->תחנה מרכזית פתח תקווה/הורדה-פתח תקווה-20,56100,56100,0,1,57.3416647103535,90.0,82.351
23299,35378,145,15145-2-#,מסוף וולפסון/הלוחמים-חולון<->תחנת רכבת קרית אריה-פתח תקווה-2#,67638,67638,1,0,241.66612389502004,212.0,213.293
23298,35377,53,24053-2-0,תחנת רכבת קרית אריה-פתח תקווה<->תחנה מרכזית פתח תקווה/הורדה-פתח תקווה-20,19800,19800,0,1,57.3416647103535,90.0,82.351
23298,35377,38,13038-2-0,כרמלית-תל אביב יפו<->תחנת רכבת קרית אריה-פתח תקווה-20,62891,62891,1,0,57.3416647103535,90.0,82.351
23298,35377,44,23044-2-0,תחנת רכבת קרית אריה-פתח תקווה<->תחנה מרכזית פתח תקווה/הורדה-פתח תקווה-20,60600,60600,0,1,57.3416647103535,90.0,82.351
23298,35377,46,20046-1-1,תחנת רכבת קרית אריה-פתח תקווה<->מרכז רפואי רבין-פתח תקווה-11,31800,31800,0,1,57.3416647103535,90.0,82.351
23298,35377,44,23044-2-0,תחנת רכבת קרית אריה-פתח תקווה<->תחנה מרכזית פתח תקווה/הורדה-פתח תקווה-20,24600,24600,0,1,57.3416647103535,90.0,82.351
23298,35377,53,24053-1-0,תחנה מרכזית פתח תקווה/רציפים אזורי-פתח תקווה<->תחנת רכבת קרית אריה-פתח תקווה-10,29126,29126,1,0,57.3416647103535,90.0,82.351
23298,35377,44,23044-1-0,תחנה מרכזית פתח תקווה/רציפים אזורי-פתח תקווה<->תחנת רכבת קרית אריה-פתח תקווה-10,30990,30990,1,0,57.3416647103535,90.0,82.351
23298,35377,138,13038-2-1,כרמלית-תל אביב יפו<->תחנת רכבת קרית אריה-פתח תקווה-21,33951,33951,1,0,57.3416647103535,90.0,82.351
23299,35378,266,11266-1-0,בית רבקה-פתח תקווה<->מסוף האוניברסיטה-תל אביב יפו-10,52746,52746,0,0,241.66612389502004,212.0,213.293
23298,35377,53,24053-1-0,תחנה מרכזית פתח תקווה/רציפים אזורי-פתח תקווה<->תחנת רכבת קרית אריה-פתח תקווה-10,38126,38126,1,0,57.3416647103535,90.0,82.351
23298,35377,53,24053-1-0,תחנה מרכזית פתח תקווה/רציפים אזורי-פתח תקווה<->תחנת רכבת קרית אריה-פתח תקווה-10,40226,40226,1,0,57.3416647103535,90.0,82.351
23298,35377,44,23044-1-0,תחנה מרכזית פתח תקווה/רציפים אזורי-פתח תקווה<->תחנת רכבת קרית אריה-פתח תקווה-10,35190,35190,1,0,57.3416647103535,90.0,82.351
