stop_id,stop_code,line_number,route_desc,route_long_name,arrival,departure,pickup,drop_off,stop_station_distance,google_walking_distance,gh_walking_distance
13428,25273,289,11289-1-0,רכבת אונ מערבי-תל אביב יפו<->חניון תמנע/תמנע-חולון-10,61148,61148,0,0,151.29990675424213,199.0,241.111
13429,25274,43,17043-1-0,מרינה-בת ים<->בקו''ם/שדרות אהרון קציר-רמת גן-10,72808,72808,0,0,164.52618777945395,358.0,368.164
13429,25274,89,22089-2-0,מסוף קריית שרת-חולון<->עתידים-תל אביב יפו-20,57470,57470,0,0,164.52618777945395,358.0,368.164
13429,25274,43,17043-1-0,מרינה-בת ים<->בקו''ם/שדרות אהרון קציר-רמת גן-10,21328,21328,0,0,164.52618777945395,358.0,368.164
13429,25274,43,17043-1-0,מרינה-בת ים<->בקו''ם/שדרות אהרון קציר-רמת גן-10,24568,24568,0,0,164.52618777945395,358.0,368.164
13428,25273,26,14026-1-#,קריית חינוך-תל אביב יפו<->חניון אגד/משה דיין-חולון-1#,58210,58210,0,0,151.29990675424213,199.0,241.111
13429,25274,75,18075-2-#,מסוף קניון הזהב-ראשון לציון<->עתידים-תל אביב יפו-2#,28620,28620,0,0,164.52618777945395,358.0,368.164
13170,21592,451,11451-1-0,תחנה מרכזית רמלה/רציפים-רמלה<->תחנה מרכזית תל אביב קומה 6/הורדה-תל אביב יפו-10,37412,37412,0,0,254.7339183125312,457.0,378.106
13428,25273,271,12271-1-#,מסוף האוניברסיטה-תל אביב יפו<->שדרות ירושלים/מפרץ שלמה-חולון-1#,62230,62230,0,0,151.29990675424213,199.0,241.111
13428,25273,71,16071-1-#,קריית חינוך-תל אביב יפו<->דוד סחרוב/אברהם בר-ראשון לציון-1#,36420,36420,0,0,151.29990675424213,199.0,241.111
13170,21592,289,11289-2-0,חניון תמנע-חולון<->רכבת אונ מערבי-תל אביב יפו-20,40546,40546,0,0,254.7339183125312,457.0,378.106
13429,25274,26,14026-2-#,חניון חולון/תחנת מוצא-חולון<->קריית חינוך-תל אביב יפו-2#,23848,23848,0,0,164.52618777945395,358.0,368.164
13428,25273,75,18075-1-#,עתידים-תל אביב יפו<->דוד סחרוב/אברהם בר-ראשון לציון-1#,58800,58800,0,0,151.29990675424213,199.0,241.111
13428,25273,43,17043-2-0,בקו''ם/שדרות אהרון קציר-רמת גן<->מרינה-בת ים-20,35485,35485,0,0,151.29990675424213,199.0,241.111
13429,25274,271,12271-2-#,מסוף קריית שרת-חולון<->אוניברסיטה איצטדיון-תל אביב יפו-2#,37680,37680,0,0,164.52618777945395,358.0,368.164
13428,25273,43,17043-2-0,בקו''ם/שדרות אהרון קציר-רמת גן<->מרינה-בת ים-20,58465,58465,0,0,151.29990675424213,199.0,241.111
