stop_id,stop_code,line_number,route_desc,route_long_name,arrival,departure,pickup,drop_off,stop_station_distance,google_walking_distance,gh_walking_distance
24784,37660,43,17043-1-0,מרינה-בת ים<->בקו''ם/שדרות אהרון קציר-רמת גן-10,72089,72089,0,0,171.9544865833979,162.0,986.375
33941,38633,43,17043-1-0,מרינה-בת ים<->בקו''ם/שדרות אהרון קציר-רמת גן-10,72124,72124,0,0,42.570557390880325,10.0,872.071
24056,36269,43,17043-1-0,מרינה-בת ים<->בקו''ם/שדרות אהרון קציר-רמת גן-10,72177,72177,0,0,169.71049581777012,171.0,928.35
24784,37660,43,17043-1-0,מרינה-בת ים<->בקו''ם/שדרות אהרון קציר-רמת גן-10,20609,20609,0,0,171.9544865833979,162.0,986.375
33941,38633,43,17043-1-0,מרינה-בת ים<->בקו''ם/שדרות אהרון קציר-רמת גן-10,20644,20644,0,0,42.570557390880325,10.0,872.071
24056,36269,43,17043-1-0,מרינה-בת ים<->בקו''ם/שדרות אהרון קציר-רמת גן-10,20697,20697,0,0,169.71049581777012,171.0,928.35
23975,36179,125,12125-1-0,קריית חינוך-תל אביב יפו<->מרכז הספורט-בת ים-10,37869,37869,0,0,297.1249181782246,418.0,1241.917
24784,37660,43,17043-1-0,מרינה-בת ים<->בקו''ם/שדרות אהרון קציר-רמת גן-10,23849,23849,0,0,171.9544865833979,162.0,986.375
33941,38633,43,17043-1-0,מרינה-בת ים<->בקו''ם/שדרות אהרון קציר-רמת גן-10,23884,23884,0,0,42.570557390880325,10.0,872.071
24056,36269,43,17043-1-0,מרינה-בת ים<->בקו''ם/שדרות אהרון קציר-רמת גן-10,23937,23937,0,0,169.71049581777012,171.0,928.35
23975,36179,19,18019-2-0,הכובשים/כרמלית-תל אביב יפו<->אבי האסירים-ראשון לציון-20,65426,65426,0,0,297.1249181782246,418.0,1241.917
23975,36179,26,14026-1-#,קריית חינוך-תל אביב יפו<->חניון אגד/משה דיין-חולון-1#,59290,59290,0,0,297.1249181782246,418.0,1241.917
23975,36179,18,22018-1-0,ת.רכבת מרכז-תל אביב יפו<->בית עלמין-בת ים-10,52867,52867,0,0,297.1249181782246,418.0,1241.917
