stop_id,stop_code,line_number,route_desc,route_long_name,arrival,departure,pickup,drop_off,stop_station_distance,google_walking_distance,gh_walking_distance
25352,38452,143,12143-2-#,חניון חולון/תחנת מוצא-חולון<->בקו''ם/שדרות אהרון קציר-רמת גן-2#,52988,52988,0,0,54.82662975485531,100.0,93.32
25352,38452,11,17011-1-#,מסוף קריית שרת-חולון<->מרינה-בת ים-1#,26767,26767,0,0,54.82662975485531,100.0,93.32
25353,38453,11,17011-2-#,מרינה-בת ים<->שדרות ירושלים/מפרץ שלמה-חולון-2#,70328,70328,0,0,29.536913218586093,10.0,9.594
25353,38453,19,18019-2-0,הכובשים/כרמלית-תל אביב יפו<->אבי האסירים-ראשון לציון-20,65799,65799,0,0,29.536913218586093,10.0,9.594
25353,38453,26,14026-1-#,קריית חינוך-תל אביב יפו<->חניון אגד/משה דיין-חולון-1#,59780,59780,0,0,29.536913218586093,10.0,9.594
25353,38453,6,24006-2-1,ביה''ח וולפסון/הלוחמים-תל אביב יפו<->חניון אגד/חורשת היובל-חולון-21,58336,58336,0,0,29.536913218586093,10.0,9.594
25353,38453,א2,25002-2-א,מסוף קריית שרת-חולון<->דוד סחרוב/אברהם בר-ראשון לציון-2א,26760,26760,0,0,29.536913218586093,10.0,9.594
25353,38453,85,21085-1-#,מסוף וולפסון/הלוחמים-חולון<->בנימין שמוטקין/התעשיין-ראשון לציון-1#,80460,80460,0,0,29.536913218586093,10.0,9.594
25352,38452,26,14026-2-#,חניון חולון/תחנת מוצא-חולון<->קריית חינוך-תל אביב יפו-2#,22508,22508,0,0,54.82662975485531,100.0,93.32
25353,38453,99,18099-1-#,אזור-מר. שפינוזה/פלמח-אזור<->חניון אגד/משה דיין-חולון-1#,79689,79689,0,0,29.536913218586093,10.0,9.594
25353,38453,19,18019-2-0,הכובשים/כרמלית-תל אביב יפו<->אבי האסירים-ראשון לציון-20,20259,20259,0,0,29.536913218586093,10.0,9.594
25352,38452,143,12143-2-#,חניון חולון/תחנת מוצא-חולון<->בקו''ם/שדרות אהרון קציר-רמת גן-2#,40988,40988,0,0,54.82662975485531,100.0,93.32
25352,38452,87,27087-2-#,חניון חולון/תחנת מוצא-חולון<->אזור-מר. שפינוזה/פלמח-אזור-2#,20348,20348,0,0,54.82662975485531,100.0,93.32
