stop_id,stop_code,line_number,route_desc,route_long_name,arrival,departure,pickup,drop_off,stop_station_distance,google_walking_distance,gh_walking_distance
22079,34034,15,45015-1-0,תחנת רכבת-לוד<->מרכז מסחרי ב/דרך הרמ''א-לוד-10,27240,27240,0,1,108.04371802856949,177.0,178.762
23115,35095,249,10249-2-א,תחנה מרכזית רחובות/רציפים-רחובות<->תחנה מרכזית-פתח תקווה-2א,55397,55397,0,0,128.31247236512058,185.0,198.09
16894,33036,249,10249-2-א,תחנה מרכזית רחובות/רציפים-רחובות<->תחנה מרכזית-פתח תקווה-2א,55457,55457,0,0,280.51639560373815,476.0,486.358
23115,35095,150,12150-2-0,תחנה מרכזית רמלה-רמלה<->בריכה/עמק דותן-מודיעין מכבים רעות-20,23884,23884,0,1,128.31247236512058,185.0,198.09
22079,34034,150,12150-1-0,עמק דותן/עמק יזרעאל-מודיעין מכבים רעות<->תחנה מרכזית רמלה-רמלה-10,56460,56460,1,0,108.04371802856949,177.0,178.762
23115,35095,150,12150-2-0,תחנה מרכזית רמלה-רמלה<->בריכה/עמק דותן-מודיעין מכבים רעות-20,41884,41884,0,1,128.31247236512058,185.0,198.09
16891,33032,249,10249-1-א,תחנה מרכזית-פתח תקווה<->תחנה מרכזית רחובות/רציפים-רחובות-1א,39469,39469,0,0,183.86462688908068,359.0,359.359
22079,34034,249,10249-1-א,תחנה מרכזית-פתח תקווה<->תחנה מרכזית רחובות/רציפים-רחובות-1א,39529,39529,0,0,108.04371802856949,177.0,178.762
16891,33032,461,10461-1-1,ארבע עונות/נירים-לוד<->תחנה מרכזית תל אביב קומה 6/רציפים-תל אביב יפו-11,25589,25589,0,0,183.86462688908068,359.0,359.359
22079,34034,461,10461-1-1,ארבע עונות/נירים-לוד<->תחנה מרכזית תל אביב קומה 6/רציפים-תל אביב יפו-11,25613,25613,0,0,108.04371802856949,177.0,178.762
22079,34034,150,12150-1-0,עמק דותן/עמק יזרעאל-מודיעין מכבים רעות<->תחנה מרכזית רמלה-רמלה-10,60960,60960,1,0,108.04371802856949,177.0,178.762
16891,33032,249,10249-1-א,תחנה מרכזית-פתח תקווה<->תחנה מרכזית רחובות/רציפים-רחובות-1א,63469,63469,0,0,183.86462688908068,359.0,359.359
