stop_id,stop_code,line_number,route_desc,route_long_name,arrival,departure,pickup,drop_off,stop_station_distance,google_walking_distance,gh_walking_distance
136,39043,15,45015-1-0,תחנת רכבת-לוד<->מרכז מסחרי ב/דרך הרמ''א-לוד-10,27975,27975,0,0,258.34190517864465,734.0,1252.756
16909,33076,249,10249-2-א,תחנה מרכזית רחובות/רציפים-רחובות<->תחנה מרכזית-פתח תקווה-2א,54671,54671,0,0,263.21278851530104,309.0,380.283
37556,33077,249,10249-2-א,תחנה מרכזית רחובות/רציפים-רחובות<->תחנה מרכזית-פתח תקווה-2א,54731,54731,0,0,200.5643910850356,234.0,305.356
37579,33077,451,11451-1-0,תחנה מרכזית רמלה/רציפים-רמלה<->תחנה מרכזית תל אביב קומה 6/הורדה-תל אביב יפו-10,36000,36000,0,1,200.5643910850356,234.0,305.356
23108,35088,150,12150-2-0,תחנה מרכזית רמלה-רמלה<->בריכה/עמק דותן-מודיעין מכבים רעות-20,23400,23400,0,1,293.12356542744203,418.0,446.509
21633,33484,433,10433-3-#,תחנה מרכזית ירושלים קומה 3/רציפים-ירושלים<->תחנה מרכזית ראשון לציון/הורדה-ראשון לציון-3#,28320,28320,0,0,294.13748516275484,423.0,451.39
23108,35088,150,12150-1-0,עמק דותן/עמק יזרעאל-מודיעין מכבים רעות<->תחנה מרכזית רמלה-רמלה-10,56990,56990,1,0,293.12356542744203,418.0,446.509
23108,35088,150,12150-2-0,תחנה מרכזית רמלה-רמלה<->בריכה/עמק דותן-מודיעין מכבים רעות-20,41400,41400,0,1,293.12356542744203,418.0,446.509
16909,33076,249,10249-1-א,תחנה מרכזית-פתח תקווה<->תחנה מרכזית רחובות/רציפים-רחובות-1א,39958,39958,1,0,263.21278851530104,309.0,380.283
38108,33077,249,10249-1-א,תחנה מרכזית-פתח תקווה<->תחנה מרכזית רחובות/רציפים-רחובות-1א,40018,40018,0,1,200.5643910850356,234.0,305.356
37578,33077,28,30028-1-0,תחנה מרכזית רמלה/רציפים-רמלה<->בית חולים שמואל הרופא-באר יעקב-10,28800,28800,0,1,200.5643910850356,234.0,305.356
37579,33077,451,11451-1-0,תחנה מרכזית רמלה/רציפים-רמלה<->תחנה מרכזית תל אביב קומה 6/הורדה-תל אביב יפו-10,45000,45000,0,1,200.5643910850356,234.0,305.356
23108,35088,150,12150-1-0,עמק דותן/עמק יזרעאל-מודיעין מכבים רעות<->תחנה מרכזית רמלה-רמלה-10,61490,61490,1,0,293.12356542744203,418.0,446.509
16909,33076,249,10249-1-א,תחנה מרכזית-פתח תקווה<->תחנה מרכזית רחובות/רציפים-רחובות-1א,63958,63958,1,0,263.21278851530104,309.0,380.283
38108,33077,249,10249-1-א,תחנה מרכזית-פתח תקווה<->תחנה מרכזית רחובות/רציפים-רחובות-1א,64018,64018,0,1,200.5643910850356,234.0,305.356
21633,33484,28,30028-2-0,בית חולים שמואל הרופא-באר יעקב<->תחנה מרכזית רמלה-רמלה-20,59507,59507,1,0,294.13748516275484,423.0,451.39
21633,33484,451,11451-2-0,תחנה מרכזית תל אביב קומה 6/רציפים-תל אביב יפו<->תחנה מרכזית רמלה-רמלה-20,39400,39400,1,0,294.13748516275484,423.0,451.39
21556,33393,4,68004-1-0,תחנה מרכזית רמלה-רמלה<->שושנה דמארי/אהוד מנור-רמלה-10,61200,61200,0,1,294.8997279856471,426.0,454.643
16909,33076,433,10433-1-#,תחנה מרכזית ראשון לציון-ראשון לציון<->תחנה מרכזית ירושלים/הורדה-ירושלים-1#,55156,55156,1,0,263.21278851530104,309.0,380.283
38107,33077,433,10433-1-#,תחנה מרכזית ראשון לציון-ראשון לציון<->תחנה מרכזית ירושלים/הורדה-ירושלים-1#,55216,55216,0,1,200.5643910850356,234.0,305.356
