stop_id,stop_code,line_number,route_desc,route_long_name,arrival,departure,pickup,drop_off,stop_station_distance,google_walking_distance,gh_walking_distance
15370,31029,6,36006-1-0,הנשיא/גרטבול-לוד<->תחנת רכבת גני אביב-לוד-10,32653,32653,1,0,34.87012367353931,17.0,18.139
15370,31029,6,36006-2-0,תחנת רכבת גני אביב-לוד<->הנרייטה סאלד/אילת-לוד-20,29580,29580,0,1,34.87012367353931,17.0,18.139
15370,31029,6,36006-1-0,הנשיא/גרטבול-לוד<->תחנת רכבת גני אביב-לוד-10,33673,33673,1,0,34.87012367353931,17.0,18.139
15370,31029,6,36006-1-0,הנשיא/גרטבול-לוד<->תחנת רכבת גני אביב-לוד-10,38473,38473,1,0,34.87012367353931,17.0,18.139
15370,31029,5,42005-1-0,תחנה מרכזית לוד/רציפים-לוד<->תחנת רכבת גני אביב-לוד-10,43928,43928,1,0,34.87012367353931,17.0,18.139
15370,31029,6,36006-1-0,הנשיא/גרטבול-לוד<->תחנת רכבת גני אביב-לוד-10,57973,57973,1,0,34.87012367353931,17.0,18.139
15370,31029,6,36006-1-0,הנשיא/גרטבול-לוד<->תחנת רכבת גני אביב-לוד-10,51673,51673,1,0,34.87012367353931,17.0,18.139
15370,31029,13,37013-2-0,אהוד מנור/עוזי חיטמן-רמלה<->תחנת רכבת גני אביב-לוד-20,72644,72644,1,0,34.87012367353931,17.0,18.139
15370,31029,5,42005-2-0,תחנת רכבת גני אביב-לוד<->תחנה מרכזית לוד/רציפים-לוד-20,51180,51180,0,1,34.87012367353931,17.0,18.139
15370,31029,5,42005-1-0,תחנה מרכזית לוד/רציפים-לוד<->תחנת רכבת גני אביב-לוד-10,71828,71828,1,0,34.87012367353931,17.0,18.139
15370,31029,13,37013-2-0,אהוד מנור/עוזי חיטמן-רמלה<->תחנת רכבת גני אביב-לוד-20,74444,74444,1,0,34.87012367353931,17.0,18.139
15370,31029,6,36006-1-0,הנשיא/גרטבול-לוד<->תחנת רכבת גני אביב-לוד-10,58873,58873,1,0,34.87012367353931,17.0,18.139
15370,31029,13,37013-1-0,תחנת רכבת גני אביב-לוד<->אהוד מנור/חיטמן-רמלה-10,52200,52200,0,1,34.87012367353931,17.0,18.139
15370,31029,6,36006-2-0,תחנת רכבת גני אביב-לוד<->הנרייטה סאלד/אילת-לוד-20,46500,46500,0,1,34.87012367353931,17.0,18.139
15370,31029,13,37013-2-0,אהוד מנור/עוזי חיטמן-רמלה<->תחנת רכבת גני אביב-לוד-20,45644,45644,1,0,34.87012367353931,17.0,18.139
15370,31029,6,36006-2-0,תחנת רכבת גני אביב-לוד<->הנרייטה סאלד/אילת-לוד-20,23700,23700,0,1,34.87012367353931,17.0,18.139
15370,31029,6,36006-1-0,הנשיא/גרטבול-לוד<->תחנת רכבת גני אביב-לוד-10,77173,77173,1,0,34.87012367353931,17.0,18.139
15370,31029,6,36006-1-0,הנשיא/גרטבול-לוד<->תחנת רכבת גני אביב-לוד-10,72553,72553,1,0,34.87012367353931,17.0,18.139
15370,31029,13,37013-2-0,אהוד מנור/עוזי חיטמן-רמלה<->תחנת רכבת גני אביב-לוד-20,76244,76244,1,0,34.87012367353931,17.0,18.139
15370,31029,13,37013-1-0,תחנת רכבת גני אביב-לוד<->אהוד מנור/חיטמן-רמלה-10,28800,28800,0,1,34.87012367353931,17.0,18.139
15370,31029,13,37013-1-0,תחנת רכבת גני אביב-לוד<->אהוד מנור/חיטמן-רמלה-10,59400,59400,0,1,34.87012367353931,17.0,18.139
15370,31029,13,37013-1-0,תחנת רכבת גני אביב-לוד<->אהוד מנור/חיטמן-רמלה-10,45000,45000,0,1,34.87012367353931,17.0,18.139
15370,31029,6,36006-2-0,תחנת רכבת גני אביב-לוד<->הנרייטה סאלד/אילת-לוד-20,57600,57600,0,1,34.87012367353931,17.0,18.139
15370,31029,6,36006-1-0,הנשיא/גרטבול-לוד<->תחנת רכבת גני אביב-לוד-10,49273,49273,1,0,34.87012367353931,17.0,18.139
15370,31029,6,36006-2-0,תחנת רכבת גני אביב-לוד<->הנרייטה סאלד/אילת-לוד-20,45300,45300,0,1,34.87012367353931,17.0,18.139
15370,31029,6,36006-2-0,תחנת רכבת גני אביב-לוד<->הנרייטה סאלד/אילת-לוד-20,79980,79980,0,1,34.87012367353931,17.0,18.139
15370,31029,13,37013-2-1,אהוד מנור/עוזי חיטמן-רמלה<->תחנת רכבת גני אביב-לוד-21,54847,54847,1,0,34.87012367353931,17.0,18.139
15370,31029,6,36006-2-0,תחנת רכבת גני אביב-לוד<->הנרייטה סאלד/אילת-לוד-20,22500,22500,0,1,34.87012367353931,17.0,18.139
15370,31029,6,36006-2-0,תחנת רכבת גני אביב-לוד<->הנרייטה סאלד/אילת-לוד-20,72780,72780,0,1,34.87012367353931,17.0,18.139
15370,31029,10,33010-1-0,תחנת רכבת גני אביב-לוד<->הגפן/יגל-יגל-10,64200,64200,0,1,34.87012367353931,17.0,18.139
15370,31029,13,37013-1-0,תחנת רכבת גני אביב-לוד<->אהוד מנור/חיטמן-רמלה-10,73800,73800,0,1,34.87012367353931,17.0,18.139
15370,31029,6,36006-1-0,הנשיא/גרטבול-לוד<->תחנת רכבת גני אביב-לוד-10,56473,56473,1,0,34.87012367353931,17.0,18.139
15370,31029,13,37013-2-0,אהוד מנור/עוזי חיטמן-רמלה<->תחנת רכבת גני אביב-לוד-20,29444,29444,1,0,34.87012367353931,17.0,18.139
15370,31029,6,36006-2-0,תחנת רכבת גני אביב-לוד<->הנרייטה סאלד/אילת-לוד-20,48900,48900,0,1,34.87012367353931,17.0,18.139
15370,31029,5,42005-2-0,תחנת רכבת גני אביב-לוד<->תחנה מרכזית לוד/רציפים-לוד-20,70500,70500,0,1,34.87012367353931,17.0,18.139
15370,31029,13,37013-2-0,אהוד מנור/עוזי חיטמן-רמלה<->תחנת רכבת גני אביב-לוד-20,38444,38444,1,0,34.87012367353931,17.0,18.139
15370,31029,6,36006-1-0,הנשיא/גרטבול-לוד<->תחנת רכבת גני אביב-לוד-10,73273,73273,1,0,34.87012367353931,17.0,18.139
15370,31029,13,37013-2-0,אהוד מנור/עוזי חיטמן-רמלה<->תחנת רכבת גני אביב-לוד-20,33044,33044,1,0,34.87012367353931,17.0,18.139
15370,31029,5,42005-2-0,תחנת רכבת גני אביב-לוד<->תחנה מרכזית לוד/רציפים-לוד-20,21900,21900,0,1,34.87012367353931,17.0,18.139
15370,31029,6,36006-2-0,תחנת רכבת גני אביב-לוד<->הנרייטה סאלד/אילת-לוד-20,41700,41700,0,1,34.87012367353931,17.0,18.139
15370,31029,5,42005-2-0,תחנת רכבת גני אביב-לוד<->תחנה מרכזית לוד/רציפים-לוד-20,57300,57300,0,1,34.87012367353931,17.0,18.139
15370,31029,6,36006-2-0,תחנת רכבת גני אביב-לוד<->הנרייטה סאלד/אילת-לוד-20,64500,64500,0,1,34.87012367353931,17.0,18.139
15370,31029,6,36006-2-0,תחנת רכבת גני אביב-לוד<->הנרייטה סאלד/אילת-לוד-20,26100,26100,0,1,34.87012367353931,17.0,18.139
15370,31029,5,42005-1-0,תחנה מרכזית לוד/רציפים-לוד<->תחנת רכבת גני אביב-לוד-10,84428,84428,1,0,34.87012367353931,17.0,18.139
15370,31029,13,37013-2-0,אהוד מנור/עוזי חיטמן-רמלה<->תחנת רכבת גני אביב-לוד-20,60044,60044,1,0,34.87012367353931,17.0,18.139
15370,31029,6,36006-1-0,הנשיא/גרטבול-לוד<->תחנת רכבת גני אביב-לוד-10,47353,47353,1,0,34.87012367353931,17.0,18.139
15370,31029,6,36006-2-0,תחנת רכבת גני אביב-לוד<->הנרייטה סאלד/אילת-לוד-20,35700,35700,0,1,34.87012367353931,17.0,18.139
15370,31029,6,36006-1-0,הנשיא/גרטבול-לוד<->תחנת רכבת גני אביב-לוד-10,37273,37273,1,0,34.87012367353931,17.0,18.139
15370,31029,6,36006-2-0,תחנת רכבת גני אביב-לוד<->הנרייטה סאלד/אילת-לוד-20,60000,60000,0,1,34.87012367353931,17.0,18.139
15370,31029,6,36006-2-0,תחנת רכבת גני אביב-לוד<->הנרייטה סאלד/אילת-לוד-20,60600,60600,0,1,34.87012367353931,17.0,18.139
15370,31029,8,35008-3-0,תחנת רכבת גני אביב-לוד<->תחנת רכבת גני אביב-לוד-30,24600,24600,0,1,34.87012367353931,17.0,18.139
15370,31029,8,35008-3-0,תחנת רכבת גני אביב-לוד<->תחנת רכבת גני אביב-לוד-30,27906,27906,1,0,34.87012367353931,17.0,18.139
15370,31029,13,37013-2-0,אהוד מנור/עוזי חיטמן-רמלה<->תחנת רכבת גני אביב-לוד-20,78044,78044,1,0,34.87012367353931,17.0,18.139
15370,31029,4,48004-3-0,תחנת רכבת גני אביב-לוד<->תחנת רכבת גני אביב-לוד-30,36780,36780,0,1,34.87012367353931,17.0,18.139
15370,31029,4,48004-3-0,תחנת רכבת גני אביב-לוד<->תחנת רכבת גני אביב-לוד-30,40039,40039,1,0,34.87012367353931,17.0,18.139
15370,31029,6,36006-2-0,תחנת רכבת גני אביב-לוד<->הנרייטה סאלד/אילת-לוד-20,63600,63600,0,1,34.87012367353931,17.0,18.139
15370,31029,6,36006-2-0,תחנת רכבת גני אביב-לוד<->הנרייטה סאלד/אילת-לוד-20,50100,50100,0,1,34.87012367353931,17.0,18.139
15370,31029,10,33010-2-0,'חוני המעגל א-יגל<->תחנת רכבת גני אביב-לוד-20,24050,24050,1,0,34.87012367353931,17.0,18.139
15370,31029,6,36006-1-0,הנשיא/גרטבול-לוד<->תחנת רכבת גני אביב-לוד-10,26953,26953,1,0,34.87012367353931,17.0,18.139
15370,31029,6,36006-2-0,תחנת רכבת גני אביב-לוד<->הנרייטה סאלד/אילת-לוד-20,74400,74400,0,1,34.87012367353931,17.0,18.139
15370,31029,6,36006-1-0,הנשיא/גרטבול-לוד<->תחנת רכבת גני אביב-לוד-10,50953,50953,1,0,34.87012367353931,17.0,18.139
15370,31029,6,36006-1-0,הנשיא/גרטבול-לוד<->תחנת רכבת גני אביב-לוד-10,44473,44473,1,0,34.87012367353931,17.0,18.139
15370,31029,6,36006-1-0,הנשיא/גרטבול-לוד<->תחנת רכבת גני אביב-לוד-10,60073,60073,1,0,34.87012367353931,17.0,18.139
15370,31029,13,37013-1-0,תחנת רכבת גני אביב-לוד<->אהוד מנור/חיטמן-רמלה-10,75600,75600,0,1,34.87012367353931,17.0,18.139
