stop_id,stop_code,line_number,route_desc,route_long_name,arrival,departure,pickup,drop_off,stop_station_distance,google_walking_distance,gh_walking_distance
21339,33141,1,90001-1-0,תחנת רכבת-באר יעקב<->דרך חיים/יצחק רבין-באר יעקב-10,30420,30420,0,1,86.21623830866564,308.0,299.663
21797,33731,1,90001-1-0,תחנת רכבת-באר יעקב<->דרך חיים/יצחק רבין-באר יעקב-10,31732,31732,1,0,96.88897238013654,300.0,293.176
21797,33731,247,13247-1-5,תחנה מרכזית לוד/רציפים-לוד<->שדרות רחבעם זאבי-ראשון לציון-15,35055,35055,0,0,96.88897238013654,300.0,293.176
21339,33141,1,90001-2-0,תחנת רכבת-באר יעקב<->דרך חיים/יצחק רבין-באר יעקב-20,32700,32700,0,1,86.21623830866564,308.0,299.663
21797,33731,1,90001-2-0,תחנת רכבת-באר יעקב<->דרך חיים/יצחק רבין-באר יעקב-20,34053,34053,1,0,96.88897238013654,300.0,293.176
21339,33141,247,13247-2-0,תחנה מרכזית ראשל''צ/הורדה-ראשון לציון<->תחנה מרכזית לוד/רציפים-לוד-20,33013,33013,0,0,86.21623830866564,308.0,299.663
21339,33141,1,90001-2-0,תחנת רכבת-באר יעקב<->דרך חיים/יצחק רבין-באר יעקב-20,54120,54120,0,1,86.21623830866564,308.0,299.663
21797,33731,1,90001-2-0,תחנת רכבת-באר יעקב<->דרך חיים/יצחק רבין-באר יעקב-20,55473,55473,1,0,96.88897238013654,300.0,293.176
21339,33141,247,13247-2-0,תחנה מרכזית ראשל''צ/הורדה-ראשון לציון<->תחנה מרכזית לוד/רציפים-לוד-20,30313,30313,0,0,86.21623830866564,308.0,299.663
21797,33731,247,13247-1-0,תחנה מרכזית לוד/רציפים-לוד<->בן גוריון/ההסתדרות-ראשון לציון-10,44055,44055,0,0,96.88897238013654,300.0,293.176
21339,33141,247,13247-2-5,שדרות רחבעם זאבי-ראשון לציון<->תחנה מרכזית לוד/רציפים-לוד-25,67343,67343,0,0,86.21623830866564,308.0,299.663
21797,33731,247,13247-1-0,תחנה מרכזית לוד/רציפים-לוד<->בן גוריון/ההסתדרות-ראשון לציון-10,40455,40455,0,0,96.88897238013654,300.0,293.176
21339,33141,1,90001-1-0,תחנת רכבת-באר יעקב<->דרך חיים/יצחק רבין-באר יעקב-10,26820,26820,0,1,86.21623830866564,308.0,299.663
21797,33731,1,90001-1-0,תחנת רכבת-באר יעקב<->דרך חיים/יצחק רבין-באר יעקב-10,28132,28132,1,0,96.88897238013654,300.0,293.176
21339,33141,1,90001-1-0,תחנת רכבת-באר יעקב<->דרך חיים/יצחק רבין-באר יעקב-10,61200,61200,0,1,86.21623830866564,308.0,299.663
21797,33731,1,90001-1-0,תחנת רכבת-באר יעקב<->דרך חיים/יצחק רבין-באר יעקב-10,62512,62512,1,0,96.88897238013654,300.0,293.176
21339,33141,247,13247-2-5,שדרות רחבעם זאבי-ראשון לציון<->תחנה מרכזית לוד/רציפים-לוד-25,70943,70943,0,0,86.21623830866564,308.0,299.663
21797,33731,247,13247-1-0,תחנה מרכזית לוד/רציפים-לוד<->בן גוריון/ההסתדרות-ראשון לציון-10,69255,69255,0,0,96.88897238013654,300.0,293.176
21797,33731,247,13247-1-0,תחנה מרכזית לוד/רציפים-לוד<->בן גוריון/ההסתדרות-ראשון לציון-10,24255,24255,0,0,96.88897238013654,300.0,293.176
21339,33141,1,90001-1-0,תחנת רכבת-באר יעקב<->דרך חיים/יצחק רבין-באר יעקב-10,35820,35820,0,1,86.21623830866564,308.0,299.663
21797,33731,1,90001-1-0,תחנת רכבת-באר יעקב<->דרך חיים/יצחק רבין-באר יעקב-10,37132,37132,1,0,96.88897238013654,300.0,293.176
21797,33731,247,13247-1-0,תחנה מרכזית לוד/רציפים-לוד<->בן גוריון/ההסתדרות-ראשון לציון-10,62055,62055,0,0,96.88897238013654,300.0,293.176
21339,33141,1,90001-1-0,תחנת רכבת-באר יעקב<->דרך חיים/יצחק רבין-באר יעקב-10,63000,63000,0,1,86.21623830866564,308.0,299.663
21797,33731,1,90001-1-0,תחנת רכבת-באר יעקב<->דרך חיים/יצחק רבין-באר יעקב-10,64312,64312,1,0,96.88897238013654,300.0,293.176
21339,33141,247,13247-2-5,שדרות רחבעם זאבי-ראשון לציון<->תחנה מרכזית לוד/רציפים-לוד-25,58343,58343,0,0,86.21623830866564,308.0,299.663
21797,33731,247,13247-1-0,תחנה מרכזית לוד/רציפים-לוד<->בן גוריון/ההסתדרות-ראשון לציון-10,27855,27855,0,0,96.88897238013654,300.0,293.176
21339,33141,1,90001-2-0,תחנת רכבת-באר יעקב<->דרך חיים/יצחק רבין-באר יעקב-20,59580,59580,0,1,86.21623830866564,308.0,299.663
21797,33731,1,90001-2-0,תחנת רכבת-באר יעקב<->דרך חיים/יצחק רבין-באר יעקב-20,60933,60933,1,0,96.88897238013654,300.0,293.176
21797,33731,247,13247-1-0,תחנה מרכזית לוד/רציפים-לוד<->בן גוריון/ההסתדרות-ראשון לציון-10,36855,36855,0,0,96.88897238013654,300.0,293.176
21339,33141,1,90001-1-0,תחנת רכבת-באר יעקב<->דרך חיים/יצחק רבין-באר יעקב-10,66600,66600,0,1,86.21623830866564,308.0,299.663
21797,33731,1,90001-1-0,תחנת רכבת-באר יעקב<->דרך חיים/יצחק רבין-באר יעקב-10,67912,67912,1,0,96.88897238013654,300.0,293.176
21339,33141,247,13247-2-5,שדרות רחבעם זאבי-ראשון לציון<->תחנה מרכזית לוד/רציפים-לוד-25,63743,63743,0,0,86.21623830866564,308.0,299.663
21339,33141,1,90001-1-0,תחנת רכבת-באר יעקב<->דרך חיים/יצחק רבין-באר יעקב-10,68400,68400,0,1,86.21623830866564,308.0,299.663
21797,33731,1,90001-1-0,תחנת רכבת-באר יעקב<->דרך חיים/יצחק רבין-באר יעקב-10,69712,69712,1,0,96.88897238013654,300.0,293.176
21339,33141,1,90001-1-0,תחנת רכבת-באר יעקב<->דרך חיים/יצחק רבין-באר יעקב-10,39540,39540,0,1,86.21623830866564,308.0,299.663
21797,33731,1,90001-1-0,תחנת רכבת-באר יעקב<->דרך חיים/יצחק רבין-באר יעקב-10,40852,40852,1,0,96.88897238013654,300.0,293.176
21339,33141,1,90001-2-0,תחנת רכבת-באר יעקב<->דרך חיים/יצחק רבין-באר יעקב-20,61380,61380,0,1,86.21623830866564,308.0,299.663
21797,33731,1,90001-2-0,תחנת רכבת-באר יעקב<->דרך חיים/יצחק רבין-באר יעקב-20,62733,62733,1,0,96.88897238013654,300.0,293.176
21339,33141,247,13247-2-0,תחנה מרכזית ראשל''צ/הורדה-ראשון לציון<->תחנה מרכזית לוד/רציפים-לוד-20,36313,36313,0,0,86.21623830866564,308.0,299.663
21339,33141,247,13247-2-0,תחנה מרכזית ראשל''צ/הורדה-ראשון לציון<->תחנה מרכזית לוד/רציפים-לוד-20,37513,37513,0,0,86.21623830866564,308.0,299.663
21797,33731,247,13247-1-0,תחנה מרכזית לוד/רציפים-לוד<->בן גוריון/ההסתדרות-ראשון לציון-10,28755,28755,0,0,96.88897238013654,300.0,293.176
21339,33141,1,90001-2-0,תחנת רכבת-באר יעקב<->דרך חיים/יצחק רבין-באר יעקב-20,39900,39900,0,1,86.21623830866564,308.0,299.663
21797,33731,1,90001-2-0,תחנת רכבת-באר יעקב<->דרך חיים/יצחק רבין-באר יעקב-20,41253,41253,1,0,96.88897238013654,300.0,293.176
21339,33141,1,90001-2-0,תחנת רכבת-באר יעקב<->דרך חיים/יצחק רבין-באר יעקב-20,28920,28920,0,1,86.21623830866564,308.0,299.663
21797,33731,1,90001-2-0,תחנת רכבת-באר יעקב<->דרך חיים/יצחק רבין-באר יעקב-20,30273,30273,1,0,96.88897238013654,300.0,293.176
21339,33141,1,90001-2-0,תחנת רכבת-באר יעקב<->דרך חיים/יצחק רבין-באר יעקב-20,72180,72180,0,1,86.21623830866564,308.0,299.663
21797,33731,1,90001-2-0,תחנת רכבת-באר יעקב<->דרך חיים/יצחק רבין-באר יעקב-20,73533,73533,1,0,96.88897238013654,300.0,293.176
21797,33731,247,13247-1-0,תחנה מרכזית לוד/רציפים-לוד<->בן גוריון/ההסתדרות-ראשון לציון-10,54255,54255,0,0,96.88897238013654,300.0,293.176
