stop_id,stop_code,line_number,route_desc,route_long_name,arrival,departure,pickup,drop_off,stop_station_distance,google_walking_distance,gh_walking_distance
35684,6203,14,28014-2-0,הקישון / איילון-בית שמש<->תחנת רכבת בית שמש-בית שמש-20,35068,35068,1,0,136.97320183186923,124.0,120.925
35684,6203,12,33012-2-0,הקישון / איילון-בית שמש<->תחנת רכבת בית שמש-בית שמש-20,71381,71381,1,0,136.97320183186923,124.0,120.925
11030,5391,420,10420-1-0,שד.יהודה בן זאב/דוד רזיאל-בית שמש<->תחנה מרכזית ירושלים/הורדה-ירושלים-10,27406,27406,0,1,246.1277171488598,288.0,245.766
11032,5393,23,23023-2-0,תחנה מרכזית קרית גת/רציפים בינעירוני-קרית גת<->מסוף דרך חיים-בית שמש-20,52931,52931,0,0,277.44089862047355,374.0,369.433
35684,6203,15,27015-1-0,תחנת רכבת בית שמש-בית שמש<->נחל עין גדי/שביל הנחש-בית שמש-10,48900,48900,0,1,136.97320183186923,124.0,120.925
11032,5393,15,27015-1-0,תחנת רכבת בית שמש-בית שמש<->נחל עין גדי/שביל הנחש-בית שמש-10,49017,49017,0,0,277.44089862047355,374.0,369.433
35684,6203,18,27018-2-1,הרצוג / נהר הדן-בית שמש<->תחנת רכבת בית שמש-בית שמש-21,56598,56598,1,0,136.97320183186923,124.0,120.925
35684,6203,138,11138-1-#,מרכז מסחרי כיכר העיר-ביתר עילית<->תחנת רכבת בית שמש-בית שמש-1#,23825,23825,1,0,136.97320183186923,124.0,120.925
35684,6203,12,33012-2-0,הקישון / איילון-בית שמש<->תחנת רכבת בית שמש-בית שמש-20,74981,74981,1,0,136.97320183186923,124.0,120.925
11030,5391,415,10415-1-0,שד.יהודה בן זאב/דוד רזיאל-בית שמש<->תחנה מרכזית ירושלים/הורדה-ירושלים-10,24618,24618,0,1,246.1277171488598,288.0,245.766
11035,5396,13,30013-1-0,מסוף דרך חיים-בית שמש<->מקווה-זנוח-10,61634,61634,0,0,215.26596466660095,330.0,295.589
35684,6203,14,28014-1-0,תחנת רכבת בית שמש-בית שמש<->שד.נחל הקישון/נחל שחם-בית שמש-10,72600,72600,0,1,136.97320183186923,124.0,120.925
11032,5393,14,28014-1-0,תחנת רכבת בית שמש-בית שמש<->שד.נחל הקישון/נחל שחם-בית שמש-10,72717,72717,0,0,277.44089862047355,374.0,369.433
35684,6203,14,28014-1-0,תחנת רכבת בית שמש-בית שמש<->שד.נחל הקישון/נחל שחם-בית שמש-10,58200,58200,0,1,136.97320183186923,124.0,120.925
11032,5393,14,28014-1-0,תחנת רכבת בית שמש-בית שמש<->שד.נחל הקישון/נחל שחם-בית שמש-10,58317,58317,0,0,277.44089862047355,374.0,369.433
35684,6203,12,33012-1-0,תחנת רכבת בית שמש-בית שמש<->שד.נחל הקישון/נחל שחם-בית שמש-10,62700,62700,0,1,136.97320183186923,124.0,120.925
11035,5396,12,33012-1-0,תחנת רכבת בית שמש-בית שמש<->שד.נחל הקישון/נחל שחם-בית שמש-10,62821,62821,0,0,215.26596466660095,330.0,295.589
35684,6203,15,27015-2-0,נחל עין גדי/שביל הנחש-בית שמש<->תחנת רכבת בית שמש-בית שמש-20,36627,36627,1,0,136.97320183186923,124.0,120.925
35684,6203,15,27015-1-0,תחנת רכבת בית שמש-בית שמש<->נחל עין גדי/שביל הנחש-בית שמש-10,80100,80100,0,1,136.97320183186923,124.0,120.925
