stop_id,stop_code,line_number,route_desc,route_long_name,arrival,departure,pickup,drop_off,stop_station_distance,google_walking_distance,gh_walking_distance
37834,6272,33,13033-2-#,מסוף אגד/צביה ויצחק-ירושלים<->מסוף אגד/כנפי נשרים-ירושלים-2#,57674,57674,0,0,125.12118161704247,104.0,152.917
37834,6272,33,13033-2-#,מסוף אגד/צביה ויצחק-ירושלים<->מסוף אגד/כנפי נשרים-ירושלים-2#,52274,52274,0,0,125.12118161704247,104.0,152.917
10169,2901,33,13033-1-#,כפר שאול/קצנלבוגן-ירושלים<->מסוף אגד/צביה ויצחק-ירושלים-1#,61616,61616,0,0,115.7071890616982,93.0,132.312
10169,2901,33,13033-1-#,כפר שאול/קצנלבוגן-ירושלים<->מסוף אגד/צביה ויצחק-ירושלים-1#,56576,56576,0,0,115.7071890616982,93.0,132.312
10169,2901,33,13033-1-#,כפר שאול/קצנלבוגן-ירושלים<->מסוף אגד/צביה ויצחק-ירושלים-1#,53696,53696,0,0,115.7071890616982,93.0,132.312
10169,2901,33,13033-1-#,כפר שאול/קצנלבוגן-ירושלים<->מסוף אגד/צביה ויצחק-ירושלים-1#,52256,52256,0,0,115.7071890616982,93.0,132.312
10169,2901,א26,15026-3-א,גן החיות התנכ''י-ירושלים<->גן החיות התנכ''י-ירושלים-3א,45900,45900,0,1,115.7071890616982,93.0,132.312
10169,2901,א26,15026-3-א,גן החיות התנכ''י-ירושלים<->גן החיות התנכ''י-ירושלים-3א,48728,48728,1,0,115.7071890616982,93.0,132.312
40022,468,62,15062-2-#,משעול החלמונית/דרך ההר-הר גילה<->ביטוח לאומי-ירושלים-2#,71052,71052,0,0,167.0473224841352,1961.0,680.47
10169,2901,33,13033-1-#,כפר שאול/קצנלבוגן-ירושלים<->מסוף אגד/צביה ויצחק-ירושלים-1#,34976,34976,0,0,115.7071890616982,93.0,132.312
10169,2901,33,13033-1-#,כפר שאול/קצנלבוגן-ירושלים<->מסוף אגד/צביה ויצחק-ירושלים-1#,50816,50816,0,0,115.7071890616982,93.0,132.312
10169,2901,33,13033-1-#,כפר שאול/קצנלבוגן-ירושלים<->מסוף אגד/צביה ויצחק-ירושלים-1#,58736,58736,0,0,115.7071890616982,93.0,132.312
37834,6272,33,13033-2-#,מסוף אגד/צביה ויצחק-ירושלים<->מסוף אגד/כנפי נשרים-ירושלים-2#,54074,54074,0,0,125.12118161704247,104.0,152.917
37834,6272,33,13033-2-#,מסוף אגד/צביה ויצחק-ירושלים<->מסוף אגד/כנפי נשרים-ירושלים-2#,39074,39074,0,0,125.12118161704247,104.0,152.917
37834,6272,33,13033-2-#,מסוף אגד/צביה ויצחק-ירושלים<->מסוף אגד/כנפי נשרים-ירושלים-2#,72074,72074,0,0,125.12118161704247,104.0,152.917
10169,2901,א26,15026-3-א,גן החיות התנכ''י-ירושלים<->גן החיות התנכ''י-ירושלים-3א,62100,62100,0,1,115.7071890616982,93.0,132.312
10169,2901,א26,15026-3-א,גן החיות התנכ''י-ירושלים<->גן החיות התנכ''י-ירושלים-3א,64928,64928,1,0,115.7071890616982,93.0,132.312
37834,6272,33,13033-2-#,מסוף אגד/צביה ויצחק-ירושלים<->מסוף אגד/כנפי נשרים-ירושלים-2#,72974,72974,0,0,125.12118161704247,104.0,152.917
10169,2901,א26,15026-3-א,גן החיות התנכ''י-ירושלים<->גן החיות התנכ''י-ירושלים-3א,56700,56700,0,1,115.7071890616982,93.0,132.312
10169,2901,א26,15026-3-א,גן החיות התנכ''י-ירושלים<->גן החיות התנכ''י-ירושלים-3א,59528,59528,1,0,115.7071890616982,93.0,132.312
37834,6272,33,13033-2-#,מסוף אגד/צביה ויצחק-ירושלים<->מסוף אגד/כנפי נשרים-ירושלים-2#,35474,35474,0,0,125.12118161704247,104.0,152.917
10169,2901,33,13033-1-#,כפר שאול/קצנלבוגן-ירושלים<->מסוף אגד/צביה ויצחק-ירושלים-1#,70256,70256,0,0,115.7071890616982,93.0,132.312
10169,2901,33,13033-1-#,כפר שאול/קצנלבוגן-ירושלים<->מסוף אגד/צביה ויצחק-ירושלים-1#,65936,65936,0,0,115.7071890616982,93.0,132.312
10169,2901,33,13033-1-#,כפר שאול/קצנלבוגן-ירושלים<->מסוף אגד/צביה ויצחק-ירושלים-1#,49376,49376,0,0,115.7071890616982,93.0,132.312
37834,6272,33,13033-2-#,מסוף אגד/צביה ויצחק-ירושלים<->מסוף אגד/כנפי נשרים-ירושלים-2#,61274,61274,0,0,125.12118161704247,104.0,152.917
10169,2901,33,13033-1-#,כפר שאול/קצנלבוגן-ירושלים<->מסוף אגד/צביה ויצחק-ירושלים-1#,63776,63776,0,0,115.7071890616982,93.0,132.312
10169,2901,33,13033-1-#,כפר שאול/קצנלבוגן-ירושלים<->מסוף אגד/צביה ויצחק-ירושלים-1#,59696,59696,0,0,115.7071890616982,93.0,132.312
37834,6272,33,13033-2-#,מסוף אגד/צביה ויצחק-ירושלים<->מסוף אגד/כנפי נשרים-ירושלים-2#,42674,42674,0,0,125.12118161704247,104.0,152.917
37834,6272,33,13033-2-#,מסוף אגד/צביה ויצחק-ירושלים<->מסוף אגד/כנפי נשרים-ירושלים-2#,53174,53174,0,0,125.12118161704247,104.0,152.917
40022,468,62,15062-2-#,משעול החלמונית/דרך ההר-הר גילה<->ביטוח לאומי-ירושלים-2#,53952,53952,0,0,167.0473224841352,1961.0,680.47
10169,2901,33,13033-1-#,כפר שאול/קצנלבוגן-ירושלים<->מסוף אגד/צביה ויצחק-ירושלים-1#,37376,37376,0,0,115.7071890616982,93.0,132.312
40022,468,62,15062-2-#,משעול החלמונית/דרך ההר-הר גילה<->ביטוח לאומי-ירושלים-2#,74652,74652,0,0,167.0473224841352,1961.0,680.47
37834,6272,33,13033-2-#,מסוף אגד/צביה ויצחק-ירושלים<->מסוף אגד/כנפי נשרים-ירושלים-2#,63974,63974,0,0,125.12118161704247,104.0,152.917
10169,2901,33,13033-1-#,כפר שאול/קצנלבוגן-ירושלים<->מסוף אגד/צביה ויצחק-ירושלים-1#,55136,55136,0,0,115.7071890616982,93.0,132.312
10169,2901,א26,15026-3-א,גן החיות התנכ''י-ירושלים<->גן החיות התנכ''י-ירושלים-3א,58500,58500,0,1,115.7071890616982,93.0,132.312
10169,2901,א26,15026-3-א,גן החיות התנכ''י-ירושלים<->גן החיות התנכ''י-ירושלים-3א,61328,61328,1,0,115.7071890616982,93.0,132.312
40022,468,62,15062-2-#,משעול החלמונית/דרך ההר-הר גילה<->ביטוח לאומי-ירושלים-2#,80052,80052,0,0,167.0473224841352,1961.0,680.47
40022,468,62,15062-2-#,משעול החלמונית/דרך ההר-הר גילה<->ביטוח לאומי-ירושלים-2#,63852,63852,0,0,167.0473224841352,1961.0,680.47
10169,2901,א26,15026-3-א,גן החיות התנכ''י-ירושלים<->גן החיות התנכ''י-ירושלים-3א,36900,36900,0,1,115.7071890616982,93.0,132.312
