stop_id,stop_code,line_number,route_desc,route_long_name,arrival,departure,pickup,drop_off,stop_station_distance,google_walking_distance,gh_walking_distance
28071,15857,11,62011-2-#,נתן אלבז-קרית גת<->פולק/טבת-קרית גת-2#,44620,44620,0,0,25.685434196673516,19.0,24.248
27493,15175,11,62011-2-#,נתן אלבז-קרית גת<->פולק/טבת-קרית גת-2#,45573,45573,0,0,296.7659585325309,1456.0,1342.249
27147,14747,23,23023-2-0,תחנה מרכזית קרית גת/רציפים בינעירוני-קרית גת<->מסוף דרך חיים-בית שמש-20,49666,49666,0,1,146.00067549791532,162.0,152.77
28071,15857,63,35063-2-#,מגדל מים-בית ניר<->תחנת רכבת קרית גת-קרית גת-2#,55937,55937,1,0,25.685434196673516,19.0,24.248
28071,15857,12,47012-2-#,נתן אלבז-קרית גת<->פולק/טבת-קרית גת-2#,60906,60906,0,0,25.685434196673516,19.0,24.248
27493,15175,12,47012-2-#,נתן אלבז-קרית גת<->פולק/טבת-קרית גת-2#,61868,61868,0,0,296.7659585325309,1456.0,1342.249
28071,15857,70,30070-2-#,תחנת רכבת קרית גת-קרית גת<->מרכז ביג קסטינה-מפעלי צומת מלאכי-2#,27000,27000,0,1,25.685434196673516,19.0,24.248
28071,15857,2,78002-1-#,תחנת רכבת קרית גת-קרית גת<->נתן אלבז-קרית גת-1#,63300,63300,0,1,25.685434196673516,19.0,24.248
29247,19761,2,78002-1-#,תחנת רכבת קרית גת-קרית גת<->נתן אלבז-קרית גת-1#,63378,63378,0,0,246.19195655866292,325.0,315.733
28071,15857,62,26062-1-#,תחנת רכבת קרית גת-קרית גת<->נטע מרשם/שער-מא לכיש-1#,66600,66600,0,1,25.685434196673516,19.0,24.248
29247,19761,62,26062-1-#,תחנת רכבת קרית גת-קרית גת<->נטע מרשם/שער-מא לכיש-1#,66678,66678,0,1,246.19195655866292,325.0,315.733
28071,15857,63,35063-2-#,מגדל מים-בית ניר<->תחנת רכבת קרית גת-קרית גת-2#,63137,63137,1,0,25.685434196673516,19.0,24.248
28071,15857,12,47012-1-#,שדרות ישראל פולק/שבט-קרית גת<->נתן אלבז-קרית גת-1#,51052,51052,0,0,25.685434196673516,19.0,24.248
29247,19761,12,47012-1-#,שדרות ישראל פולק/שבט-קרית גת<->נתן אלבז-קרית גת-1#,51145,51145,0,0,246.19195655866292,325.0,315.733
28071,15857,11,62011-2-#,נתן אלבז-קרית גת<->פולק/טבת-קרית גת-2#,23020,23020,0,0,25.685434196673516,19.0,24.248
27493,15175,11,62011-2-#,נתן אלבז-קרית גת<->פולק/טבת-קרית גת-2#,23973,23973,0,0,296.7659585325309,1456.0,1342.249
28071,15857,12,47012-1-#,שדרות ישראל פולק/שבט-קרית גת<->נתן אלבז-קרית גת-1#,65452,65452,0,0,25.685434196673516,19.0,24.248
