stop_id,stop_code,line_number,route_desc,route_long_name,arrival,departure,pickup,drop_off,stop_station_distance,google_walking_distance,gh_walking_distance
27918,15657,45,21045-2-#,רתמים - מרכז-רתמים<->תחנה מרכזית באר שבע/הורדה-באר שבע-2#,42827,42827,1,0,131.85160619560688,463.0,78.139
27918,15657,446,10446-3-#,תחנה מרכזית ירושלים קומה 3/רציפים-ירושלים<->תחנה מרכזית באר שבע/הורדה-באר שבע-3#,81734,81734,1,0,131.85160619560688,463.0,78.139
25836,11300,9,30009-1-#,תחנה מרכזית-באר שבע<->שאול המלך/רחבת השל''ה-באר שבע-1#,60000,60000,0,1,71.68225778368465,78.0,65.909
27918,15657,52,20052-1-1,הפועלים/הדגן-באר שבע<->בית ספר אבו ואדי-כסיפה-11,55219,55219,1,0,131.85160619560688,463.0,78.139
36948,13907,52,20052-1-1,הפועלים/הדגן-באר שבע<->בית ספר אבו ואדי-כסיפה-11,55224,55224,0,1,171.9311347265038,216.0,195.38
27918,15657,369,10369-1-#,תחנה מרכזית תל אביב קומה 6/רציפים-תל אביב יפו<->תחנה מרכזית באר שבע/הורדה-באר שבע-1#,45859,45859,1,0,131.85160619560688,463.0,78.139
27918,15657,323,12323-2-#,שד.ירושלים/בר אילן-נתיבות<->תחנה מרכזית באר שבע/הורדה-באר שבע-2#,28022,28022,1,0,131.85160619560688,463.0,78.139
25836,11300,12,39012-1-#,תחנה מרכזית-באר שבע<->מבצע יואב/מבצע קלשון-באר שבע-1#,61920,61920,0,1,71.68225778368465,78.0,65.909
25836,11300,31,23031-1-#,תחנה מרכזית-באר שבע<->רוזנבלום / רבניצקי-באר שבע-1#,56160,56160,0,1,71.68225778368465,78.0,65.909
25836,11300,32,23032-3-#,תחנה מרכזית-באר שבע<->תחנה מרכזית-באר שבע-3#,55200,55200,0,1,71.68225778368465,78.0,65.909
26456,13462,32,23032-3-#,תחנה מרכזית-באר שבע<->תחנה מרכזית-באר שבע-3#,56312,56312,1,0,62.347647746247546,71.0,69.466
27918,15657,388,10388-2-#,תחנה מרכזית ערד/רציפים-ערד<->תחנה מרכזית באר שבע/הורדה-באר שבע-2#,58253,58253,1,0,131.85160619560688,463.0,78.139
25836,11300,3,55003-2-#,קניון אביה/שאול המלך-באר שבע<->תחנה מרכזית-באר שבע-2#,45559,45559,0,0,71.68225778368465,78.0,65.909
26456,13462,3,55003-2-#,קניון אביה/שאול המלך-באר שבע<->תחנה מרכזית-באר שבע-2#,46057,46057,1,0,62.347647746247546,71.0,69.466
25836,11300,31,23031-1-#,תחנה מרכזית-באר שבע<->רוזנבלום / רבניצקי-באר שבע-1#,72240,72240,0,1,71.68225778368465,78.0,65.909
36932,13907,367,11367-2-#,תחנה מרכזית באר שבע/רציפים-באר שבע<->תחנה מרכזית ראשון לציון/הורדה-ראשון לציון-2#,21600,21600,0,1,171.9311347265038,216.0,195.38
25836,11300,3,55003-2-#,קניון אביה/שאול המלך-באר שבע<->תחנה מרכזית-באר שבע-2#,65539,65539,0,0,71.68225778368465,78.0,65.909
26456,13462,3,55003-2-#,קניון אביה/שאול המלך-באר שבע<->תחנה מרכזית-באר שבע-2#,66037,66037,1,0,62.347647746247546,71.0,69.466
25836,11300,6,39006-2-#,מכללת קיי - יהודה הלוי-באר שבע<->תחנה מרכזית-באר שבע-2#,36760,36760,0,0,71.68225778368465,78.0,65.909
26456,13462,6,39006-2-#,מכללת קיי - יהודה הלוי-באר שבע<->תחנה מרכזית-באר שבע-2#,37183,37183,1,0,62.347647746247546,71.0,69.466
25836,11300,7,35007-1-#,תחנה מרכזית-באר שבע<->התלמוד / הזוהר-באר שבע-1#,26100,26100,0,1,71.68225778368465,78.0,65.909
25836,11300,7,35007-1-#,תחנה מרכזית-באר שבע<->התלמוד / הזוהר-באר שבע-1#,32760,32760,0,1,71.68225778368465,78.0,65.909
