stop_id,stop_code,line_number,route_desc,route_long_name,arrival,departure,pickup,drop_off,stop_station_distance,google_walking_distance,gh_walking_distance
38725,37471,4,47004-2-#,תחנת רכבת מזרח-יבנה<->תחנת רכבת יבנה מערב-יבנה-2#,42396,42396,1,0,112.87810203791524,14.0,68.154
14600,30002,369,10369-1-#,תחנה מרכזית תל אביב קומה 6/רציפים-תל אביב יפו<->תחנה מרכזית באר שבע/הורדה-באר שבע-1#,40565,40565,1,0,161.49879392368388,289.0,248.029
38145,31280,369,10369-1-#,תחנה מרכזית תל אביב קומה 6/רציפים-תל אביב יפו<->תחנה מרכזית באר שבע/הורדה-באר שבע-1#,40587,40587,0,1,142.15752779980343,309.0,171.501
38145,31280,35,23035-1-#,תחנה מרכזית יבנה/רציפים-יבנה<->וייצמן/גמליאל-גדרה-1#,70200,70200,0,1,142.15752779980343,309.0,171.501
38725,37471,1,67001-1-#,תחנת רכבת יבנה מערב-יבנה<->תחנת רכבת מזרח-יבנה-1#,39900,39900,0,1,112.87810203791524,14.0,68.154
14600,30002,182,13182-2-#,תחנה מרכזית ראשון לציון-ראשון לציון<->תחנת רכבת מזרח-יבנה-2#,56239,56239,1,0,161.49879392368388,289.0,248.029
14600,30002,313,10313-1-#,תחנה מרכזית אשדוד/רציפים-אשדוד<->בית חולים אסף הרופא/מכון אונקולוגיה-באר יעקב-1#,32652,32652,1,0,161.49879392368388,289.0,248.029
38552,31280,313,10313-1-#,תחנה מרכזית אשדוד/רציפים-אשדוד<->בית חולים אסף הרופא/מכון אונקולוגיה-באר יעקב-1#,32675,32675,0,1,142.15752779980343,309.0,171.501
38552,31280,182,13182-1-#,תחנת רכבת מזרח-יבנה<->תחנה מרכזית ראשון לציון/הורדה-ראשון לציון-1#,27514,27514,0,1,142.15752779980343,309.0,171.501
38145,31280,35,23035-1-#,תחנה מרכזית יבנה/רציפים-יבנה<->וייצמן/גמליאל-גדרה-1#,59400,59400,0,1,142.15752779980343,309.0,171.501
38145,31280,50,29050-1-#,תחנה מרכזית יבנה/רציפים-יבנה<->תחנה מרכזית רחובות/הורדה-רחובות-1#,67200,67200,0,1,142.15752779980343,309.0,171.501
38725,37471,1,67001-1-#,תחנת רכבת יבנה מערב-יבנה<->תחנת רכבת מזרח-יבנה-1#,38700,38700,0,1,112.87810203791524,14.0,68.154
38725,37471,6,45006-1-#,תחנת רכבת יבנה מערב-יבנה<->תחנת רכבת מזרח-יבנה-1#,55800,55800,0,1,112.87810203791524,14.0,68.154
38725,37471,3,49003-2-#,תחנת רכבת מזרח-יבנה<->תחנת רכבת יבנה מערב-יבנה-2#,50625,50625,1,0,112.87810203791524,14.0,68.154
14600,30002,340,13340-2-#,תחנה מרכזית תל אביב קומה 6/רציפים-תל אביב יפו<->הכוהנים/התאנה-בני עי''ש-2#,73468,73468,1,0,161.49879392368388,289.0,248.029
38145,31280,340,13340-2-#,תחנה מרכזית תל אביב קומה 6/רציפים-תל אביב יפו<->הכוהנים/התאנה-בני עי''ש-2#,73491,73491,0,1,142.15752779980343,309.0,171.501
38725,37471,4,47004-2-#,תחנת רכבת מזרח-יבנה<->תחנת רכבת יבנה מערב-יבנה-2#,38796,38796,1,0,112.87810203791524,14.0,68.154
14600,30002,369,10369-2-#,תחנה מרכזית באר שבע/רציפים-באר שבע<->תחנה מרכזית תל אביב קומה 6/הורדה-תל אביב יפו-2#,31767,31767,1,0,161.49879392368388,289.0,248.029
38144,31280,369,10369-2-#,תחנה מרכזית באר שבע/רציפים-באר שבע<->תחנה מרכזית תל אביב קומה 6/הורדה-תל אביב יפו-2#,31790,31790,0,1,142.15752779980343,309.0,171.501
38725,37471,5,41005-2-#,הרימון/הברוש-בן זכאי<->תחנת רכבת יבנה מערב-יבנה-2#,64356,64356,1,0,112.87810203791524,14.0,68.154
14600,30002,369,10369-2-#,תחנה מרכזית באר שבע/רציפים-באר שבע<->תחנה מרכזית תל אביב קומה 6/הורדה-תל אביב יפו-2#,29367,29367,1,0,161.49879392368388,289.0,248.029
38144,31280,369,10369-2-#,תחנה מרכזית באר שבע/רציפים-באר שבע<->תחנה מרכזית תל אביב קומה 6/הורדה-תל אביב יפו-2#,29390,29390,0,1,142.15752779980343,309.0,171.501
14600,30002,369,10369-2-#,תחנה מרכזית באר שבע/רציפים-באר שבע<->תחנה מרכזית תל אביב קומה 6/הורדה-תל אביב יפו-2#,49467,49467,1,0,161.49879392368388,289.0,248.029
38144,31280,369,10369-2-#,תחנה מרכזית באר שבע/רציפים-באר שבע<->תחנה מרכזית תל אביב קומה 6/הורדה-תל אביב יפו-2#,49490,49490,0,1,142.15752779980343,309.0,171.501
38725,37471,7,48007-1-#,תחנת רכבת יבנה מערב-יבנה<->תחנת רכבת מזרח-יבנה-1#,57300,57300,0,1,112.87810203791524,14.0,68.154
38725,37471,3,49003-1-#,תחנת רכבת יבנה מערב-יבנה<->תחנת רכבת מזרח-יבנה-1#,72900,72900,0,1,112.87810203791524,14.0,68.154
