stop_id,stop_code,line_number,route_desc,route_long_name,arrival,departure,pickup,drop_off,stop_station_distance,google_walking_distance,gh_walking_distance
13602,25637,204,11204-1-0,רדינג-תל אביב יפו<->מסוף הטייסים-תל אביב יפו-10,63121,63121,0,0,60.57045292876319,19.0,111.17
13606,25641,204,11204-1-0,רדינג-תל אביב יפו<->מסוף הטייסים-תל אביב יפו-10,63179,63179,0,0,289.7667349279114,301.0,383.753
13602,25637,204,11204-1-0,רדינג-תל אביב יפו<->מסוף הטייסים-תל אביב יפו-10,49921,49921,0,0,60.57045292876319,19.0,111.17
13606,25641,204,11204-1-0,רדינג-תל אביב יפו<->מסוף הטייסים-תל אביב יפו-10,49979,49979,0,0,289.7667349279114,301.0,383.753
29482,20353,26,14026-1-#,קריית חינוך-תל אביב יפו<->חניון אגד/משה דיין-חולון-1#,57730,57730,0,0,234.82942722933663,350.0,360.573
13602,25637,104,13104-1-0,רדינג-תל אביב יפו<->שיב''א-רמת גן-10,24961,24961,0,0,60.57045292876319,19.0,111.17
13606,25641,104,13104-1-0,רדינג-תל אביב יפו<->שיב''א-רמת גן-10,25019,25019,0,0,289.7667349279114,301.0,383.753
13601,25636,75,18075-2-#,מסוף קניון הזהב-ראשון לציון<->עתידים-תל אביב יפו-2#,29220,29220,0,0,187.8495482554039,198.0,295.688
29482,20353,271,12271-1-#,מסוף האוניברסיטה-תל אביב יפו<->שדרות ירושלים/מפרץ שלמה-חולון-1#,61690,61690,0,0,234.82942722933663,350.0,360.573
29482,20353,71,16071-1-#,קריית חינוך-תל אביב יפו<->דוד סחרוב/אברהם בר-ראשון לציון-1#,35940,35940,0,0,234.82942722933663,350.0,360.573
13602,25637,104,13104-1-0,רדינג-תל אביב יפו<->שיב''א-רמת גן-10,70081,70081,0,0,60.57045292876319,19.0,111.17
13606,25641,104,13104-1-0,רדינג-תל אביב יפו<->שיב''א-רמת גן-10,70139,70139,0,0,289.7667349279114,301.0,383.753
13602,25637,21,48021-1-0,תחנת רכבת מרכז-תל אביב יפו<->רכבת מרכז/מסוף 2000-תל אביב יפו-10,32826,32826,0,0,60.57045292876319,19.0,111.17
13606,25641,21,48021-1-0,תחנת רכבת מרכז-תל אביב יפו<->רכבת מרכז/מסוף 2000-תל אביב יפו-10,32884,32884,0,0,289.7667349279114,301.0,383.753
13607,25642,204,11204-2-0,מסוף הטייסים-תל אביב יפו<->רדינג-תל אביב יפו-20,69989,69989,0,0,299.6803792279315,316.0,382.785
13603,25638,204,11204-2-0,מסוף הטייסים-תל אביב יפו<->רדינג-תל אביב יפו-20,70051,70051,0,0,71.65003642153289,341.0,40.555
13607,25642,16,19016-2-0,איצטדיון וינטר-רמת גן<->כרמלית-תל אביב יפו-20,34679,34679,0,0,299.6803792279315,316.0,382.785
13603,25638,16,19016-2-0,איצטדיון וינטר-רמת גן<->כרמלית-תל אביב יפו-20,34741,34741,0,0,71.65003642153289,341.0,40.555
13601,25636,26,14026-2-#,חניון חולון/תחנת מוצא-חולון<->קריית חינוך-תל אביב יפו-2#,24268,24268,0,0,187.8495482554039,198.0,295.688
13602,25637,204,11204-1-0,רדינג-תל אביב יפו<->מסוף הטייסים-תל אביב יפו-10,45721,45721,0,0,60.57045292876319,19.0,111.17
13606,25641,204,11204-1-0,רדינג-תל אביב יפו<->מסוף הטייסים-תל אביב יפו-10,45779,45779,0,0,289.7667349279114,301.0,383.753
29482,20353,75,18075-1-#,עתידים-תל אביב יפו<->דוד סחרוב/אברהם בר-ראשון לציון-1#,58200,58200,0,0,234.82942722933663,350.0,360.573
13602,25637,16,19016-1-0,כרמלית-תל אביב יפו<->איצטדיון וינטר-רמת גן-10,53201,53201,0,0,60.57045292876319,19.0,111.17
