stop_id,stop_code,line_number,route_desc,route_long_name,arrival,departure,pickup,drop_off,stop_station_distance,google_walking_distance,gh_walking_distance
37039,19946,26,30026-2-#,זוהר מרכז-זוהר<->תחנת רכבת שדרות-שער הנגב-2#,50657,50657,1,0,124.12696331340261,397.0,109.986
37039,19946,3,70003-1-#,תחנת רכבת שדרות-שער הנגב<->יהושע בן נון/מעפילים-שדרות-1#,72600,72600,0,1,124.12696331340261,397.0,109.986
27870,15602,668,11668-1-#,תחנה מרכזית אשדוד/רציפים-אשדוד<->מחנה אריאל שרון-רמת הנגב-1#,24482,24482,0,1,61.3637783274554,133.0,287.639
29220,19734,457,13457-1-0,בית ספר סלמאן-רהט<->אלי כהן/יצחק בן צבי-אשקלון-10,36139,36139,1,0,241.27557030069656,265.0,425.709
28598,17900,365,10365-1-#,תחנה מרכזית אשקלון/רציפים-אשקלון<->דרך הטייסים/דרך בוזגלו-אופקים-1#,53601,53601,0,0,128.46498398994268,164.0,255.232
37039,19946,22,17022-2-#,תחנת רכבת שדרות-שער הנגב<->תחנה מרכזית אשקלון/הורדה-אשקלון-2#,21600,21600,0,1,124.12696331340261,397.0,109.986
29220,19734,498,10498-2-#,בית ספר שושנים/החיד''א-אופקים<->בן גוריון/ מגדלי קונקורד-בני ברק-2#,60677,60677,0,0,241.27557030069656,265.0,425.709
27865,15596,379,10379-2-#,מועצה אזורית אשכול-אשכול<->תחנה מרכזית תל אביב קומה 6/הורדה-תל אביב יפו-2#,23396,23396,0,0,131.4842672479503,150.0,311.14
37039,19946,3,70003-1-#,תחנת רכבת שדרות-שער הנגב<->יהושע בן נון/מעפילים-שדרות-1#,79800,79800,0,1,124.12696331340261,397.0,109.986
37039,19946,10,45010-2-#,פריז/אוסלו-שדרות<->תחנת רכבת שדרות-שער הנגב-2#,46271,46271,1,0,124.12696331340261,397.0,109.986
37039,19946,3,70003-1-#,תחנת רכבת שדרות-שער הנגב<->יהושע בן נון/מעפילים-שדרות-1#,43800,43800,0,1,124.12696331340261,397.0,109.986
27870,15602,379,10379-1-1,תחנה מרכזית תל אביב קומה 6/רציפים-תל אביב יפו<->מועצה אזורית אשכול-אשכול-11,71400,71400,0,0,61.3637783274554,133.0,287.639
27870,15602,364,10364-1-#,תחנה מרכזית אשקלון/רציפים-אשקלון<->תחנה מרכזית באר שבע/הורדה-באר שבע-1#,59002,59002,0,0,61.3637783274554,133.0,287.639
37039,19946,4,64004-2-#,תחנת רכבת שדרות-שער הנגב<->חניון בריכה-שדרות-2#,79800,79800,0,1,124.12696331340261,397.0,109.986
27865,15596,364,10364-2-#,תחנה מרכזית באר שבע/רציפים-באר שבע<->תחנה מרכזית אשקלון/הורדה-אשקלון-2#,26434,26434,0,0,131.4842672479503,150.0,311.14
27870,15602,36,14036-1-#,תחנה מרכזית אשקלון/רציפים-אשקלון<->מועצה אזורית אשכול-אשכול-1#,34462,34462,0,0,61.3637783274554,133.0,287.639
27870,15602,364,10364-1-#,תחנה מרכזית אשקלון/רציפים-אשקלון<->תחנה מרכזית באר שבע/הורדה-באר שבע-1#,46402,46402,0,0,61.3637783274554,133.0,287.639
