stop_id,stop_code,line_number,route_desc,route_long_name,arrival,departure,pickup,drop_off,stop_station_distance,google_walking_distance,gh_walking_distance
37374,17022,,24034-2-4,רחובות-רחובות<->חיפה מרכז-חיפה,84780,84780,0,0
37374,17022,,26050-2-6,מודיעין מרכז-מודיעין מכבים רעות<->נהריה-נהריה,40500,40500,0,0
37374,17022,,26050-1-11,נהריה-נהריה<->מודיעין מרכז-מודיעין מכבים רעות,33180,33180,0,0
37374,17022,,27046-2-0,עתלית-עתלית<->עכו-עכו,24540,24540,0,1
37374,17022,,26050-2-6,מודיעין מרכז-מודיעין מכבים רעות<->נהריה-נהריה,62100,62100,0,0
37374,17022,,26050-2-6,מודיעין מרכז-מודיעין מכבים רעות<->נהריה-נהריה,72900,72900,0,0
37374,17022,,26050-2-6,מודיעין מרכז-מודיעין מכבים רעות<->נהריה-נהריה,33300,33300,0,0
37374,17022,,26050-1-11,נהריה-נהריה<->מודיעין מרכז-מודיעין מכבים רעות,25980,25980,0,0
37374,17022,,33055-2-7,נת-בג-נמל תעופה בן גוריון<->נהריה-נהריה,21660,21660,0,0
37374,17022,,26050-2-6,מודיעין מרכז-מודיעין מכבים רעות<->נהריה-נהריה,69300,69300,0,0
37374,17022,,26050-1-11,נהריה-נהריה<->מודיעין מרכז-מודיעין מכבים רעות,61980,61980,0,0
37374,17022,,26050-2-6,מודיעין מרכז-מודיעין מכבים רעות<->נהריה-נהריה,36900,36900,0,0
37374,17022,,26050-1-11,נהריה-נהריה<->מודיעין מרכז-מודיעין מכבים רעות,47580,47580,0,0
37374,17022,,26050-2-6,מודיעין מרכז-מודיעין מכבים רעות<->נהריה-נהריה,44100,44100,0,0
37374,17022,,26050-2-6,מודיעין מרכז-מודיעין מכבים רעות<->נהריה-נהריה,47700,47700,0,0
37374,17022,,26050-1-11,נהריה-נהריה<->מודיעין מרכז-מודיעין מכבים רעות,36780,36780,0,0
37374,17022,,26050-2-6,מודיעין מרכז-מודיעין מכבים רעות<->נהריה-נהריה,58500,58500,0,0
37374,17022,,26050-2-6,מודיעין מרכז-מודיעין מכבים רעות<->נהריה-נהריה,51300,51300,0,0
37374,17022,,26050-1-11,נהריה-נהריה<->מודיעין מרכז-מודיעין מכבים רעות,69180,69180,0,0
37374,17022,,26050-1-11,נהריה-נהריה<->מודיעין מרכז-מודיעין מכבים רעות,76380,76380,0,0
37374,17022,,27035-1-0,חיפה מרכז-חיפה<->מודיעין מרכז-מודיעין מכבים רעות,18780,18780,0,0
37374,17022,,27035-2-0,מודיעין מרכז-מודיעין מכבים רעות<->חיפה מרכז-חיפה,80100,80100,0,0
37374,17022,,26050-2-6,מודיעין מרכז-מודיעין מכבים רעות<->נהריה-נהריה,65700,65700,0,0
37374,17022,,26050-1-11,נהריה-נהריה<->מודיעין מרכז-מודיעין מכבים רעות,43980,43980,0,0
37374,17022,,26050-1-11,נהריה-נהריה<->מודיעין מרכז-מודיעין מכבים רעות,40380,40380,0,0
37374,17022,,26050-1-11,נהריה-נהריה<->מודיעין מרכז-מודיעין מכבים רעות,29580,29580,0,0
37374,17022,,26050-1-11,נהריה-נהריה<->מודיעין מרכז-מודיעין מכבים רעות,51180,51180,0,0
37374,17022,,26050-2-6,מודיעין מרכז-מודיעין מכבים רעות<->נהריה-נהריה,26100,26100,0,0
37374,17022,,26050-1-11,נהריה-נהריה<->מודיעין מרכז-מודיעין מכבים רעות,72780,72780,0,0
37374,17022,,27035-1-0,חיפה מרכז-חיפה<->מודיעין מרכז-מודיעין מכבים רעות,54780,54780,0,0
37374,17022,,27035-2-0,מודיעין מרכז-מודיעין מכבים רעות<->חיפה מרכז-חיפה,76500,76500,0,0
37374,17022,,26050-2-6,מודיעין מרכז-מודיעין מכבים רעות<->נהריה-נהריה,29700,29700,0,0
37374,17022,,26050-2-6,מודיעין מרכז-מודיעין מכבים רעות<->נהריה-נהריה,54900,54900,0,0
37374,17022,,26050-1-11,נהריה-נהריה<->מודיעין מרכז-מודיעין מכבים רעות,65580,65580,0,0
37374,17022,,26050-1-11,נהריה-נהריה<->מודיעין מרכז-מודיעין מכבים רעות,22380,22380,0,0
37374,17022,,26050-1-11,נהריה-נהריה<->מודיעין מרכז-מודיעין מכבים רעות,58380,58380,0,0
