stop_id,station_id,stop_code,station_code,station_distance,stop_lat,stop_lon,google_walking_distance,gh_walking_distance,google_station_lat,google_station_lon,gh_station_lat,gh_station_lon,google_directions,gh_directions
69,37332,38899,17064,166.52006512954318,31.910117,34.805809,152,151.511,31.90895,34.80604,31.90895,34.80604,31.910133 34.805857 31.909103 34.806302 31.908965 34.806034,31.910139 34.805869 31.909720 34.806071 31.909272 34.806224 31.909136 34.806298 31.908977 34.806019
103,37330,39010,17066,310.64333660283523,31.932649,34.831881,314,304.882,31.932975,34.828765,31.932975,34.828765,31.932640 34.831923 31.932591 34.831908 31.932784 34.830514 31.932964 34.828798,31.932571 34.831884 31.932582 34.831573 31.932673 34.830919 31.932704 34.830731 31.932773 34.830565 31.932723 34.830532 31.932659 34.830457 31.932654 34.830398 31.932841 34.829213 31.932859 34.828982 31.932887 34.828880 31.932919 34.828859 31.932969 34.828863
135,37336,39042,17060,267.5933232465029,31.929318,34.880077,746,1241.288,31.9287,34.87713,31.9287,34.87713,31.929304 34.880012 31.928559 34.878725 31.928718 34.878343 31.926808 34.878206 31.927570 34.876820 31.928637 34.877071,31.929312 34.880043 31.930149 34.879836 31.930363 34.879825 31.930486 34.879847 31.930618 34.879900 31.930889 34.880104 31.931270 34.879511 31.931525 34.879178 31.931665 34.878889 31.931442 34.878724 31.931094 34.878516 31.930735 34.878377 31.930364 34.878299 31.929959 34.878283 31.928145 34.878389 31.927363 34.878312 31.926801 34.878215 31.926812 34.878021 31.926860 34.877886 31.927173 34.877456 31.927355 34.877235 31.927567 34.876853 31.927698 34.876480 31.927771 34.876519 31.928101 34.876592 31.928418 34.876634 31.928548 34.876592 31.928673 34.876811 31.928741 34.876884 31.928650 34.876977 31.928641 34.877031 31.928710 34.877118
136,37336,39043,17060,258.34190517864465,31.929195,34.880005,734,1252.756,31.9287,34.87713,31.9287,34.87713,31.929203 34.880042 31.928559 34.878725 31.928718 34.878343 31.926808 34.878206 31.927570 34.876820 31.928637 34.877071,31.929213 34.880073 31.930149 34.879836 31.930363 34.879825 31.930486 34.879847 31.930618 34.879900 31.930889 34.880104 31.931270 34.879511 31.931525 34.879178 31.931665 34.878889 31.931442 34.878724 31.931094 34.878516 31.930735 34.878377 31.930364 34.878299 31.929959 34.878283 31.928145 34.878389 31.927363 34.878312 31.926801 34.878215 31.926812 34.878021 31.926860 34.877886 31.927173 34.877456 31.927355 34.877235 31.927567 34.876853 31.927698 34.876480 31.927771 34.876519 31.928101 34.876592 31.928418 34.876634 31.928548 34.876592 31.928673 34.876811 31.928741 34.876884 31.928650 34.876977 31.928641 34.877031 31.928710 34.877118
199,37364,39111,17032,250.2909617535067,32.262024,34.862748,226,241.744,32.26252,34.86037,32.26252,34.86037,32.262006 34.862740 32.262516 34.860617 32.262544 34.860470,32.262000 34.862736 32.262182 34.862214 32.262152 34.862194 32.262111 34.862128 32.262109 34.862047 32.262151 34.861971 32.262224 34.861942 32.262263 34.861950 32.262533 34.860586 32.262521 34.860550 32.262526 34.860476 32.262555 34.860434
200,37364,39112,17032,332.7652391940063,32.264447,34.862635,418,406.752,32.26252,34.86037,32.26252,34.86037,32.264453 34.862582 32.262183 34.862083 32.262516 34.860617 32.262544 34.860470,32.264457 34.862569 32.262338 34.862120 32.262342 34.862078 32.262319 34.861999 32.262263 34.861950 32.262533 34.860586 32.262521 34.860550 32.262526 34.860476 32.262555 34.860434
506,37366,39426,17030,41.92370738720677,32.320038,34.868835,17,105.848,32.32017,34.86903,32.32017,34.86903,32.320031 34.868905 32.320185 34.868940,32.320042 34.868808 32.320496 34.868895 32.320547 34.868886 32.320540 34.868972 32.320475 34.869006 32.320184 34.868942
507,37366,39427,17030,241.13000667439525,32.319428,34.871759,264,258.56,32.31981,34.8698,32.31981,34.8698,32.319432 34.871716 32.319841 34.871755 32.319858 34.869777,32.319433 34.871714 32.319837 34.871761 32.319853 34.871576 32.319815 34.871434 32.319822 34.871117 32.319772 34.870886 32.319774 34.870613 32.319899 34.870438 32.320048 34.870268 32.320068 34.870055 32.320034 34.870012 32.320022 34.869923 32.319799 34.869879
611,37366,39534,17030,276.87023306234806,32.321122,34.871836,363,352.106,32.31981,34.8698,32.31981,34.8698,32.321118 34.871893 32.319841 34.871755 32.319939 34.869925 32.319858 34.869777,32.321116 34.871903 32.320894 34.871875 32.320913 34.871737 32.320071 34.871608 32.319951 34.871501 32.319916 34.871408 32.319815 34.871434 32.319822 34.871117 32.319772 34.870886 32.319774 34.870613 32.319899 34.870438 32.320048 34.870268 32.320068 34.870055 32.320034 34.870012 32.320022 34.869923 32.319799 34.869879
759,37346,39719,17050,298.82411814724946,32.037359,34.762030,338,346.853,32.03556,34.75971,32.03556,34.75971,32.037386 34.761944 32.036504 34.761676 32.036271 34.760601 32.035671 34.759770 32.035558 34.759742 32.035554 34.759717,32.037368 34.762007 32.037006 34.761798 32.036779 34.761740 32.036523 34.761743 32.036508 34.761526 32.036375 34.760767 32.036286 34.760648 32.036068 34.760537 32.035707 34.760445 32.035718 34.760349 32.035607 34.759983 32.035613 34.759739 32.035596 34.759734
830,37304,39794,17092,27.037299154395157,32.167612,34.917442,56,0,32.167822,34.91752,32.167822,34.91752,32.167648 34.917457 32.167777 34.917716 32.167790 34.917507,32.167649 34.917456
831,37296,39795,17100,45.11911182558764,32.170307,34.902028,147,148.224,32.17028,34.90121,32.17028,34.90121,32.170313 34.902030 32.170705 34.901076 32.170280 34.901076,32.170367 34.902057 32.170567 34.901489 32.170757 34.901148 32.170437 34.901131 32.170292 34.901107
970,37344,39936,17052,347.6305218081583,32.015808,34.758685,352,1171.679,32.014963,34.762128,32.014963,34.762128,32.015762 34.758678 32.015234 34.761735 32.015070 34.761736 32.014974 34.762131,32.015765 34.758679 32.015689 34.759330 32.015540 34.759369 32.015451 34.759934 32.015192 34.761116 32.014983 34.762391 32.015152 34.762397 32.016600 34.762322 32.017696 34.762215 32.018560 34.762031 32.017759 34.762126 32.016374 34.762178 32.014963 34.762192
1287,37372,40313,17024,311.0538085610875,32.517182,34.949421,359,380.625,32.514159,34.950079,32.514159,34.950079,32.517191 34.949488 32.514242 34.950235 32.514158 34.950091,32.517196 34.949488 32.517122 34.949510 32.516945 34.949489 32.516857 34.949389 32.516807 34.949389 32.516721 34.949480 32.516658 34.949512 32.515613 34.949668 32.515107 34.949779 32.515129 34.949920 32.515120 34.949990 32.515068 34.950069 32.514285 34.950218 32.514247 34.950124 32.514202 34.950092 32.514158 34.950088
1289,37372,40315,17024,238.8776346404746,32.516522,34.949858,283,363.032,32.514159,34.950079,32.514159,34.950079,32.516512 34.949816 32.514907 34.950199 32.514242 34.950235 32.514158 34.950091,32.516511 34.949810 32.516787 34.949719 32.516873 34.949720 32.516841 34.949656 32.516838 34.949610 32.516547 34.949709 32.515240 34.950036 32.514285 34.950218 32.514247 34.950124 32.514202 34.950092 32.514158 34.950088
1332,37370,40364,17026,63.026790222662825,32.484848,34.953560,73,67.259,32.48527,34.95378,32.48527,34.95378,32.484791 34.953580 32.484824 34.953713 32.485038 34.953744 32.485050 34.953842 32.485273 34.953804,32.484797 34.953584 32.484840 34.953712 32.484898 34.953739 32.484939 34.953832 32.485271 34.953792
