stop_id,station_id,travel_time,weekday_trips,weekend_trips,latitude,longitude,station_name,line_numbers,route_ids,parent_stop
1641,37370,6,288,15,32.500294,34.927745,קיסריה פרדס חנה,10,12192 12193,
1397,37358,102,24,2,32.448997,34.960741,תל אביב מרכז,819 871,5300 5308,
3821,37388,33,40,0,32.778632,34.987247,לב המפרץ,123,11657,
27648,37312,5,789,136,31.271683,34.797895,באר שבע מרכז,258 366 446 470 57 670 870 880 958,16648 7592 13063 13179 16546 11279 10777 7181 11009 6998 7008 7009 7010 7011 7012 7013 7014 7015 7016 11381 12809,
2046,37376,32,26,75,32.809433,34.996184,חוף הכרמל,133 205,7527 4148 13360,
13856,37358,25,686,42,32.060204,34.816463,תל אביב מרכז,58,2960,
27429,37324,12,50,0,31.657698,34.587648,אשקלון,15,16574,
24396,37304,8,1020,101,32.177807,34.897170,כפר סבא,13 17 174 2 276 8 81 82,9122 9126 15934 9123 9768 7833 9124 9751 9752 7904 15677 7905 11850 11852 7894,
8312,37312,158,6,0,31.783033,35.311388,באר שבע מרכז,470,7015,
7444,37322,21,35,1,31.704539,35.126229,בית שמש,138,10945,
21903,37350,49,12,0,32.195028,34.857002,השלום,502,5201,
16882,37302,21,50,7,32.116823,34.978051,ראש העין-צפון,4,10788 10789,
13089,37350,13,583,37,32.063639,34.770359,השלום,23,2358,
24510,37296,4,1411,137,32.160067,34.902502,הוד השרון,1 11 259 3 4 571 64,16803 16802 5264 5265 5266 7844 7882 15405 14969 11098 15406 7831 7852 7854 7881,
4664,37388,45,35,6,32.675133,35.236089,לב המפרץ,338 339,1595 1601 1597 1600,
25725,37326,20,35,4,31.740154,34.676245,אשדוד עד הלום,141,15789,
27742,37316,28,40,3,31.614288,34.702539,קרית גת,61,16649,
17381,37372,8,84,4,32.544016,34.915410,בנימינה,69,11443,
28756,37312,41,165,18,31.161466,35.039685,באר שבע מרכז,50 53,8219 8229,
21659,37298,19,175,16,31.968363,34.785342,ראשונים,247,11932,
7086,37384,26,36,1,32.931692,35.161706,עכו,564,15333,
6443,37382,26,176,10,33.076366,35.266428,נהריה,27 28 29,327 324 323 12116,
22163,37394,0,341,38,31.900688,35.003221,מודיעין מרכז,1 105 222 5 80 84 88,11206 11374 11199 11207 11340 11352 11368,
2966,37378,55,0,8,32.783979,35.003738,בת גלים,28,3716,
6468,37382,31,132,9,33.005918,35.312719,נהריה,40 50,12300 350 12142,
3797,37376,41,736,160,32.505428,34.914612,חוף הכרמל,784 910 947,13108 13109 13110 13135 13136 13137 13202 7060 7226 7225 7189 7190 7222 7223 7224,
15364,37338,21,372,27,31.961330,34.890212,לוד,13,11529 11032,
35795,37392,20,200,98,32.807441,35.117240,קרית חיים,210,4400 13279,
478,37364,9,216,11,32.248511,34.915812,בית יהושע,12,11788 11787,
21619,37338,11,360,27,31.921121,34.861153,לוד,13,11033 11536,
15427,37332,12,1115,105,31.868315,34.816607,רחובות,201 298 301 36 367 37 371 377 40,28 31 13691 13472 13690 13809 10856 11494 7400 7402 3359 15787 8141,
27944,37290,32,72,14,31.302478,34.432251,שדרות,136 36 379 479,16572 16634 16985 16552 1893 1894,
21452,37336,20,96,5,31.865996,34.887226,רמלה,24 26,12333 8378,
15525,37336,15,84,0,32.005746,34.831539,רמלה,29,14988 15002,
12208,37312,46,756,43,31.072038,35.035979,באר שבע מרכז,248 470 48 49 56,7371 13683 14585 13502 7007 7364 7366 7367 7368,
843,37358,78,72,0,32.184479,34.927904,תל אביב מרכז,567,5253 5254,
16912,37342,30,624,38,32.018439,34.759297,בת ים קוממיות,87,13475 9853,
15907,37348,31,1163,90,32.062576,34.846210,צומת חולון,43,2460,
28705,37312,35,176,18,31.299783,34.950121,באר שבע מרכז,52 62,8233 8226 8227,
5658,37350,202,3,2,32.684311,35.582180,השלום,834,13344,
20843,37388,71,563,38,32.909239,35.297249,לב המפרץ,215 262,13365 13366 10377 4423 4420,
27702,37312,22,0,1,31.321583,34.616482,באר שבע מרכז,35,1807,
15849,37338,60,300,0,32.035290,34.846848,לוד,244,10330,
8425,37312,146,6,0,31.775150,35.295807,באר שבע מרכז,470,7015,
11968,37312,4,230,9,31.250041,34.774489,באר שבע מרכז,364,1875,
324,37350,49,1379,62,32.324201,34.856547,השלום,600 601 602 605 615,697 700 701 702 704 706 712 714 715 15570,
2105,37380,39,0,4,32.784033,35.012979,חיפה מרכז,14,3629,
10046,37358,94,36,0,31.746997,35.231370,תל אביב מרכז,480,10958,
15156,37366,27,96,2,32.367602,34.989232,נתניה,23 24,14862 14885,
2588,37386,23,837,93,32.846249,35.071468,חוצות מפרץ,15,13394,
