stop_id,station_id,travel_time,weekday_trips,weekend_trips,latitude,longitude,station_name,line_numbers,route_ids,parent_stop
1852,37376,20,826,94,32.778398,34.994118,חוף הכרמל,146 200 46,13254 13276 4396 7526 3807,
2733,37378,10,1803,112,32.819687,34.958800,בת גלים,31 43 5,13220 13248 11319 3726,
36391,37376,0,1701,110,32.793370,34.958985,חוף הכרמל,45 47 49,13249 3803 3808 3810,3523
3941,37388,5,262,17,32.808164,35.064843,לב המפרץ,165 171,6535 10880,
2051,37378,6,940,50,32.820728,34.992937,בת גלים,16,3636,
2039,37378,10,300,40,32.828980,34.978458,בת גלים,43 8,13221 13248,
35629,37386,0,1474,156,32.807328,35.056291,חוצות מפרץ,15 21,13393 11020,
17299,37380,1,4310,878,32.817935,35.000276,חיפה מרכז,1 2,11696 11689 11692 11695,
2764,37376,25,1528,84,32.787236,34.984534,חוף הכרמל,132 29,9455 3717,
2108,37376,29,1586,78,32.798654,34.998316,חוף הכרמל,3,11308,
2816,37376,24,1960,185,32.750932,34.974635,חוף הכרמל,205 45 47 49,13251 13361 3811 3804 3809,
20349,37388,30,72,5,32.821442,35.195520,לב המפרץ,166,6542,
35642,37386,30,644,60,32.800008,35.108877,חוצות מפרץ,21,11021,
35752,37388,15,1972,330,32.812913,35.104811,לב המפרץ,2,11696 11695,
19580,37388,24,378,19,32.850834,35.167602,לב המפרץ,168 169 170 255,6558 6575 6563 7565,
1954,37380,17,26,65,32.813079,34.981492,חיפה מרכז,205,13361,
17316,37380,5,4310,879,32.827530,34.983637,חיפה מרכז,1 2,11693 11685 11688 11694,
1970,37380,21,26,65,32.820678,34.969446,חיפה מרכז,205,13361,
36390,37376,0,525,93,32.793370,34.958985,חוף הכרמל,947,13132 7218,3523
35793,37388,10,4310,879,32.806760,35.008452,לב המפרץ,1 2,11693 11685 11688 11694,
19553,37388,28,506,35,32.806880,35.171032,לב המפרץ,165 167 171,6535 6547 6548 10880 6546,
1912,37378,26,1183,66,32.800750,34.986466,בת גלים,5,13220,
3550,37376,27,620,52,32.692898,34.945815,חוף הכרמל,221,4160 4161 4162 13274 13275,
1985,37378,17,1376,115,32.816109,34.980541,בת גלים,136,13392 11295 11297 11332 15765,
2427,37376,28,1690,134,32.805063,34.989524,חוף הכרמל,132 133,13269 13270 9455 4147 4148 4146,
3883,37380,24,260,42,32.792604,35.009040,חיפה מרכז,14 36,3627 3626 3629 3761 3764,
36288,37376,0,2068,130,32.793808,34.959025,חוף הכרמל,17 24 א87,3639 3695 4016,3524
17488,37388,13,1384,114,32.789369,35.008842,לב המפרץ,136,11294 11293 15763 15764,
2994,37376,17,843,50,32.780898,34.983429,חוף הכרמל,29,3717,
