stop_id,station_id,travel_time,weekday_trips,weekend_trips,latitude,longitude,station_name,line_numbers,route_ids,parent_stop
9966,37318,13,2410,369,31.765946,35.194091,ירושלים מלחה,5 6,12403 12439 12954 12955 10865,
9506,37318,17,285,33,31.755077,35.176530,ירושלים מלחה,א35,12383,
10438,37318,21,1048,125,31.772065,35.192383,ירושלים מלחה,5,12439 12954 12955 10865,
11478,37318,0,581,80,31.748592,35.188090,ירושלים מלחה,18 264 35,12381 12944 13776 10800,
9629,37318,14,304,42,31.755245,35.200177,ירושלים מלחה,א18,12941 12940 10798,
9979,37320,15,754,96,31.733326,35.190347,ירושלים גן חיות,33,12855 10238,
11835,37318,8,981,119,31.737300,35.200125,ירושלים מלחה,31,12886 12887 10402,
10439,37318,21,1048,125,31.770694,35.192603,ירושלים מלחה,5,12439 12954 12955 10865,
10173,37318,2,1366,159,31.752702,35.186600,ירושלים מלחה,31 א35,12383 12884 12885 10401,
9437,37318,26,304,42,31.761420,35.214155,ירושלים מלחה,א18,12941 12940 10798,
9512,37318,19,285,33,31.759854,35.176250,ירושלים מלחה,א35,12383,
10419,37318,6,285,33,31.751143,35.182157,ירושלים מלחה,א35,12383,
11267,37318,22,285,33,31.765251,35.173594,ירושלים מלחה,א35,12383,
9896,37318,29,855,117,31.775312,35.208976,ירושלים מלחה,14,12834 12835 10179,
10135,37318,11,981,119,31.735622,35.198798,ירושלים מלחה,31,12886 12887 10402,
9385,37318,15,1159,159,31.759294,35.210953,ירושלים מלחה,14 א18,12834 12835 12941 10179 12940 10798,
8751,37318,14,981,119,31.732754,35.195872,ירושלים מלחה,31,12886 12887 10402,
9375,37318,9,855,117,31.756990,35.205754,ירושלים מלחה,14,12834 12835 10179,
9355,37320,22,983,108,31.785759,35.189343,ירושלים גן חיות,33,10235,
9743,37320,14,418,54,31.758807,35.183814,ירושלים גן חיות,א26,10202,
10779,37318,7,855,117,31.755797,35.201418,ירושלים מלחה,14,12834 12835 10179,
11554,37318,22,1048,125,31.771177,35.194163,ירושלים מלחה,5,12439 12954 12955 10865,
10656,37320,13,754,96,31.731602,35.193396,ירושלים גן חיות,33,12855 10238,
11813,37318,2,1382,156,31.750298,35.185120,ירושלים מלחה,33,12854 10235 10236 10237,
9378,37318,21,304,42,31.756926,35.209188,ירושלים מלחה,א18,12941 12940 10798,
9646,37318,19,855,117,31.762676,35.208147,ירושלים מלחה,14,12834 12835 10179,
11624,37318,20,855,117,31.764226,35.209096,ירושלים מלחה,14,12834 12835 10179,
8973,37320,12,1401,162,31.763738,35.185178,ירושלים גן חיות,33 א26,10202 10235,
8975,37320,29,418,54,31.765690,35.186023,ירושלים גן חיות,א26,10202,
9808,37318,6,855,117,31.755304,35.198897,ירושלים מלחה,14,12834 12835 10179,
11738,37318,6,981,119,31.739311,35.195278,ירושלים מלחה,31,12886 12887 10402,
10449,37320,30,418,54,31.763331,35.187265,ירושלים גן חיות,א26,10202,
9915,37318,13,285,33,31.757751,35.181034,ירושלים מלחה,א35,12383,
8734,37318,12,1119,104,31.783058,35.203246,ירושלים מלחה,161 164 165 167 169 261 266,6241 13313 13315 13316 13318 13730 13810 6222 6223 6251 6252 6253 6285 11423,
9575,37320,24,983,108,31.786078,35.184670,ירושלים גן חיות,33,10235,
11516,37318,9,285,33,31.751355,35.181149,ירושלים מלחה,א35,12383,
9046,37318,20,1043,126,31.790347,35.197525,ירושלים מלחה,31,12884 12885,
9507,37318,16,285,33,31.753330,35.176674,ירושלים מלחה,א35,12383,
10420,37318,5,285,33,31.753259,35.184054,ירושלים מלחה,א35,12383,
10444,37318,14,1048,125,31.774215,35.186006,ירושלים מלחה,5,12439 12954 12955 10865,
