stop_id,station_id,travel_time,weekday_trips,weekend_trips,latitude,longitude,station_name,line_numbers,route_ids,parent_stop
5934,37382,30,60,4,33.061678,35.247899,נהריה,27,323,
2666,37390,23,1094,120,32.801427,35.103659,קרית מוצקין,22,13369,
17734,37382,3,1723,123,33.007963,35.116583,נהריה,281 36 367 37 39 40 41 42 43 44 45 46 47 471 48 49 50 53 55 7 8,12300 356 289 291 4453 367 369 370 375 376 377 378 384 467 514 15249 12187 12122 4285 296 350 344 363 371 374 10882 12031 16133 12124 12130 12136 12142 12159 354,
17620,37382,0,371,24,33.005730,35.100410,נהריה,36 37 50 53 55 99,15249 12187 12122 10126 10882 12124 12130 12142,
38355,37382,0,44,5,33.005504,35.097344,נהריה,83 99,418 10127,17592
17536,37382,19,183,0,32.997577,35.088942,נהריה,14,12025,
3009,37390,13,1229,159,32.842077,35.089366,קרית מוצקין,12,3612,
17683,37382,9,873,48,33.023611,35.105784,נהריה,13 271 3,270 4446 12150 12023 266,
35558,37382,17,84,3,32.971052,35.237968,נהריה,55,12187 10882,
6401,37382,26,150,16,33.023914,35.286788,נהריה,39 41 471,344 12159 354,
17850,37382,8,84,7,33.006289,35.205227,נהריה,39 42,356 344,
6700,37384,24,257,15,32.962606,35.171484,עכו,35 61 62 95,4304 15380 6462 6509 509 510,
6737,37382,29,108,5,32.982800,35.250533,נהריה,43 53,363 12130,
17633,37382,6,522,34,33.003877,35.102365,נהריה,15 5 62 64 99,9448 9449 10126 12027 12028 12151,
18770,37382,21,276,20,33.079109,35.150294,נהריה,23 31 36,315 12120 12124,
17663,37382,12,471,31,33.014081,35.104468,נהריה,7 8,289 291 296,
20380,37384,1,718,40,32.924341,35.081715,עכו,3,14556 16338,
20259,37382,10,118,8,32.990441,35.131479,נהריה,47 48,384 4285,
17956,37384,28,845,69,32.921747,35.275585,עכו,176 261 263 361 363,4434 4435 4475 13283 13282 4413 4438 15404 4479,
6460,37382,15,48,3,33.037952,35.191547,נהריה,37,12122,
6046,37382,30,82,5,32.958864,35.168406,נהריה,47,384,
