stop_id,station_id,travel_time,weekday_trips,weekend_trips,latitude,longitude,station_name,line_numbers,route_ids,parent_stop
879,37304,13,464,56,32.189835,34.902716,כפר סבא,2,7833 11850 11852,
846,37296,21,36,0,32.183181,34.920514,הוד השרון,571,5268,
23682,37364,2,875,42,32.272179,34.857856,בית יהושע,11 12 13 243 30 31 34 43 44 57 640,16405 13599 14810 14927 15356 15358 11439 11758 11769 11780 11786 12243,
14943,37368,15,36,0,32.407526,34.920492,חדרה מערב,54,12236,
22095,37356,30,25,5,32.029915,34.877150,בני ברק,137,1022 1021,
1549,37372,13,48,2,32.452272,35.014719,בנימינה,59,12244,
29424,37356,10,935,42,32.125763,34.825760,בני ברק,524 525 531 618,716 5217 5221 5226 5227 5222 13649,
25106,37354,22,100,4,32.096893,34.862620,קרית אריה,38,10961 2441,
14524,37356,15,271,34,32.122078,34.825523,בני ברק,22,9825,
700,37364,13,72,4,32.281706,34.846606,בית יהושע,31,15358,
1028,37296,16,763,86,32.133991,34.901718,הוד השרון,1 11,16803 16802 7882 15405 15406 7831 7881,
25154,37302,9,50,0,32.148366,34.970504,ראש העין-צפון,67,14963,
4111,37372,24,72,5,32.532832,35.147257,בנימינה,45,12211,
38658,37368,6,60,2,32.410463,34.903951,חדרה מערב,51 55,12222 12230,
37492,37368,14,360,6,32.435750,34.913945,חדרה מערב,17 22,4724 9502,37412
195,37364,5,72,4,32.276837,34.847509,בית יהושע,31,15358,
676,37368,19,36,0,32.408402,34.931491,חדרה מערב,54,12236,
34146,37296,10,120,0,32.192625,34.891680,הוד השרון,68,14962,
40183,37372,13,84,4,32.535208,34.906982,בנימינה,69,11443,
15245,37366,7,312,19,32.323438,34.905154,נתניה,136 137 24 40,14885 11453 11768 12179 12180,
1265,37368,20,160,2,32.430240,34.944494,חדרה מערב,15,4718,
24541,37296,20,360,40,32.143320,34.880323,הוד השרון,3,7844,
17209,37368,13,160,2,32.433064,34.927453,חדרה מערב,15,4718,
863,37304,15,320,26,32.180341,34.909755,כפר סבא,3 63,7843 14967,
419,37364,6,60,0,32.275284,34.895064,בית יהושע,14,15360,
14756,37364,11,72,0,32.281973,34.881573,בית יהושע,13,14927,
17434,37368,17,140,0,32.427977,34.919049,חדרה מערב,22,9502,
14880,37366,25,240,8,32.298396,34.909687,נתניה,42 45,15029 11438 11772,
8449,37302,23,50,0,32.145043,34.986617,ראש העין-צפון,67,14963,
15071,37364,28,72,2,32.271295,34.949960,בית יהושע,44,11770,
669,37368,14,36,1,32.397341,34.925936,חדרה מערב,51,12222,
16533,37302,11,313,33,32.088443,34.951545,ראש העין-צפון,1 18 276,16798 16987 1957 1064,
24912,37366,14,264,9,32.343908,34.914576,נתניה,26 41,11756 11776,
14084,37356,4,1155,115,32.109388,34.833870,בני ברק,22 7,9825 2278,
211,37364,8,72,4,32.282960,34.849188,בית יהושע,30,15356,
25206,37352,3,70,9,32.102361,34.898193,סגולה,67,1133,
1115,37370,16,288,15,32.507228,34.913800,קיסריה פרדס חנה,10,12192 12193,
890,37304,21,120,0,32.161272,34.935371,כפר סבא,21 40,14205 15834 7918,
16052,37302,12,50,0,32.154411,34.968512,ראש העין-צפון,67,14963,
371,37366,11,125,33,32.339836,34.859845,נתניה,18 25,10277 2224,
526,37366,7,96,4,32.319773,34.881173,נתניה,20,2176,
715,37364,17,312,11,32.278646,34.889572,בית יהושע,11 13,14927 11759 11760,
1456,37372,8,605,38,32.475707,34.975603,בנימינה,70 872,635 5309 5310 13662 15004 15006 12254,
17224,37372,8,88,4,32.567218,34.948904,בנימינה,694,15466,
35083,37372,16,36,4,32.580151,34.951352,בנימינה,70,15005 15007,
23465,37302,21,107,17,32.051176,34.960433,ראש העין-צפון,276,16987 1957,
14347,37356,10,84,2,32.092866,34.836946,בני ברק,618,717,
17264,37372,24,108,1,32.560429,35.014528,בנימינה,35,11799,
14309,37362,8,830,144,32.186148,34.808672,הרצליה,29,7932 7929,
1323,37372,11,252,12,32.477051,34.952878,בנימינה,10,12192,
37635,37364,10,120,5,32.252371,34.867104,בית יהושע,48,2204 2206,
14765,37366,5,936,41,32.323253,34.887917,נתניה,136 137 23 24 26 40 41 42 45,11436 14862 14885 15029 11438 11453 11756 11768 11772 11776 12179 12180,
17404,37368,13,60,0,32.460196,34.897350,חדרה מערב,1,13620,
16570,37302,13,91,16,32.091845,34.953949,ראש העין-צפון,1,1064,
36000,37370,27,110,6,32.495923,34.903811,קיסריה פרדס חנה,80,14990,
24407,37304,4,1369,77,32.172691,34.920231,כפר סבא,118 174 183 2 21 40 41 62 8 81 82,15933 14205 14206 9297 9116 9119 11851 9767 10852 14965 9117 15834 11850 11852 7918 14040 15676,
14838,37368,10,60,2,32.394661,34.903398,חדרה מערב,51 55,12222 12230,
29454,37362,4,140,0,32.171178,34.828311,הרצליה,8,7877,
35943,37296,16,255,0,32.199608,34.883643,הוד השרון,7,7867,
1641,37370,6,288,15,32.500294,34.927745,קיסריה פרדס חנה,10,12192 12193,
23349,37352,1,200,9,32.115929,34.901541,סגולה,66 67,1133 14973,
1496,37368,18,100,0,32.434218,34.887505,חדרה מערב,18,10914,
14446,37362,23,30,6,32.161811,34.858110,הרצליה,12,7886,
14585,37362,1,140,0,32.164958,34.823030,הרצליה,8,7877,
14428,37362,10,140,0,32.172092,34.848517,הרצליה,8,7876,
869,37296,5,120,0,32.179585,34.895912,הוד השרון,68,14962,
14425,37362,12,145,0,32.167842,34.848712,הרצליה,296 8,7877 15307,
38626,37370,26,440,8,32.472550,34.999202,קיסריה פרדס חנה,4,15032,
366,37366,9,125,33,32.334658,34.859207,נתניה,18 25,10277 2224,
13934,37356,9,864,68,32.087636,34.814894,בני ברק,52,2494,
12990,37356,17,1271,139,32.077609,34.791101,בני ברק,142,9803,
38804,37296,15,255,0,32.199405,34.880340,הוד השרון,7,7867,
35290,37364,22,452,10,32.289951,34.854392,בית יהושע,30 48 609,16476 2201 2204 2206 15356,
16615,37302,13,110,0,32.106323,34.970416,ראש העין-צפון,100 38,16794 9155,
15956,37304,21,40,0,32.238911,34.999259,כפר סבא,118,10852,
23359,37356,6,607,40,32.101129,34.856652,בני ברק,266,16214,
24468,37356,18,120,0,32.065048,34.838933,בני ברק,264,16285,
17228,37372,8,252,12,32.471332,34.962104,בנימינה,10,12192,
24228,37354,23,100,4,32.096145,34.860421,קרית אריה,38,10961 2441,
1631,37372,20,48,2,32.399421,35.049450,בנימינה,59,12244,
16556,37302,19,91,16,32.093679,34.963851,ראש העין-צפון,1,1064,
274,37364,22,529,10,32.293898,34.852491,בית יהושע,30 48 609 640,16476 2201 2204 2206 15356 11780,
21893,37296,12,80,0,32.161620,34.894306,הוד השרון,64,14969,
36122,37372,12,108,1,32.521655,35.016421,בנימינה,35,11799,
24580,37296,13,310,40,32.156634,34.917301,הוד השרון,1,16803 16802 15406 7831,
506,37366,0,2640,121,32.320038,34.868834,נתניה,136 14 16 23 24 25 26 36 40 41 42 45 5,10277 11436 10268 10269 10270 10271 10278 2121 2124 14862 14885 15029 11453 11755 11756 11765 11767 11768 11771 11772 11775 11776 14975 12179,
25348,37364,15,220,13,32.265873,34.918167,בית יהושע,12 243,13598 11788 11787,
