stop_id,station_id,travel_time,weekday_trips,weekend_trips,latitude,longitude,station_name,line_numbers,route_ids,parent_stop
26048,37326,19,84,0,31.775960,34.629440,אשדוד עד הלום,21,2103,
106,37330,16,252,9,31.937835,34.839130,באר יעקב,1,12326,
37552,37316,3,445,38,31.608999,34.770280,קרית גת,1 11 23,16689 16697 15499,28075
13412,37346,5,384,23,32.041685,34.765610,חולון וולפסון,84,3178 3179,
23748,37342,4,552,28,31.999323,34.767875,בת ים קוממיות,11,9840,
15817,37294,12,291,19,31.983369,34.769223,רשל''צ משה דיין,336 84,13451 11109 3181,
24021,37344,9,5037,544,32.030120,34.750289,בת ים יוספטל,125 18 240 418,9821 2328 2329 2948 2961 2962,
21475,37348,5,2659,151,32.024562,34.802249,צומת חולון,119 146 153 154 157 163 201 245 451 457 461,8447 16876 8419 8437 11818 8410 13643 13644 8418 8411 8438 8448 3312 11925 3314 11939 3356 3357 3359 3361 11929 11933 11941 3360 11974 11975 2691,
26160,37326,23,85,9,31.794994,34.641078,אשדוד עד הלום,27,15779,
15381,37334,7,708,45,31.958177,34.890470,לוד-גני אביב,10 13 4 5 7 8,11033 10949 10948 10971 10973 10975 11536,
15369,37338,11,48,0,31.945955,34.906910,לוד,464,10984,
21871,37348,9,384,15,32.028694,34.765413,צומת חולון,146,16877,
24005,37344,6,3639,394,32.023159,34.745254,בת ים יוספטל,125 18 418,2328 2329 2948 2961 2962,
35962,37394,12,35,2,31.921982,35.033160,מודיעין מרכז,27,11372 16325,
24145,37344,8,660,33,32.017234,34.777355,בת ים יוספטל,2 א2,9831 9832,
21683,37298,22,1203,98,31.961950,34.809039,ראשונים,10 11 221 א11,5149 9490 3009 9489 3012 3014,
13774,37348,8,1483,116,32.055144,34.800092,צומת חולון,11 43,2308 2460,
22209,37348,13,821,75,32.013606,34.792335,צומת חולון,189,9813,
36492,37336,22,56,0,31.893472,34.807724,רמלה,432 435,6949 6962,15437
15298,37334,4,396,27,31.957512,34.884227,לוד-גני אביב,10 13 7,11033 10971 10975 11536,
22027,37332,22,156,1,31.881646,34.789135,רחובות,164 18 274,10335 3323 3394,
23127,37394,16,485,54,31.957820,34.917363,מודיעין מרכז,150 152,9028 11181 11183,
16911,37344,5,264,13,32.010492,34.751482,בת ים יוספטל,א2,9830,
25814,37316,21,75,3,31.633351,34.849299,קרית גת,23 63,16654 15498,
15694,37348,21,774,38,32.002322,34.754480,צומת חולון,26,13474 9843,
37273,37322,2,582,34,31.753963,34.994411,בית שמש,12 13 182 409,13737 15491 15493 15510,
26603,37300,30,63,22,31.698157,34.758746,יבנה מערב,369,8164,
24763,37338,19,316,27,32.037587,34.779672,לוד,461,8451 11942 8452,
38106,37336,0,73,10,31.927016,34.877062,רמלה,432,13028 6950 6951,37413
14326,37346,11,604,24,32.057815,34.779970,חולון וולפסון,173,9875 9876,
23937,37342,12,552,28,32.014079,34.742668,בת ים קוממיות,11,9841,
25978,37326,11,84,0,31.799686,34.661648,אשדוד עד הלום,24,12449,
22815,37342,6,552,28,31.997759,34.773292,בת ים קוממיות,11,9840,
