stop_id,station_id,travel_time,weekday_trips,weekend_trips,latitude,longitude,station_name,line_numbers,route_ids,parent_stop
27292,39260,18,590,59,31.301041,34.622582,אופקים,2 3,16706 16707 16711,
26967,39260,10,240,33,31.307346,34.615809,אופקים,3,16706 16707,
27875,37290,8,715,98,31.587974,34.563933,שדרות,136 36 364 365 379 457 465 479 490 492,16631 16633 16774 16550 16551 1875 1877 16571 16984 6719 6720 6721 6734 10997 15419 6735,
27564,38643,6,460,41,31.418162,34.587881,נתיבות,325 5 51 52 53 54 55,16635 16638 16640 16642 16644 16553 16646,
28667,39260,5,68,1,31.314560,34.621452,אופקים,30,16539,
28794,37308,19,25,2,31.324649,34.868297,להבים רהט,40,238,
39422,39260,5,350,28,31.315993,34.619538,אופקים,1,16691,
27867,37290,10,175,22,31.479828,34.591679,שדרות,25 363 365 465,16585 16632 16545 1878,
27563,37290,18,112,18,31.418419,34.587867,שדרות,378,10296,
27704,39260,5,130,13,31.318106,34.606026,אופקים,130 134 135 34 35,16568 16570 16611 1806 1865 16879,
27645,37290,12,120,8,31.556886,34.631993,שדרות,22 240,16583 1915,
28627,37290,13,60,3,31.501904,34.562867,שדרות,29,1912,
29072,37308,10,75,9,31.367951,34.812114,להבים רהט,47,16542,
12802,37308,20,40,6,31.410930,34.747049,להבים רהט,41,239 240,
27837,37290,26,145,19,31.408091,34.611494,שדרות,363 365 465,16632 16545 1878,
27702,39260,4,95,10,31.321583,34.616482,אופקים,130 135 35,16570 1806 1865 16879,
27280,39260,6,240,33,31.316220,34.613531,אופקים,3,16706 16707,
27581,37290,5,597,57,31.524455,34.604409,שדרות,22 240 25 26 27 29 363 365 366 378 465,16583 16585 16593 16594 1915 16632 16545 1912 10296 16547 1878,
26941,37290,25,25,0,31.443460,34.711301,שדרות,457,16773,
27729,37290,24,25,0,31.445989,34.692839,שדרות,457,16773,
39723,37290,10,75,4,31.522340,34.607506,שדרות,10,16693,
39387,38643,29,60,3,31.391978,34.595760,נתיבות,54,16644,
39435,38643,23,60,3,31.447205,34.550959,נתיבות,55,16646,
28136,38643,4,240,33,31.419712,34.575311,נתיבות,2,16702,
12410,37290,3,270,28,31.526138,34.597248,שדרות,22 25 26 27 363,16585 16593 16594 1915 16545,
11933,37290,7,347,43,31.510728,34.594350,שדרות,25 29 363 365 378 465,16585 16632 16545 1912 10296 1878,
27847,39260,20,60,4,31.333044,34.660658,אופקים,32,16601,
27871,37290,1,547,65,31.509358,34.586102,שדרות,10 136 36 364 379 457 463 479 492 668,16572 16634 16738 16773 12797 12798 16985 16552 1893 16693 1876 1894 16728 15418 6732 6733 16090,
28473,37308,0,101,8,31.369231,34.798624,להבים רהט,38 41 52,241 242 16640 13442,
27572,37290,2,852,70,31.523900,34.595477,שדרות,22 240 25 26 27 29 363 365 366 378 4 463 465,16583 16585 16593 16594 1915 16632 16545 1912 10296 16739 16740 16547 1878 11819,
