stop_id,station_id,travel_time,weekday_trips,weekend_trips,latitude,longitude,station_name,line_numbers,route_ids,parent_stop
13031,37358,13,1359,141,32.076407,34.768211,תל אביב מרכז,10,2299,
13835,37358,7,607,44,32.075584,34.809398,תל אביב מרכז,45,2467,
106,37292,30,36,0,31.937835,34.839130,תל אביב ההגנה,159,13814 13815,
13873,37358,17,1774,200,32.063530,34.832247,תל אביב מרכז,61,2512 2513 2514,
14116,37350,28,859,39,32.137238,34.797790,השלום,71,9844 9845,
359,37350,28,78,0,32.326175,34.863337,השלום,650,718,
38726,37350,18,560,0,31.952284,34.955616,השלום,131,15906,
13439,37350,11,1201,80,32.046891,34.785506,השלום,7,2276 2277,
13412,37358,28,336,28,32.041685,34.765610,תל אביב מרכז,11,2309,
36893,37358,4,266,48,32.054875,34.780120,תל אביב מרכז,836,13345,14593
29424,37360,12,2040,214,32.125763,34.825760,תא אוניברסיטה,220 247 47 48 49 521 570,7699 5260 5261 10262 2482 5213 7701 7702 7703 7721,
13191,37358,14,1952,143,32.092032,34.847151,תל אביב מרכז,350 68 69 70,993 994 989 2544 2545 2954,
13132,37292,4,1170,209,32.049334,34.799321,תל אביב ההגנה,16,2324,
13640,37350,5,1086,37,32.064669,34.799124,השלום,23 279 91,2358 11678 16353,
29488,37292,12,36,23,32.075101,34.781570,תל אביב ההגנה,174,13553 13552 3331,
39961,37292,4,48,0,32.063454,34.784704,תל אביב ההגנה,141,2714,
21475,37292,13,785,31,32.024562,34.802249,תל אביב ההגנה,274 275,5156 3388 3389 3390 3392 3393 3394 3395 3396,
195,37350,30,36,0,32.276837,34.847509,השלום,602,705,
15812,37358,27,1336,87,32.076273,34.886651,תל אביב מרכז,350 82,2566 2954,
15806,37358,25,112,10,32.088363,34.886985,תל אביב מרכז,50,2485 2486,
13375,37350,22,6822,512,32.034515,34.752164,השלום,1 240 40 42,13429 13580 9822 2450 2457,
13275,37292,4,3926,145,32.066772,34.786680,תל אביב ההגנה,171 271 274 275 345 71 75 76,13699 9849 13482 13479 13481 13554 13697 13698 9844 9852 9872 9877 9878 9845 5154 11506 3382,
13073,37350,11,538,22,32.129874,34.795698,השלום,601 606 616,702 719 15568,
14550,37360,7,462,32,32.115445,34.794632,תא אוניברסיטה,113 13,12299 2318 2317,
23294,37358,17,1982,186,32.092055,34.877520,תל אביב מרכז,150 211 251 50 51 561 571 627 641,5242 5269 13652 2485 2486 2489 2724 2776 11777 11782 10908,
13890,37350,14,2849,313,32.074844,34.819899,השלום,463 60 63,2509 2519 2951,
13632,37350,4,3732,508,32.061991,34.784970,השלום,141 160 169 250 463 472 473 51 60,16797 1041 2775 9804 14554 2492 2508 2713 2950,
