Month,Station,Embarking,Disemabrking
2016-01,"ת""א סבידור מרכז","550,695","614,432"
2016-01,הרצלייה,"110,739","113,068"
2016-01,בית-יהושע,"92,636","93,233"
2016-01,נתניה,"191,465","201,137"
2016-01,חדרה מערב,"84,642","79,090"
2016-01,בנימינה,"124,116","114,163"
2016-01,קיסריה פרדס-חנה,"47,482","43,214"
2016-01,עתלית,"11,223","11,282"
2016-01,חיפה בת-גלים,"70,238","66,236"
2016-01,חוצות המפרץ,"14,866","15,936"
2016-01,קריית חיים,"17,749","15,117"
2016-01,קריית מוצקין,"82,499","76,116"
2016-01,עכו,"92,533","94,521"
2016-01,חיפה חוף-הכרמל,"173,054","175,031"
2016-01,כפר-סבא נורדאו,"56,516","55,602"
2016-01,נהרייה,"107,099","102,620"
2016-01,ירושלים גן-החיות,64,189
2016-01,בית-שמש,"42,698","43,490"
2016-01,קריית-גת,"37,520","36,847"
2016-01,לוד,"101,957","96,225"
2016-01,באר-שבע צפון,"80,366","71,781"
2016-01,"כפר חב""ד","13,192","13,283"
2016-01,"ת""א השלום","537,105","521,718"
2016-01,חיפה מרכז השמונה,"66,747","61,291"
2016-01,רמלה,"32,477","31,777"
2016-01,ראש-העין צפון,"60,862","54,488"
2016-01,באר-יעקב,"20,623","16,811"
2016-01,רחובות,"151,090","153,747"
2016-01,יבנה מזרח,"20,919","20,132"
2016-01,"ראשל""צ הראשונים","29,935","28,140"
2016-01,אשדוד עד-הלום,"114,531","114,522"
2016-01,פתח-תקווה סגולה,"33,857","33,243"
2016-01,בני ברק,"41,746","47,943"
2016-01,"ת""א אוניברסיטה","216,926","212,939"
2016-01,באר-שבע מרכז,"139,878","141,636"
2016-01,לב המפרץ,"86,676","83,193"
2016-01,"ת""א ההגנה","197,829","207,062"
2016-01,"נתב""ג","88,907","101,194"
2016-01,ירושלים מלחה,"13,984","15,221"
2016-01,אשקלון,"91,940","89,528"
2016-01,דימונה,"1,123",824
2016-01,הוד-השרון סוקולוב,"42,929","40,993"
2016-01,קריית אריה,"57,378","56,096"
2016-01,לוד גני-אביב,"22,625","20,512"
2016-01,להבים רהט,"12,928","16,847"
2016-01,פאתי מודיעין,"16,888","15,179"
2016-01,מודיעין מרכז,"66,236","65,253"
2016-01,צומת חולון,"16,489","20,786"
2016-01,חולון וולפסון,"26,093","25,137"
2016-01,בת-ים יוספטל,"61,334","58,958"
2016-01,בת-ים קוממיות,"30,925","27,967"
2016-01,"ראשל""צ משה-דיין","76,327","75,906"
2016-01,יבנה מערב,"49,458","49,883"
2016-01,שדרות,"35,589","31,923"
2016-01,נתיבות,"27,899","26,796"
2016-01,אופקים,"31,521","24,865"
2016-02,"ת""א סבידור מרכז","561,541","634,887"
2016-02,הרצלייה,"113,243","114,343"
2016-02,בית-יהושע,"94,718","95,412"
2016-02,נתניה,"192,501","204,330"
2016-02,חדרה מערב,"86,380","79,933"
2016-02,בנימינה,"125,448","113,424"
2016-02,קיסריה פרדס-חנה,"47,127","42,566"
2016-02,עתלית,"11,405","10,718"
2016-02,חיפה בת-גלים,"72,636","68,022"
2016-02,חוצות המפרץ,"16,370","17,219"
2016-02,קריית חיים,"18,737","16,503"
2016-02,קריית מוצקין,"85,029","78,374"
2016-02,עכו,"93,394","95,508"
2016-02,חיפה חוף-הכרמל,"179,395","178,533"
2016-02,כפר-סבא נורדאו,"57,997","56,940"
2016-02,נהרייה,"109,711","107,111"
2016-02,ירושלים גן-החיות,75,334
2016-02,בית-שמש,"44,719","44,095"
2016-02,קריית-גת,"38,662","37,744"
2016-02,לוד,"102,680","97,178"
2016-02,באר-שבע צפון,"79,932","70,758"
2016-02,"כפר חב""ד","14,188","14,043"
2016-02,"ת""א השלום","557,417","538,968"
2016-02,חיפה מרכז השמונה,"68,596","61,460"
2016-02,רמלה,"32,612","32,119"
2016-02,ראש-העין צפון,"60,646","55,871"
2016-02,באר-יעקב,"20,823","16,401"
2016-02,רחובות,"153,424","160,134"
2016-02,יבנה מזרח,"21,102","20,095"
2016-02,"ראשל""צ הראשונים","29,957","28,164"
2016-02,אשדוד עד-הלום,"117,791","120,391"
2016-02,פתח-תקווה סגולה,"34,622","33,892"
2016-02,בני ברק,"43,746","50,192"
2016-02,"ת""א אוניברסיטה","219,988","218,794"
2016-02,באר-שבע מרכז,"143,031","139,774"
2016-02,לב המפרץ,"88,612","86,228"
2016-02,"ת""א ההגנה","204,195","213,595"
2016-02,"נתב""ג","95,442","102,460"
2016-02,ירושלים מלחה,"14,949","16,549"
2016-02,אשקלון,"94,822","93,945"
2016-02,דימונה,"1,098",838
2016-02,הוד-השרון סוקולוב,"43,189","42,504"
2016-02,קריית אריה,"60,460","59,296"
2016-02,לוד גני-אביב,"23,379","21,611"
2016-02,להבים רהט,"13,726","14,633"
2016-02,פאתי מודיעין,"17,472","15,731"
2016-02,מודיעין מרכז,"67,320","65,759"
2016-02,צומת חולון,"17,229","21,113"
2016-02,חולון וולפסון,"27,079","26,468"
2016-02,בת-ים יוספטל,"63,321","60,733"
2016-02,בת-ים קוממיות,"31,655","28,803"
2016-02,"ראשל""צ משה-דיין","76,071","77,607"
2016-02,יבנה מערב,"50,707","50,607"
2016-02,שדרות,"36,818","33,549"
2016-02,נתיבות,"29,288","28,058"
2016-02,אופקים,"41,589","33,747"
2016-03,"ת""א סבידור מרכז","651,537","721,038"
2016-03,הרצלייה,"131,479","130,955"
2016-03,בית-יהושע,"110,281","111,780"
2016-03,נתניה,"212,281","232,312"
2016-03,חדרה מערב,"97,685","88,981"
2016-03,בנימינה,"142,478","126,344"
2016-03,קיסריה פרדס-חנה,"54,412","47,840"
2016-03,עתלית,"12,806","12,622"
2016-03,חיפה בת-גלים,"85,303","80,724"
2016-03,חוצות המפרץ,"18,636","19,692"
2016-03,קריית חיים,"20,608","18,510"
2016-03,קריית מוצקין,"97,382","90,972"
2016-03,עכו,"110,897","109,633"
2016-03,חיפה חוף-הכרמל,"208,718","202,478"
2016-03,כפר-סבא נורדאו,"68,323","65,847"
2016-03,נהרייה,"120,571","122,456"
2016-03,ירושלים גן-החיות,53,180
2016-03,בית-שמש,"32,082","31,583"
2016-03,קריית-גת,"43,840","42,185"
2016-03,לוד,"119,971","115,778"
2016-03,באר-שבע צפון,"94,945","83,664"
2016-03,"כפר חב""ד","15,764","15,990"
2016-03,"ת""א השלום","616,794","611,809"
2016-03,חיפה מרכז השמונה,"79,481","73,209"
