stop_id,stop_code,stop_name,stop_lat,stop_lon,zone_id,Area
37290,17106,שדרות,31.515877,34.586059,431,South
37292,17104,תל אביב ההגנה,32.053978,34.784839,210,Tel Aviv
37294,17102,רשל''צ משה דיין,31.987987,34.757392,210,Shfela
37296,17100,הוד השרון,32.170162,34.90158,221,Sharon
37298,17098,ראשונים,31.948927,34.802622,210,Shfela
37300,17096,יבנה מערב,31.891676,34.731526,223,Shfela
37302,17094,ראש העין-צפון,32.120865,34.934527,221,Sharon
37304,17092,כפר סבא,32.167369,34.917428,221,Sharon
37306,17090,נת-בג,32.00036,34.870481,222,Shfela
37308,17088,להבים רהט,31.369907,34.79804,421,South
37310,17086,דימונה,31.068597,35.01171,433,South
37312,17084,באר שבע מרכז,31.242886,34.798546,410,Beer Sheva
37314,17082,באר שבע-צפון,31.262089,34.809287,410,Beer Sheva
37316,17080,קרית גת,31.603526,34.777955,802,Shfela
37318,17078,ירושלים מלחה,31.747801,35.188216,110,Jerusalem
37320,17076,ירושלים גן חיות,31.744791,35.178044,110,Jerusalem
37322,17074,בית שמש,31.757821,34.989515,131,Shfela
37324,17072,אשקלון,31.676856,34.604447,801,Shfela
37326,17070,אשדוד עד הלום,31.774061,34.666059,233,Shfela
37328,17068,יבנה מזרח,31.861702,34.744295,223,Shfela
37330,17066,באר יעקב,31.93278,34.828591,210,Shfela
37332,17064,רחובות,31.908691,34.806351,223,Shfela
37334,17062,לוד-גני אביב,31.966977,34.87879,210,Shfela
37336,17060,רמלה,31.928809,34.877304,210,Shfela
37338,17058,לוד,31.945234,34.875081,210,Shfela
37340,17056,כפר חבד,31.993188,34.85303,210,Shfela
37342,17054,בת ים קוממיות,32.000989,34.759437,210,Shfela
37344,17052,בת ים יוספטל,32.014588,34.762082,210,Shfela
37346,17050,חולון וולפסון,32.035462,34.759782,210,Shfela
37348,17048,צומת חולון,32.037036,34.776461,210,Shfela
37350,17046,השלום,32.073346,34.793256,210,Tel Aviv
37352,17044,סגולה,32.111918,34.901335,210,Sharon
37354,17042,קרית אריה,32.106273,34.863205,210,Sharon
37356,17040,בני ברק,32.102938,34.830131,210,Sharon
37358,17038,תל אביב מרכז,32.083715,34.798247,210,Tel Aviv
37360,17036,תא אוניברסיטה,32.103516,34.804499,210,Tel Aviv
37362,17034,הרצליה,32.163558,34.817406,221,Sharon
37364,17032,בית יהושע,32.262346,34.860112,231,Sharon
37366,17030,נתניה,32.319915,34.869257,231,Sharon
37368,17028,חדרה מערב,32.438199,34.899321,702,Sharon
37370,17026,קיסריה פרדס חנה,32.485187,34.954099,702,Sharon
37372,17024,בנימינה,32.514386,34.949573,702,Sharon
37374,17022,עתלית,32.692924,34.940314,322,Sharon
37376,17020,חוף הכרמל,32.7936,34.957404,310,Haifa
37378,17018,בת גלים,32.830498,34.981888,310,Haifa
37380,17016,חיפה מרכז,32.822306,34.997177,310,Haifa
37382,17014,נהריה,33.005075,35.09871,331,North
37384,17012,עכו,32.928339,35.082984,321,North
37386,17010,חוצות מפרץ,32.809527,35.054514,310,Haifa
37388,17008,לב המפרץ,32.793921,35.037079,310,Haifa
37390,17006,קרית מוצקין,32.833133,35.07003,310,North
37392,17004,קרית חיים,32.824918,35.06429,310,North
37394,17002,מודיעין מרכז,31.901238,35.005712,232,Shfela
37396,17000,פאתי מודיעין,31.893133,34.960682,232,Shfela
38643,17108,נתיבות,31.410873,34.571425,431,South
39260,17109,אופקים,31.322628,34.634078,422,South
